"Educator Race/Ethnicity Report for 2006-07"

"District","School","Race","Count","% of Total"
,"Emerson-Williams School","Black or African American",1,2.3
,,"White",42,97.7
,"Highcrest School","White",41,100.0
,"Samuel B. Webb Elementary School","Asian",1,2.2
,,"Black or African American",1,2.2
,,"White",42,93.3
,,"American Indian",1,2.2
,"Silas Deane Middle School","Black or African American",2,3.5
,,"Hispanic",1,1.8
,,"White",54,94.7
,"Wethersfield High School","Black or African American",3,2.7
,,"Hispanic",1,0.9
,,"White",107,96.4
"Willington School District","Center School","White",28,100.0
,"Hall Memorial School","Hispanic",2,4.9
,,"White",39,95.1
"Wilton School District","Middlebrook School","Asian",1,1.1
,,"Black or African American",2,2.2
,,"White",87,96.7
,"Cider Mill School","Asian",1,1.1
,,"White",90,98.9
,"Ina E. Driscoll School","White",50,100.0
,"Miller-Driscoll School","White",54,100.0
,"Wilton High School","Hispanic",4,3.4
,,"White",114,96.6
"Winchester School District","Batcheller Early Education Center","Hispanic",1,3.3
,,"White",29,96.7
,"Joy D. Rice School","White",5,100.0
,"Mary P. Hinsdale School","White",29,100.0
,"Pearson Middle School","White",34,100.0
"Windham School District","Early Headstart","Asian",1,14.3
,,"Hispanic",1,14.3
,,"White",5,71.4
,"Eastern Regional Academy/Windham","White",7,100.0
,"Natchaug School","Hispanic",4,11.4
,,"White",31,88.6
,"North Windham School","Hispanic",5,11.4
,,"White",39,88.6
,"W. B. Sweeney School","Asian",1,2.8
,,"Hispanic",1,2.8
,,"White",34,94.4
,"Windham Center School","Hispanic",4,11.8
,,"White",30,88.2
,"Windham Early Childhood Prospect Street","Hispanic",2,16.7
,,"White",10,83.3
,"Windham High School","Asian",2,2.1
,,"Black or African American",1,1.1
,,"Hispanic",4,4.3
,,"White",87,92.6
,"Windham Middle School","Black or African American",1,1.0
,,"Hispanic",10,10.0
,,"White",89,89.0
"Windsor Locks School District","North Street School","White",43,100.0
,"South Elementary School","Hispanic",2,4.7
,,"White",41,95.3
,"Windsor Locks High School","Asian",1,2.1
,,"Hispanic",1,2.1
,,"White",46,95.8
,"Windsor Locks Middle School","Black or African American",2,3.8
,,"Hispanic",2,3.8
,,"White",48,92.3
"Windsor School District","Clover Street School","Black or African American",4,11.1
,,"White",32,88.9
,"John F. Kennedy School","Black or African American",2,4.7
,,"White",41,95.3
,"Oliver Ellsworth School","Asian",1,2.1
,,"Black or African American",5,10.4
,,"White",42,87.5
,"Poquonock Elementary School","Black or African American",4,10.3
,,"White",35,89.7
,"Roger Wolcott Early Child Center","Hispanic",1,4.2
,,"White",23,95.8
,"Sage Park Middle School","Black or African American",3,2.7
,,"Hispanic",2,1.8
,,"White",107,95.5
,"Windsor High School","Asian",4,3.0
,,"Black or African American",8,5.9
,,"Hispanic",6,4.4
,,"White",117,86.7
"Wolcott School District","Alcott School","White",40,100.0
,"Frisbie School","White",37,100.0
,"Tyrrell Middle School","Black or African American",1,1.6
,,"White",62,98.4
,"Wakelee School","White",40,100.0
,"Wolcott High School","Hispanic",1,1.3
,,"White",79,98.8
"Woodbridge School District","Beecher Road Intermediate School","White",47,100.0
,"Beecher Road Primary School","White",35,100.0
"Woodstock Academy District","Woodstock Academy","Asian",1,1.0
,,"Hispanic",1,1.0
,,"White",95,97.9
"Woodstock School District","Woodstock Elementary School","White",40,100.0
,"Woodstock Middle School","White",37,100.0

