"category","participation.rate","meeting.bench.count","meeting.bench.rate","school_code","year"
"Female ","98.5 ","54 ","40.0","0586211","201516"
"Male ","96.2 ","38 ","28.6","0586211","201516"
"Black or African American ","* ","* ","*","0586211","201516"
"Hispanic or Latino ","* ","6 ","*","0586211","201516"
"White ","97.9 ","83 ","35.6","0586211","201516"
"English Language Learners ","N/A ","N/A ","N/A","0586211","201516"
"Eligible for Free or ","95.6 ","13 ","19.1","0586211","201516"
"Reduced-Price Meals","","","","0586211","201516"
"Students with Disabilities ","* ","* ","*","0586211","201516"
"School ","97.4 ","92 ","34.3","0586211","201516"
"District ","94.6 ","","33.1","0586211","201516"
"Female ","77.2 ","106","37.7","0596111","201314"
"Male ","65.1 ","90","33.1","0596111","201314"
"Black or African American ","61.2 ","10","14.9","0596111","201314"
"Hispanic or Latino ","52.3 ","10","11.6","0596111","201314"
"White ","77.0 ","146","44.8","0596111","201314"
"English Language Learners ","* ","0","*","0596111","201314"
"Eligible for Free or ","54.4 ","32","15.7","0596111","201314"
"Reduced-Price Meals","",NA,"","0596111","201314"
"Students with Disabilities ","* ","0","*","0596111","201314"
"School ","71.2 ","196","35.4","0596111","201314"
"District ","69.6 ",NA,"34.6","0596111","201314"
"Female ","74.2 ","93","37.5","0596111","201415"
"Male ","61.2 ","74","30.2","0596111","201415"
"Black or African American ","69.6 ","10","17.9","0596111","201415"
"Hispanic or Latino ","48.8 ","10","12.2","0596111","201415"
"White ","70.2 ","121","41.9","0596111","201415"
"English Language Learners ","* ","0","*","0596111","201415"
"Eligible for Free or ","56.0 ","29","16.6","0596111","201415"
"Reduced-Price Meals","",NA,"","0596111","201415"
"Students with Disabilities ","* ","0","*","0596111","201415"
"School ","67.7 ","167","33.9","0596111","201415"
"District ","64.8 ",NA,"32.5","0596111","201415"
"Female ","97.2 ","103 ","41.2","0596111","201516"
"Male ","92.0 ","78 ","31.2","0596111","201516"
"Black or African American ","92.9 ","8 ","14.3","0596111","201516"
"Hispanic or Latino ","96.3 ","14 ","17.3","0596111","201516"
"White ","95.1 ","126 ","44.1","0596111","201516"
"English Language Learners ","* ","0 ","*","0596111","201516"
"Eligible for Free or ","94.2 ","27 ","15.6","0596111","201516"
"Reduced-Price Meals","","","","0596111","201516"
"Students with Disabilities ","* ","* ","*","0596111","201516"
"School ","94.6 ","181 ","36.2","0596111","201516"
"District ","92.8 ","","34.5","0596111","201516"
"Female ","93.6 ","198 ","70.2","0606111","201314"
"Male ","84.0 ","158 ","60.1","0606111","201314"
"Black or African American ","* ","* ","*","0606111","201314"
"Hispanic or Latino ","95.0 ","12 ","60.0","0606111","201314"
"White ","88.4 ","320 ","64.9","0606111","201314"
"English Language Learners ","* ","0 ","*","0606111","201314"
"Eligible for Free or ","72.6 ","25 ","40.3","0606111","201314"
"Reduced-Price Meals","","","","0606111","201314"
"Students with Disabilities ","* ","* ","*","0606111","201314"
"School ","89.0 ","356 ","65.3","0606111","201314"
"District ","87.4 ","","63.9","0606111","201314"
"Female ","85.7 ","161 ","67.6","0606111","201415"
"Male ","80.1 ","166 ","61.3","0606111","201415"
"Black or African American ","* ","* ","*","0606111","201415"
"Hispanic or Latino ","81.0 ","13 ","61.9","0606111","201415"
"White ","82.1 ","288 ","63.7","0606111","201415"
"English Language Learners ","N/A ","N/A ","N/A","0606111","201415"
"Eligible for Free or ","63.8 ","23 ","48.9","0606111","201415"
"Reduced-Price Meals","","","","0606111","201415"
"Students with Disabilities ","* ","* ","*","0606111","201415"
"School ","82.7 ","327 ","64.2","0606111","201415"
"District ","80.4 ","","62.3","0606111","201415"
"Female ","97.4 ","164 ","69.8","0606111","201516"
"Male ","99.3 ","177 ","64.6","0606111","201516"
"Black or African American ","* ","* ","*","0606111","201516"
"Hispanic or Latino ","100.0 ","14 ","50.0","0606111","201516"
"White ","98.2 ","301 ","67.8","0606111","201516"
"English Language Learners ","* ","0 ","*","0606111","201516"
"Eligible for Free or ","100.0 ","15 ","33.3","0606111","201516"
"Reduced-Price Meals","","","","0606111","201516"
"Students with Disabilities ","* ","* ","*","0606111","201516"
"School ","98.4 ","341 ","67.0","0606111","201516"
"District ","96.7 ","","65.4","0606111","201516"
"Female ","80.9 ","128 ","30.6","0626111","201314"
"Male ","68.7 ","117 ","24.9","0626111","201314"
"Black or African American ","64.4 ","33 ","10.7","0626111","201314"
"Hispanic or Latino ","68.4 ","31 ","22.8","0626111","201314"
"White ","83.1 ","151 ","39.9","0626111","201314"
"English Language Learners ","50.0 ","* ","*","0626111","201314"
"Eligible for Free or ","61.3 ","33 ","11.8","0626111","201314"
"Reduced-Price Meals","","","","0626111","201314"
"Students with Disabilities ","* ","* ","*","0626111","201314"
"School ","74.4 ","245 ","27.6","0626111","201314"
"District ","72.2 ","","26.9","0626111","201314"
"Female ","77.7 ","127 ","30.5","0626111","201415"
"Male ","65.1 ","108 ","25.7","0626111","201415"
"Black or African American ","62.7 ","35 ","11.9","0626111","201415"
"Hispanic or Latino ","66.4 ","35 ","25.0","0626111","201415"
"White ","80.1 ","136 ","40.4","0626111","201415"
"English Language Learners ","50.0 ","* ","*","0626111","201415"
"Eligible for Free or ","61.6 ","42 ","14.9","0626111","201415"
"Reduced-Price Meals","","","","0626111","201415"
"Students with Disabilities ","* ","* ","*","0626111","201415"
"School ","71.4 ","235 ","28.0","0626111","201415"
"District ","67.1 ","","26.2","0626111","201415"
"Female ","98.5 ","151 ","37.7","0626111","201516"
"Male ","97.1 ","144 ","34.2","0626111","201516"
"Black or African American ","96.4 ","41 ","14.6","0626111","201516"
"Hispanic or Latino ","97.9 ","42 ","30.0","0626111","201516"
"White ","98.8 ","168 ","51.1","0626111","201516"
"English Language Learners ","95.2 ","* ","*","0626111","201516"
"Eligible for Free or ","97.1 ","62 ","22.4","0626111","201516"
"Reduced-Price Meals","","","","0626111","201516"
"Students with Disabilities ","* ","* ","*","0626111","201516"
"School ","97.8 ","295 ","35.9","0626111","201516"
"District ","94.9 ","","33.4","0626111","201516"
