"indicator","index.rate","target","points","max","percent.points","state.avg","school_code","year"
"Prep for CCR: % Passing Exams ","N/A ","75% ",0,0,0,"37.3%","0560311","201415"
"Physical Fitness (estimated part rate) and (fitness rate) ","98.6% | 54.8% ","75% ",36.5,50,73.1,"87.6% | 51.0%","0560311","201415"
"Arts Access ","N/A ","60% ",0,0,0,"45.7%","0560311","201415"
"Accountability Index ","","",577.3,650,88.8,"","0560311","201415"
"ELA Performance index: All Students ","81.2 ","75 ",50,50,100,"67.7","0560311","201516"
"ELA Performance index: High Needs Students ","70.4 ","75 ",46.9,50,93.8,"56.7","0560311","201516"
"Math Performance index: All Students ","73.8 ","75 ",49.2,50,98.4,"61.4","0560311","201516"
"Math Performance index: High Needs Students ","64.1 ","75 ",42.7,50,85.4,"49.9","0560311","201516"
"Science Performance index: All Students ","73.8 ","75 ",49.2,50,98.4,"57.5","0560311","201516"
"Science Performance index: High Needs Students ","N/A ","75 ",0,0,0,"47.0","0560311","201516"
"ELA Academic growth: ELA Performance index: All Students ","87.8% ","100% ",87.8,100,87.8,"63.8%","0560311","201516"
"ELA Academic growth: ELA Performance index: High Needs Students ","82.9% ","100% ",82.9,100,82.9,"58.3%","0560311","201516"
"Math Academic growth: Math Performance index: All Students ","87.8% ","100% ",87.8,100,87.8,"65.0%","0560311","201516"
"Math Academic growth: Math Performance index: High Needs Students ","77.5% ","100% ",77.5,100,77.5,"57.4%","0560311","201516"
"Chronic absenteeism: Science Performance index: All Students ","4.2% ","<=5% ",50,50,100,"9.6%","0560311","201516"
"Chronic absenteeism: Science Performance index: High Needs Students ","5.2% ","<=5% ",49.7,50,99.3,"15.6%","0560311","201516"
"Prep for CCR: ELA Academic growth: ELA Performance index: All Students ","N/A ","75% ",0,0,0,"67.6%","0560311","201516"
"Prep for CCR: ELA Academic growth: ELA Performance index: High Needs Students ","N/A ","75% ",0,0,0,"40.7%","0560311","201516"
"On-track to High School Graduation ","N/A ","94% ",0,0,0,"85.1%","0560311","201516"
"4-year Graduation All Students (2015 Cohort) ","N/A ","94% ",0,0,0,"87.2%","0560311","201516"
"6-year Graduation - High Needs Students (2013 Cohort) ","N/A ","94% ",0,0,0,"78.6%","0560311","201516"
"Postsecondary Entrance (Class of 2015) ","N/A ","75% ",0,0,0,"71.9%","0560311","201516"
"Physical Fitness (estimated part rate) and (fitness rate) ","96.4% | 48.5% ","75% ",32.3,50,64.6,"89.2% | 50.5%","0560311","201516"
"Arts Access ","N/A ","60% ",0,0,0,"47.5%","0560311","201516"
"ELA: All Students ","82.6 ","75 ",100,100,100,"67.9","0560411","201415"
"ELA: High Needs Students ","69.3 ","75 ",92.4,100,92.4,"56.7","0560411","201415"
"Math: All Students ","76.9 ","75 ",100,100,100,"59.3","0560411","201415"
"Math: High Needs Students ","65.0 ","75 ",86.6,100,86.6,"47.8","0560411","201415"
"Science: All Students ","77.6 ","75 ",100,100,100,"56.5","0560411","201415"
"Science: High Needs Students ","N/A ","75 ",0,0,0,"45.9","0560411","201415"
"Chronic absenteeism: All Students ","4.5% ","<=5% ",50,50,100,"10.6%","0560411","201415"
"Chronic absenteeism: High Needs Students ","9.2% ","<=5% ",41.5,50,83.1,"17.3%","0560411","201415"
"Prep for CCR: % Taking Courses ","N/A ","75% ",0,0,0,"66.1%","0560411","201415"
"Prep for CCR: % Passing Exams ","N/A ","75% ",0,0,0,"37.3%","0560411","201415"
"Physical Fitness (estimated part rate) and (fitness rate) ","100.0% | 76.2% ","75% ",50,50,100,"87.6% | 51.0%","0560411","201415"
"Arts Access ","N/A ","60% ",0,0,0,"45.7%","0560411","201415"
"Accountability Index ","","",620.6,650,95.5,"","0560411","201415"
"ELA Performance index: All Students ","82.5 ","75 ",50,50,100,"67.7","0560411","201516"
"ELA Performance index: High Needs Students ","67.2 ","75 ",44.8,50,89.6,"56.7","0560411","201516"
"Math Performance index: All Students ","76.8 ","75 ",50,50,100,"61.4","0560411","201516"
"Math Performance index: High Needs Students ","62.2 ","75 ",41.4,50,82.9,"49.9","0560411","201516"
"Science Performance index: All Students ","76.0 ","75 ",50,50,100,"57.5","0560411","201516"
"Science Performance index: High Needs Students ","N/A ","75 ",0,0,0,"47.0","0560411","201516"
"ELA Academic growth: ELA Performance index: All Students ","78.4% ","100% ",78.4,100,78.4,"63.8%","0560411","201516"
"ELA Academic growth: ELA Performance index: High Needs Students ","59.5% ","100% ",59.5,100,59.5,"58.3%","0560411","201516"
"Math Academic growth: Math Performance index: All Students ","80.3% ","100% ",80.3,100,80.3,"65.0%","0560411","201516"
"Math Academic growth: Math Performance index: High Needs Students ","68.1% ","100% ",68.1,100,68.1,"57.4%","0560411","201516"
"Chronic absenteeism: Science Performance index: All Students ","3.3% ","<=5% ",50,50,100,"9.6%","0560411","201516"
"Chronic absenteeism: Science Performance index: High Needs Students ","8.9% ","<=5% ",42.1,50,84.3,"15.6%","0560411","201516"
"Prep for CCR: ELA Academic growth: ELA Performance index: All Students ","N/A ","75% ",0,0,0,"67.6%","0560411","201516"
"Prep for CCR: ELA Academic growth: ELA Performance index: High Needs Students ","N/A ","75% ",0,0,0,"40.7%","0560411","201516"
"On-track to High School Graduation ","N/A ","94% ",0,0,0,"85.1%","0560411","201516"
"4-year Graduation All Students (2015 Cohort) ","N/A ","94% ",0,0,0,"87.2%","0560411","201516"
"6-year Graduation - High Needs Students (2013 Cohort) ","N/A ","94% ",0,0,0,"78.6%","0560411","201516"
"Postsecondary Entrance (Class of 2015) ","N/A ","75% ",0,0,0,"71.9%","0560411","201516"
"Physical Fitness (estimated part rate) and (fitness rate) ","98.0% | 75.8% ","75% ",50,50,100,"89.2% | 50.5%","0560411","201516"
"Arts Access ","N/A ","60% ",0,0,0,"47.5%","0560411","201516"
"ELA: All Students ","76.2 ","75 ",100,100,100,"67.9","0565111","201415"
"ELA: High Needs Students ","64.1 ","75 ",85.5,100,85.5,"56.7","0565111","201415"
"Math: All Students ","68.9 ","75 ",91.8,100,91.8,"59.3","0565111","201415"
"Math: High Needs Students ","55.9 ","75 ",74.5,100,74.5,"47.8","0565111","201415"
"Science: All Students ","66.5 ","75 ",88.7,100,88.7,"56.5","0565111","201415"
"Science: High Needs Students ","58.2 ","75 ",77.6,100,77.6,"45.9","0565111","201415"
"Chronic absenteeism: All Students ","3.4% ","<=5% ",50,50,100,"10.6%","0565111","201415"
"Chronic absenteeism: High Needs Students ","8.8% ","<=5% ",42.4,50,84.7,"17.3%","0565111","201415"
"Prep for CCR: % Taking Courses ","N/A ","75% ",0,0,0,"66.1%","0565111","201415"
"Prep for CCR: % Passing Exams ","N/A ","75% ",0,0,0,"37.3%","0565111","201415"
"Physical Fitness (estimated part rate) and (fitness rate) ","97.6% | 49.1% ","75% ",32.7,50,65.4,"87.6% | 51.0%","0565111","201415"
"Arts Access ","N/A ","60% ",0,0,0,"45.7%","0565111","201415"
"Accountability Index ","","",692.8,800,86.6,"","0565111","201415"
"ELA Performance index: All Students ","77.0 ","75 ",50,50,100,"67.7","0565111","201516"
"ELA Performance index: High Needs Students ","61.9 ","75 ",41.3,50,82.6,"56.7","0565111","201516"
"Math Performance index: All Students ","68.9 ","75 ",46,50,91.9,"61.4","0565111","201516"
"Math Performance index: High Needs Students ","56.5 ","75 ",37.7,50,75.3,"49.9","0565111","201516"
"Science Performance index: All Students ","65.9 ","75 ",43.9,50,87.9,"57.5","0565111","201516"
"Science Performance index: High Needs Students ","58.7 ","75 ",39.1,50,78.2,"47.0","0565111","201516"
"ELA Academic growth: ELA Performance index: All Students ","68.8% ","100% ",68.8,100,68.8,"63.8%","0565111","201516"
"ELA Academic growth: ELA Performance index: High Needs Students ","55.3% ","100% ",55.3,100,55.3,"58.3%","0565111","201516"
"Math Academic growth: Math Performance index: All Students ","57.8% ","100% ",57.8,100,57.8,"65.0%","0565111","201516"
"Math Academic growth: Math Performance index: High Needs Students ","45.7% ","100% ",45.7,100,45.7,"57.4%","0565111","201516"
"Chronic absenteeism: Science Performance index: All Students ","5.8% ","<=5% ",48.3,50,96.7,"9.6%","0565111","201516"
"Chronic absenteeism: Science Performance index: High Needs Students ","23.2% ","<=5% ",13.6,50,27.1,"15.6%","0565111","201516"
"Prep for CCR: ELA Academic growth: ELA Performance index: All Students ","N/A ","75% ",0,0,0,"67.6%","0565111","201516"
"Prep for CCR: ELA Academic growth: ELA Performance index: High Needs Students ","N/A ","75% ",0,0,0,"40.7%","0565111","201516"
"On-track to High School Graduation ","96.4% ","94% ",50,50,100,"85.1%","0565111","201516"
"4-year Graduation All Students (2015 Cohort) ","N/A ","94% ",0,0,0,"87.2%","0565111","201516"
"6-year Graduation - High Needs Students (2013 Cohort) ","N/A ","94% ",0,0,0,"78.6%","0565111","201516"
"Postsecondary Entrance (Class of 2015) ","N/A ","75% ",0,0,0,"71.9%","0565111","201516"
"Physical Fitness (estimated part rate) and (fitness rate) ","96.8% | 46.7% ","75% ",31.1,50,62.3,"89.2% | 50.5%","0565111","201516"
"Arts Access ","N/A ","60% ",0,0,0,"47.5%","0565111","201516"
"ELA: All Students ","73.4 ","75 ",97.9,100,97.9,"67.9","0566111","201415"
"ELA: High Needs Students ","56.4 ","75 ",75.3,100,75.3,"56.7","0566111","201415"
"Math: All Students ","66.3 ","75 ",88.4,100,88.4,"59.3","0566111","201415"
"Math: High Needs Students ","50.2 ","75 ",66.9,100,66.9,"47.8","0566111","201415"
"Science: All Students ","73.4 ","75 ",97.9,100,97.9,"56.5","0566111","201415"
"Science: High Needs Students ","58.3 ","75 ",77.7,100,77.7,"45.9","0566111","201415"
"Chronic absenteeism: All Students ","4.9% ","<=5% ",50,50,100,"10.6%","0566111","201415"
"Chronic absenteeism: High Needs Students ","11.7% ","<=5% ",36.6,50,73.2,"17.3%","0566111","201415"
"Prep for CCR: % Taking Courses ","92.8% ","75% ",50,50,100,"66.1%","0566111","201415"
"Prep for CCR: % Passing Exams ","61.4% ","75% ",40.9,50,81.8,"37.3%","0566111","201415"
"Postsecondary Entrance (Class of 2014) ","86.9% ","75% ",100,100,100,"72.8%","0566111","201415"
"Physical Fitness (estimated part rate) and (fitness rate) ","90.3% | 60.7% ","75% ",40.5,50,81,"87.6% | 51.0%","0566111","201415"
"Arts Access ","22.5% ","60% ",18.7,50,37.5,"45.7%","0566111","201415"
"Accountability Index ","","",1090.6,1250,87.2,"","0566111","201415"
"ELA: High Needs Students ","53.8 ","75 ",71.7,100,71.7,"56.7","0566111","201516"
"ELA: All Students ","65.2 ","75 ",87,100,87,"61.4","0566111","201516"
"Math: High Needs Students ","52.9 ","75 ",70.6,100,70.6,"49.9","0566111","201516"
"Math: All Students ","73.0 ","75 ",97.3,100,97.3,"57.5","0566111","201516"
"Science: High Needs Students ","53.3 ","75 ",71.1,100,71.1,"47.0","0566111","201516"
"Science: All Students ","N/A ","100% ",0,0,0,"63.8%","0566111","201516"
"Chronic absenteeism: High Needs Students ","N/A ","100% ",0,0,0,"58.3%","0566111","201516"
"Chronic absenteeism: All Students ","N/A ","100% ",0,0,0,"65.0%","0566111","201516"
"Prep for CCR: High Needs Students ","N/A ","100% ",0,0,0,"57.4%","0566111","201516"
"Prep for CCR: All Students ","5.5% ","<=5% ",49,50,98,"9.6%","0566111","201516"
"On-track to High School Graduation ","97.2% ","94% ",50,50,100,"85.1%","0566111","201516"
"4-year Graduation All Students (2015 Cohort) ","97.6% ","94% ",100,100,100,"87.2%","0566111","201516"
"6-year Graduation - High Needs Students (2013 Cohort) ","96.2% ","94% ",100,100,100,"78.6%","0566111","201516"
"Postsecondary Entrance (Class of 2015) ","86.7% ","75% ",100,100,100,"71.9%","0566111","201516"
"Physical Fitness (estimated part rate) and (fitness rate) ","90.5% | 59.2% ","75% ",39.5,50,78.9,"89.2% | 50.5%","0566111","201516"
"ELA: All Students ","76.7 ","75 ",100,100,100,"67.9","0570211","201415"
"ELA: High Needs Students ","64.9 ","75 ",86.6,100,86.6,"56.7","0570211","201415"
"Math: All Students ","68.9 ","75 ",91.9,100,91.9,"59.3","0570211","201415"
"Math: High Needs Students ","61.8 ","75 ",82.4,100,82.4,"47.8","0570211","201415"
"Science: All Students ","60.3 ","75 ",80.4,100,80.4,"56.5","0570211","201415"
"Science: High Needs Students ","N/A ","75 ",0,0,0,"45.9","0570211","201415"
"Chronic absenteeism: All Students ","1.4% ","<=5% ",50,50,100,"10.6%","0570211","201415"
"Chronic absenteeism: High Needs Students ","2.8% ","<=5% ",50,50,100,"17.3%","0570211","201415"
"Prep for CCR: % Taking Courses ","N/A ","75% ",0,0,0,"66.1%","0570211","201415"
"Prep for CCR: % Passing Exams ","N/A ","75% ",0,0,0,"37.3%","0570211","201415"
"Physical Fitness (estimated part rate) and (fitness rate) ","98.7% | 67.6% ","75% ",45,50,90.1,"87.6% | 51.0%","0570211","201415"
"Arts Access ","N/A ","60% ",0,0,0,"45.7%","0570211","201415"
"Accountability Index ","","",586.2,650,90.2,"","0570211","201415"
"ELA Performance index: All Students ","78.5 ","75 ",50,50,100,"67.7","0570211","201516"
"ELA Performance index: High Needs Students ","65.4 ","75 ",43.6,50,87.3,"56.7","0570211","201516"
"Math Performance index: All Students ","71.4 ","75 ",47.6,50,95.2,"61.4","0570211","201516"
"Math Performance index: High Needs Students ","60.0 ","75 ",40,50,80,"49.9","0570211","201516"
"Science Performance index: All Students ","63.8 ","75 ",42.6,50,85.1,"57.5","0570211","201516"
"Science Performance index: High Needs Students ","N/A ","75 ",0,0,0,"47.0","0570211","201516"
"ELA Academic growth: ELA Performance index: All Students ","70.6% ","100% ",70.6,100,70.6,"63.8%","0570211","201516"
"ELA Academic growth: ELA Performance index: High Needs Students ","54.0% ","100% ",54,100,54,"58.3%","0570211","201516"
"Math Academic growth: Math Performance index: All Students ","79.6% ","100% ",79.6,100,79.6,"65.0%","0570211","201516"
"Math Academic growth: Math Performance index: High Needs Students ","74.6% ","100% ",74.6,100,74.6,"57.4%","0570211","201516"
"Chronic absenteeism: Science Performance index: All Students ","2.2% ","<=5% ",50,50,100,"9.6%","0570211","201516"
"Chronic absenteeism: Science Performance index: High Needs Students ","3.7% ","<=5% ",50,50,100,"15.6%","0570211","201516"
"Prep for CCR: ELA Academic growth: ELA Performance index: All Students ","N/A ","75% ",0,0,0,"67.6%","0570211","201516"
"Prep for CCR: ELA Academic growth: ELA Performance index: High Needs Students ","N/A ","75% ",0,0,0,"40.7%","0570211","201516"
"On-track to High School Graduation ","N/A ","94% ",0,0,0,"85.1%","0570211","201516"
"4-year Graduation All Students (2015 Cohort) ","N/A ","94% ",0,0,0,"87.2%","0570211","201516"
"6-year Graduation - High Needs Students (2013 Cohort) ","N/A ","94% ",0,0,0,"78.6%","0570211","201516"
"Postsecondary Entrance (Class of 2015) ","N/A ","75% ",0,0,0,"71.9%","0570211","201516"
"Physical Fitness (estimated part rate) and (fitness rate) ","90.7% | 73.5% ","75% ",49,50,98,"89.2% | 50.5%","0570211","201516"
"Arts Access ","N/A ","60% ",0,0,0,"47.5%","0570211","201516"
"ELA: All Students ","73.4 ","75 ",97.9,100,97.9,"67.9","0570311","201415"
"ELA: High Needs Students ","62.7 ","75 ",83.6,100,83.6,"56.7","0570311","201415"
"Math: All Students ","67.9 ","75 ",90.6,100,90.6,"59.3","0570311","201415"
"Math: High Needs Students ","57.1 ","75 ",76.1,100,76.1,"47.8","0570311","201415"
"Science: All Students ","62.3 ","75 ",83.1,100,83.1,"56.5","0570311","201415"
"Science: High Needs Students ","52.9 ","75 ",70.5,100,70.5,"45.9","0570311","201415"
"Chronic absenteeism: All Students ","3.0% ","<=5% ",50,50,100,"10.6%","0570311","201415"
"Chronic absenteeism: High Needs Students ","2.8% ","<=5% ",50,50,100,"17.3%","0570311","201415"
"Prep for CCR: % Taking Courses ","N/A ","75% ",0,0,0,"66.1%","0570311","201415"
"Prep for CCR: % Passing Exams ","N/A ","75% ",0,0,0,"37.3%","0570311","201415"
"Physical Fitness (estimated part rate) and (fitness rate) ","100.0% | 78.6% ","75% ",50,50,100,"87.6% | 51.0%","0570311","201415"
"Arts Access ","N/A ","60% ",0,0,0,"45.7%","0570311","201415"
"Accountability Index ","","",651.7,750,86.9,"","0570311","201415"
"ELA Performance index: All Students ","74.4 ","75 ",49.6,50,99.2,"67.7","0570311","201516"
"ELA Performance index: High Needs Students ","60.1 ","75 ",40.1,50,80.1,"56.7","0570311","201516"
"Math Performance index: All Students ","69.1 ","75 ",46.1,50,92.1,"61.4","0570311","201516"
"Math Performance index: High Needs Students ","57.7 ","75 ",38.4,50,76.9,"49.9","0570311","201516"
"Science Performance index: All Students ","60.3 ","75 ",40.2,50,80.4,"57.5","0570311","201516"
"Science Performance index: High Needs Students ","53.3 ","75 ",35.6,50,71.1,"47.0","0570311","201516"
"ELA Academic growth: ELA Performance index: All Students ","78.7% ","100% ",78.7,100,78.7,"63.8%","0570311","201516"
"ELA Academic growth: ELA Performance index: High Needs Students ","70.2% ","100% ",70.2,100,70.2,"58.3%","0570311","201516"
"Math Academic growth: Math Performance index: All Students ","73.3% ","100% ",73.3,100,73.3,"65.0%","0570311","201516"
"Math Academic growth: Math Performance index: High Needs Students ","64.1% ","100% ",64.1,100,64.1,"57.4%","0570311","201516"
"Chronic absenteeism: Science Performance index: All Students ","3.4% ","<=5% ",50,50,100,"9.6%","0570311","201516"
"Chronic absenteeism: Science Performance index: High Needs Students ","4.9% ","<=5% ",50,50,100,"15.6%","0570311","201516"
"Prep for CCR: ELA Academic growth: ELA Performance index: All Students ","N/A ","75% ",0,0,0,"67.6%","0570311","201516"
"Prep for CCR: ELA Academic growth: ELA Performance index: High Needs Students ","N/A ","75% ",0,0,0,"40.7%","0570311","201516"
"On-track to High School Graduation ","N/A ","94% ",0,0,0,"85.1%","0570311","201516"
"4-year Graduation All Students (2015 Cohort) ","N/A ","94% ",0,0,0,"87.2%","0570311","201516"
"6-year Graduation - High Needs Students (2013 Cohort) ","N/A ","94% ",0,0,0,"78.6%","0570311","201516"
"Postsecondary Entrance (Class of 2015) ","N/A ","75% ",0,0,0,"71.9%","0570311","201516"
"Physical Fitness (estimated part rate) and (fitness rate) ","85.7% | 77.8% ","75% ",25,50,50,"89.2% | 50.5%","0570311","201516"
"Arts Access ","N/A ","60% ",0,0,0,"47.5%","0570311","201516"
"ELA: All Students ","78.2 ","75 ",100,100,100,"67.9","0570411","201415"
"ELA: High Needs Students ","62.9 ","75 ",83.8,100,83.8,"56.7","0570411","201415"
"Math: All Students ","72.1 ","75 ",96.1,100,96.1,"59.3","0570411","201415"
"Math: High Needs Students ","57.6 ","75 ",76.8,100,76.8,"47.8","0570411","201415"
"Science: All Students ","58.5 ","75 ",78,100,78,"56.5","0570411","201415"
"Science: High Needs Students ","N/A ","75 ",0,0,0,"45.9","0570411","201415"
"Chronic absenteeism: All Students ","1.9% ","<=5% ",50,50,100,"10.6%","0570411","201415"
"Chronic absenteeism: High Needs Students ","6.5% ","<=5% ",47,50,94,"17.3%","0570411","201415"
"Prep for CCR: % Taking Courses ","N/A ","75% ",0,0,0,"66.1%","0570411","201415"
"Prep for CCR: % Passing Exams ","N/A ","75% ",0,0,0,"37.3%","0570411","201415"
"Physical Fitness (estimated part rate) and (fitness rate) ","98.7% | 83.1% ","75% ",50,50,100,"87.6% | 51.0%","0570411","201415"
"Arts Access ","N/A ","60% ",0,0,0,"45.7%","0570411","201415"
"Accountability Index ","","",581.7,650,89.5,"","0570411","201415"
"ELA Performance index: All Students ","79.7 ","75 ",50,50,100,"67.7","0570411","201516"
"ELA Performance index: High Needs Students ","62.4 ","75 ",41.6,50,83.2,"56.7","0570411","201516"
"Math Performance index: All Students ","73.2 ","75 ",48.8,50,97.6,"61.4","0570411","201516"
"Math Performance index: High Needs Students ","56.8 ","75 ",37.8,50,75.7,"49.9","0570411","201516"
"Science Performance index: All Students ","68.2 ","75 ",45.5,50,91,"57.5","0570411","201516"
"Science Performance index: High Needs Students ","N/A ","75 ",0,0,0,"47.0","0570411","201516"
"ELA Academic growth: ELA Performance index: All Students ","78.7% ","100% ",78.7,100,78.7,"63.8%","0570411","201516"
"ELA Academic growth: ELA Performance index: High Needs Students ","61.3% ","100% ",61.3,100,61.3,"58.3%","0570411","201516"
"Math Academic growth: Math Performance index: All Students ","73.3% ","100% ",73.3,100,73.3,"65.0%","0570411","201516"
"Math Academic growth: Math Performance index: High Needs Students ","58.8% ","100% ",58.8,100,58.8,"57.4%","0570411","201516"
"Chronic absenteeism: Science Performance index: All Students ","2.5% ","<=5% ",50,50,100,"9.6%","0570411","201516"
"Chronic absenteeism: Science Performance index: High Needs Students ","2.9% ","<=5% ",50,50,100,"15.6%","0570411","201516"
"Prep for CCR: ELA Academic growth: ELA Performance index: All Students ","N/A ","75% ",0,0,0,"67.6%","0570411","201516"
"Prep for CCR: ELA Academic growth: ELA Performance index: High Needs Students ","N/A ","75% ",0,0,0,"40.7%","0570411","201516"
"On-track to High School Graduation ","N/A ","94% ",0,0,0,"85.1%","0570411","201516"
"4-year Graduation All Students (2015 Cohort) ","N/A ","94% ",0,0,0,"87.2%","0570411","201516"
"6-year Graduation - High Needs Students (2013 Cohort) ","N/A ","94% ",0,0,0,"78.6%","0570411","201516"
"Postsecondary Entrance (Class of 2015) ","N/A ","75% ",0,0,0,"71.9%","0570411","201516"
"Physical Fitness (estimated part rate) and (fitness rate) ","65.8% | 75.0% ","75% ",12.5,50,25,"89.2% | 50.5%","0570411","201516"
"Arts Access ","N/A ","60% ",0,0,0,"47.5%","0570411","201516"
"ELA: All Students ","69.7 ","75 ",93,100,93,"67.9","0570511","201415"
"ELA: High Needs Students ","65.8 ","75 ",87.8,100,87.8,"56.7","0570511","201415"
"Math: All Students ","56.9 ","75 ",75.8,100,75.8,"59.3","0570511","201415"
"Math: High Needs Students ","53.1 ","75 ",70.8,100,70.8,"47.8","0570511","201415"
"Science: All Students ","49.3 ","75 ",65.7,100,65.7,"56.5","0570511","201415"
"Science: High Needs Students ","44.2 ","75 ",59,100,59,"45.9","0570511","201415"
"Chronic absenteeism: All Students ","4.4% ","<=5% ",50,50,100,"10.6%","0570511","201415"
"Chronic absenteeism: High Needs Students ","6.2% ","<=5% ",47.7,50,95.3,"17.3%","0570511","201415"
"Prep for CCR: % Taking Courses ","N/A ","75% ",0,0,0,"66.1%","0570511","201415"
"Prep for CCR: % Passing Exams ","N/A ","75% ",0,0,0,"37.3%","0570511","201415"
"Physical Fitness (estimated part rate) and (fitness rate) ","N/A | N/A ","75% ",0,50,0,"87.6% | 51.0%","0570511","201415"
"Arts Access ","N/A ","60% ",0,0,0,"45.7%","0570511","201415"
"Accountability Index ","","",549.7,750,73.3,"","0570511","201415"
"ELA Performance index: All Students ","69.2 ","75 ",46.2,50,92.3,"67.7","0570511","201516"
"ELA Performance index: High Needs Students ","65.4 ","75 ",43.6,50,87.1,"56.7","0570511","201516"
"Math Performance index: All Students ","61.5 ","75 ",41,50,82,"61.4","0570511","201516"
"Math Performance index: High Needs Students ","57.7 ","75 ",38.5,50,77,"49.9","0570511","201516"
"Science Performance index: All Students ","52.4 ","75 ",34.9,50,69.9,"57.5","0570511","201516"
"Science Performance index: High Needs Students ","52.1 ","75 ",34.7,50,69.4,"47.0","0570511","201516"
"ELA Academic growth: ELA Performance index: All Students ","61.6% ","100% ",61.6,100,61.6,"63.8%","0570511","201516"
"ELA Academic growth: ELA Performance index: High Needs Students ","58.5% ","100% ",58.5,100,58.5,"58.3%","0570511","201516"
"Math Academic growth: Math Performance index: All Students ","70.5% ","100% ",70.5,100,70.5,"65.0%","0570511","201516"
"Math Academic growth: Math Performance index: High Needs Students ","70.0% ","100% ",70,100,70,"57.4%","0570511","201516"
"Chronic absenteeism: Science Performance index: All Students ","6.4% ","<=5% ",47.2,50,94.3,"9.6%","0570511","201516"
"Chronic absenteeism: Science Performance index: High Needs Students ","7.8% ","<=5% ",44.3,50,88.7,"15.6%","0570511","201516"
"Prep for CCR: ELA Academic growth: ELA Performance index: All Students ","N/A ","75% ",0,0,0,"67.6%","0570511","201516"
"Prep for CCR: ELA Academic growth: ELA Performance index: High Needs Students ","N/A ","75% ",0,0,0,"40.7%","0570511","201516"
"On-track to High School Graduation ","N/A ","94% ",0,0,0,"85.1%","0570511","201516"
"4-year Graduation All Students (2015 Cohort) ","N/A ","94% ",0,0,0,"87.2%","0570511","201516"
"6-year Graduation - High Needs Students (2013 Cohort) ","N/A ","94% ",0,0,0,"78.6%","0570511","201516"
"Postsecondary Entrance (Class of 2015) ","N/A ","75% ",0,0,0,"71.9%","0570511","201516"
"Physical Fitness (estimated part rate) and (fitness rate) ","100.0% | 62.9% ","75% ",41.9,50,83.8,"89.2% | 50.5%","0570511","201516"
"Arts Access ","N/A ","60% ",0,0,0,"47.5%","0570511","201516"
"ELA: All Students ","71.2 ","75 ",94.9,100,94.9,"67.9","0570611","201415"
"ELA: High Needs Students ","66.3 ","75 ",88.4,100,88.4,"56.7","0570611","201415"
"Math: All Students ","57.4 ","75 ",76.5,100,76.5,"59.3","0570611","201415"
"Math: High Needs Students ","52.6 ","75 ",70.2,100,70.2,"47.8","0570611","201415"
"Science: All Students ","52.6 ","75 ",70.2,100,70.2,"56.5","0570611","201415"
"Science: High Needs Students ","49.3 ","75 ",65.8,100,65.8,"45.9","0570611","201415"
"Chronic absenteeism: All Students ","1.5% ","<=5% ",50,50,100,"10.6%","0570611","201415"
"Chronic absenteeism: High Needs Students ","1.6% ","<=5% ",50,50,100,"17.3%","0570611","201415"
"Prep for CCR: % Taking Courses ","N/A ","75% ",0,0,0,"66.1%","0570611","201415"
"Prep for CCR: % Passing Exams ","N/A ","75% ",0,0,0,"37.3%","0570611","201415"
"Physical Fitness (estimated part rate) and (fitness rate) ","97.9% | 72.3% ","75% ",48.2,50,96.5,"87.6% | 51.0%","0570611","201415"
"Arts Access ","N/A ","60% ",0,0,0,"45.7%","0570611","201415"
"Accountability Index ","","",614.2,750,81.9,"","0570611","201415"
"ELA Performance index: All Students ","72.0 ","75 ",48,50,96,"67.7","0570611","201516"
"ELA Performance index: High Needs Students ","66.8 ","75 ",44.5,50,89.1,"56.7","0570611","201516"
"Math Performance index: All Students ","64.1 ","75 ",42.7,50,85.5,"61.4","0570611","201516"
"Math Performance index: High Needs Students ","58.1 ","75 ",38.7,50,77.4,"49.9","0570611","201516"
"Science Performance index: All Students ","53.8 ","75 ",35.9,50,71.7,"57.5","0570611","201516"
"Science Performance index: High Needs Students ","48.3 ","75 ",32.2,50,64.4,"47.0","0570611","201516"
"ELA Academic growth: ELA Performance index: All Students ","68.7% ","100% ",68.7,100,68.7,"63.8%","0570611","201516"
"ELA Academic growth: ELA Performance index: High Needs Students ","65.8% ","100% ",65.8,100,65.8,"58.3%","0570611","201516"
"Math Academic growth: Math Performance index: All Students ","71.6% ","100% ",71.6,100,71.6,"65.0%","0570611","201516"
"Math Academic growth: Math Performance index: High Needs Students ","70.0% ","100% ",70,100,70,"57.4%","0570611","201516"
"Chronic absenteeism: Science Performance index: All Students ","2.2% ","<=5% ",50,50,100,"9.6%","0570611","201516"
"Chronic absenteeism: Science Performance index: High Needs Students ","3.1% ","<=5% ",50,50,100,"15.6%","0570611","201516"
"Prep for CCR: ELA Academic growth: ELA Performance index: All Students ","N/A ","75% ",0,0,0,"67.6%","0570611","201516"
"Prep for CCR: ELA Academic growth: ELA Performance index: High Needs Students ","N/A ","75% ",0,0,0,"40.7%","0570611","201516"
"On-track to High School Graduation ","N/A ","94% ",0,0,0,"85.1%","0570611","201516"
"4-year Graduation All Students (2015 Cohort) ","N/A ","94% ",0,0,0,"87.2%","0570611","201516"
"6-year Graduation - High Needs Students (2013 Cohort) ","N/A ","94% ",0,0,0,"78.6%","0570611","201516"
