"category","ela.count","ela.spi","math.count","math.spi","sci.count","sci.spi","school_code","year"
"White ","391 ","82.3 ","391 ","71.5 ","137 ","63.8","0575111","201415"
"English Language Learners ","24 ","61.6 ","24 ","61.2 ","6 ","*","0575111","201415"
"Non-English Language Learners ","540 ","81.7 ","540 ","70.9 ","183 ","62.9","0575111","201415"
"Eligible for Free or Reduced-Price Meals ","67 ","66.9 ","67 ","53.3 ","22 ","57.2","0575111","201415"
"Not Eligible for Free or Reduced-Price Meals ","497 ","82.8 ","497 ","72.9 ","167 ","63.2","0575111","201415"
"Students with Disabilities ","53 ","54.6 ","53 ","46.3 ","20 ","46.9","0575111","201415"
"Students without Disabilities ","511 ","83.6 ","511 ","73.0 ","169 ","64.4","0575111","201415"
"High Needs ","120 ","63.2 ","120 ","54.4 ","44 ","52.2","0575111","201415"
"Non-High Needs ","444 ","85.6 ","444 ","74.9 ","145 ","65.7","0575111","201415"
"School ","564 ","80.9 ","564 ","70.5 ","189 ","62.5","0575111","201415"
"Asian ","49 ","82.4 ","49 ","83.6 ","13 ","*","0575111","201516"
"Black or African American ","21 ","62.9 ","21 ","47.5 ","* ","*","0575111","201516"
"Hispanic or Latino ","91 ","67.0 ","91 ","56.3 ","34 ","57.6","0575111","201516"
"Native Hawaiian or Other Pacific Islander ","* ","* ","* ","* ","0 ","N/A","0575111","201516"
"Two or More Races ","24 ","86.9 ","24 ","78.8 ","10 ","*","0575111","201516"
"White ","352 ","77.3 ","352 ","68.7 ","124 ","64.1","0575111","201516"
"English Language Learners ","26 ","58.3 ","26 ","64.1 ","* ","*","0575111","201516"
"Non-English Language Learners ","514 ","76.8 ","514 ","67.8 ","* ","*","0575111","201516"
"Eligible for Free or Reduced-Price Meals ","71 ","61.6 ","71 ","49.7 ","18 ","*","0575111","201516"
"Not Eligible for Free or Reduced-Price Meals ","469 ","78.1 ","469 ","70.3 ","168 ","63.7","0575111","201516"
"Students with Disabilities ","57 ","49.5 ","57 ","40.9 ","21 ","47.3","0575111","201516"
"Students without Disabilities ","483 ","79.1 ","483 ","70.7 ","165 ","65.0","0575111","201516"
"High Needs ","128 ","59.4 ","128 ","51.7 ","40 ","52.4","0575111","201516"
"Non-High Needs ","412 ","81.1 ","412 ","72.5 ","146 ","65.9","0575111","201516"
"School ","540 ","75.9 ","540 ","67.6 ","186 ","63.0","0575111","201516"
"American Indian or Alaska Native ","* ","* ","* ","* ","0 ","*","0575211","201415"
"Asian ","65 ","85.9 ","65 ","88.3 ","21 ","67.0","0575211","201415"
"Black or African American ","7 ","* ","7 ","* ","* ","*","0575211","201415"
"Hispanic or Latino ","91 ","80.5 ","91 ","74.6 ","23 ","67.8","0575211","201415"
"Native Hawaiian or Other Pacific Islander ","* ","* ","* ","* ","* ","*","0575211","201415"
"Two or More Races ","29 ","93.7 ","29 ","88.3 ","12 ","*","0575211","201415"
"White ","602 ","84.8 ","601 ","78.1 ","203 ","70.6","0575211","201415"
"English Language Learners ","33 ","64.7 ","33 ","71.5 ","9 ","*","0575211","201415"
"Non-English Language Learners ","763 ","85.3 ","762 ","78.9 ","252 ","70.9","0575211","201415"
"Eligible for Free or Reduced-Price Meals ","34 ","73.7 ","34 ","62.7 ","12 ","*","0575211","201415"
"Not Eligible for Free or Reduced-Price Meals ","762 ","84.9 ","761 ","79.3 ","249 ","70.6","0575211","201415"
"Students with Disabilities ","76 ","62.3 ","76 ","52.8 ","21 ","56.6","0575211","201415"
"Students without Disabilities ","720 ","86.8 ","719 ","81.3 ","240 ","71.5","0575211","201415"
"High Needs ","134 ","66.6 ","134 ","60.1 ","40 ","58.7","0575211","201415"
"Non-High Needs ","662 ","88.1 ","661 ","82.3 ","221 ","72.4","0575211","201415"
"School ","796 ","84.5 ","795 ","78.6 ","261 ","70.3","0575211","201415"
"Asian ","70 ","87.9 ","70 ","91.1 ","27 ","71.7","0575211","201516"
"Black or African American ","8 ","* ","8 ","* ","* ","*","0575211","201516"
"Hispanic or Latino ","88 ","81.7 ","88 ","77.3 ","25 ","65.9","0575211","201516"
"Native Hawaiian or Other Pacific Islander ","* ","* ","* ","* ","0 ","N/A","0575211","201516"
"Two or More Races ","22 ","91.9 ","22 ","87.3 ","* ","*","0575211","201516"
"White ","614 ","84.4 ","613 ","80.9 ","193 ","69.5","0575211","201516"
"English Language Learners ","21 ","75.6 ","21 ","80.1 ","7 ","*","0575211","201516"
"Non-English Language Learners ","783 ","84.6 ","782 ","81.2 ","250 ","69.6","0575211","201516"
"Eligible for Free or Reduced-Price Meals ","29 ","69.5 ","28 ","65.3 ","10 ","*","0575211","201516"
"Not Eligible for Free or Reduced-Price Meals ","775 ","84.9 ","775 ","81.8 ","247 ","69.5","0575211","201516"
"Students with Disabilities ","88 ","62.5 ","88 ","56.6 ","27 ","55.6","0575211","201516"
"Students without Disabilities ","716 ","87.0 ","715 ","84.2 ","230 ","70.7","0575211","201516"
"High Needs ","132 ","66.7 ","131 ","62.8 ","42 ","56.7","0575211","201516"
"Non-High Needs ","672 ","87.8 ","672 ","84.8 ","215 ","71.6","0575211","201516"
"School ","804 ","84.3 ","803 ","81.2 ","257 ","69.1","0575211","201516"
"American Indian or Alaska Native ","* ","* ","* ","* ","* ","*","0575311","201415"
"Asian ","28 ","75.4 ","28 ","74.3 ","12 ","*","0575311","201415"
"Black or African American ","27 ","61.6 ","27 ","48.8 ","8 ","*","0575311","201415"
"Hispanic or Latino ","176 ","64.7 ","176 ","53.6 ","65 ","53.5","0575311","201415"
"Native Hawaiian or Other Pacific Islander ","0 ","N/A ","0 ","N/A ","0 ","N/A","0575311","201415"
"Two or More Races ","* ","* ","* ","* ","* ","*","0575311","201415"
"White ","282 ","74.2 ","282 ","66.1 ","96 ","59.2","0575311","201415"
"English Language Learners ","43 ","54.3 ","43 ","48.1 ","10 ","*","0575311","201415"
"Non-English Language Learners ","483 ","72.0 ","483 ","62.8 ","177 ","57.9","0575311","201415"
"Eligible for Free or Reduced-Price Meals ","181 ","62.6 ","181 ","52.8 ","70 ","51.9","0575311","201415"
"Not Eligible for Free or Reduced-Price Meals ","345 ","74.7 ","345 ","66.2 ","117 ","60.8","0575311","201415"
"Students with Disabilities ","86 ","48.3 ","86 ","40.8 ","32 ","47.3","0575311","201415"
"Students without Disabilities ","440 ","74.9 ","440 ","65.6 ","155 ","59.6","0575311","201415"
"High Needs ","237 ","60.7 ","237 ","51.8 ","90 ","51.5","0575311","201415"
"Non-High Needs ","289 ","78.6 ","289 ","69.6 ","97 ","63.0","0575311","201415"
"School ","526 ","70.5 ","526 ","61.6 ","187 ","57.5","0575311","201415"
"Asian ","23","74.0 ","23","74.8 ","* ","*","0575311","201516"
"Black or African American ","30","70.1 ","30","52.7 ","14 ","*","0575311","201516"
"Hispanic or Latino ","179","64.4 ","179","54.8 ","55 ","55.3","0575311","201516"
"Native Hawaiian or Other Pacific Islander ","0","N/A ","0","N/A ","0 ","N/A","0575311","201516"
"Two or More Races ","8","* ","8","* ","* ","*","0575311","201516"
"White ","278","78.2 ","278","71.1 ","101 ","64.5","0575311","201516"
"English Language Learners ","41","53.1 ","41","49.1 ","14 ","*","0575311","201516"
"Non-English Language Learners ","477","74.5 ","477","65.8 ","168 ","61.5","0575311","201516"
"Eligible for Free or Reduced-Price Meals ","174","66.1 ","174","56.2 ","59 ","52.8","0575311","201516"
"Not Eligible for Free or Reduced-Price Meals ","344","76.1 ","344","68.7 ","123 ","64.3","0575311","201516"
"Students with Disabilities ","84","48.9 ","84","39.0 ","28 ","41.3","0575311","201516"
"Students without Disabilities ","434","77.4 ","434","69.5 ","154 ","64.0","0575311","201516"
"High Needs ","229","62.8 ","229","53.2 ","77 ","51.2","0575311","201516"
"Non-High Needs ","289","80.7 ","289","73.5 ","105 ","67.4","0575311","201516"
"School ","518","72.8 ","518","64.5 ","182 ","60.6","0575311","201516"
"American Indian or Alaska Native ","0","* ","0","* ","* ","*","0576111","201415"
"Asian ","38","84.5 ","38","81.6 ","42 ","74.8","0576111","201415"
"Black or African American ","24","66.0 ","24","55.3 ","14 ","*","0576111","201415"
"Hispanic or Latino ","86","70.9 ","86","60.3 ","121 ","60.2","0576111","201415"
"Native Hawaiian or Other Pacific Islander ","0","N/A ","0","N/A ","0 ","N/A","0576111","201415"
"Two or More Races ","11","* ","11","* ","19 ","*","0576111","201415"
"White ","427","84.9 ","427","76.2 ","443 ","69.9","0576111","201415"
"English Language Learners ","24","65.5 ","24","58.9 ","24 ","53.0","0576111","201415"
"Non-English Language Learners ","562","82.8 ","562","74.1 ","616 ","68.6","0576111","201415"
"Eligible for Free or Reduced-Price Meals ","70","63.1 ","70","52.3 ","69 ","52.3","0576111","201415"
"Not Eligible for Free or Reduced-Price Meals ","516","84.6 ","516","76.4 ","571 ","69.9","0576111","201415"
"Students with Disabilities ","75","53.7 ","75","43.8 ","91 ","48.4","0576111","201415"
"Students without Disabilities ","511","86.2 ","511","77.8 ","549 ","71.3","0576111","201415"
"High Needs ","141","60.8 ","141","51.2 ","158 ","51.5","0576111","201415"
"Non-High Needs ","445","88.8 ","445","80.5 ","482 ","73.4","0576111","201415"
"School ","586","82.1 ","586","73.5 ","640 ","68.0","0576111","201415"
"Asian ","34 ","75.0 ","34 ","78.4 ","50","75.9","0576111","201516"
"Black or African American ","* ","* ","* ","* ","26","53.4","0576111","201516"
"Hispanic or Latino ","106 ","59.4 ","106 ","60.9 ","103","61.6","0576111","201516"
"Native Hawaiian or Other Pacific Islander ","0 ","N/A ","0 ","N/A ","0","N/A","0576111","201516"
"Two or More Races ","18 ","* ","18 ","* ","15","*","0576111","201516"
"White ","428 ","71.8 ","428 ","71.4 ","388","73.6","0576111","201516"
"English Language Learners ","11 ","* ","11 ","* ","23","55.0","0576111","201516"
"Non-English Language Learners ","590 ","69.8 ","590 ","69.7 ","559","71.4","0576111","201516"
"Eligible for Free or Reduced-Price Meals ","61 ","51.9 ","61 ","50.5 ","83","55.1","0576111","201516"
"Not Eligible for Free or Reduced-Price Meals ","540 ","71.4 ","540 ","71.5 ","499","73.3","0576111","201516"
"Students with Disabilities ","79 ","48.7 ","79 ","45.0 ","92","52.9","0576111","201516"
"Students without Disabilities ","522 ","72.5 ","522 ","73.1 ","490","74.1","0576111","201516"
"High Needs ","128 ","51.5 ","128 ","49.5 ","158","56.2","0576111","201516"
"Non-High Needs ","473 ","74.2 ","473 ","74.8 ","424","76.2","0576111","201516"
"School ","601 ","69.4 ","601 ","69.4 ","582","70.7","0576111","201516"
"American Indian or Alaska Native ","0 ","N/A ","0 ","N/A ","0 ","N/A","0580111","201415"
"Asian ","0 ","N/A ","0 ","N/A ","0 ","N/A","0580111","201415"
"Black or African American ","0 ","* ","0 ","* ","* ","*","0580111","201415"
"Hispanic or Latino ","0 ","N/A ","0 ","N/A ","0 ","N/A","0580111","201415"
"Native Hawaiian or Other Pacific Islander ","0 ","N/A ","0 ","N/A ","0 ","N/A","0580111","201415"
"Two or More Races ","0 ","N/A ","0 ","N/A ","0 ","N/A","0580111","201415"
"White ","* ","* ","* ","* ","* ","*","0580111","201415"
"English Language Learners ","0 ","N/A ","0 ","N/A ","0 ","N/A","0580111","201415"
"Non-English Language Learners ","* ","* ","* ","* ","7 ","*","0580111","201415"
"Eligible for Free or Reduced-Price Meals ","* ","* ","* ","* ","* ","*","0580111","201415"
"Not Eligible for Free or Reduced-Price Meals ","0 ","* ","0 ","* ","* ","*","0580111","201415"
"Students with Disabilities ","0 ","* ","0 ","* ","6 ","*","0580111","201415"
"Students without Disabilities ","* ","* ","* ","* ","* ","*","0580111","201415"
"High Needs ","* ","* ","* ","* ","7 ","*","0580111","201415"
"Non-High Needs ","0 ","N/A ","0 ","N/A ","0 ","N/A","0580111","201415"
"School ","* ","* ","* ","* ","7 ","*","0580111","201415"
"Asian ","0 ","N/A ","0 ","N/A ","0 ","N/A","0580111","201516"
"Black or African American ","0 ","N/A ","0 ","N/A ","0 ","N/A","0580111","201516"
"Hispanic or Latino ","0 ","N/A ","0 ","N/A ","* ","*","0580111","201516"
"Native Hawaiian or Other Pacific Islander ","0 ","N/A ","0 ","N/A ","0 ","N/A","0580111","201516"
"Two or More Races ","0 ","N/A ","0 ","N/A ","0 ","N/A","0580111","201516"
"White ","* ","* ","* ","* ","* ","*","0580111","201516"
"English Language Learners ","0 ","N/A ","0 ","N/A ","0 ","N/A","0580111","201516"
"Non-English Language Learners ","* ","* ","* ","* ","6 ","*","0580111","201516"
"Eligible for Free or Reduced-Price Meals ","* ","* ","* ","* ","* ","*","0580111","201516"
"Not Eligible for Free or Reduced-Price Meals ","* ","* ","* ","* ","* ","*","0580111","201516"
"Students with Disabilities ","* ","* ","* ","* ","6 ","*","0580111","201516"
"Students without Disabilities ","0 ","N/A ","0 ","N/A ","0 ","N/A","0580111","201516"
"High Needs ","* ","* ","* ","* ","6 ","*","0580111","201516"
"Non-High Needs ","0 ","N/A ","0 ","N/A ","0 ","N/A","0580111","201516"
"School ","* ","* ","* ","* ","6 ","*","0580111","201516"
"American Indian or Alaska Native ","* ","* ","* ","* ","0","*","0580311","201415"
"Asian ","* ","* ","* ","* ","0","*","0580311","201415"
"Black or African American ","8 ","* ","8 ","* ","0","*","0580311","201415"
"Hispanic or Latino ","16 ","* ","15 ","* ","0","*","0580311","201415"
"Native Hawaiian or Other Pacific Islander ","0 ","N/A ","0 ","N/A ","0","N/A","0580311","201415"
"Two or More Races ","18 ","* ","18 ","* ","0","*","0580311","201415"
"White ","204 ","72.8 ","204 ","61.0 ","0","*","0580311","201415"
"English Language Learners ","* ","* ","* ","* ","0","*","0580311","201415"
"Non-English Language Learners ","* ","* ","* ","* ","0","*","0580311","201415"
"Eligible for Free or Reduced-Price Meals ","90 ","64.3 ","89 ","52.7 ","0","*","0580311","201415"
"Not Eligible for Free or Reduced-Price Meals ","158 ","77.0 ","158 ","64.2 ","0","*","0580311","201415"
"Students with Disabilities ","46 ","54.8 ","45 ","43.8 ","0","*","0580311","201415"
"Students without Disabilities ","202 ","76.4 ","202 ","63.7 ","0","*","0580311","201415"
"High Needs ","106 ","63.7 ","105 ","52.0 ","0","*","0580311","201415"
"Non-High Needs ","142 ","78.9 ","142 ","66.0 ","0","*","0580311","201415"
"School ","248 ","72.4 ","247 ","60.1 ","0","*","0580311","201415"
"Asian ","* ","* ","* ","* ","0","N/A","0580311","201516"
"Black or African American ","* ","* ","* ","* ","0","N/A","0580311","201516"
"Hispanic or Latino ","18 ","* ","18 ","* ","0","N/A","0580311","201516"
"Native Hawaiian or Other Pacific Islander ","0 ","N/A ","0 ","N/A ","0","N/A","0580311","201516"
"Two or More Races ","28 ","72.1 ","28 ","63.3 ","0","N/A","0580311","201516"
"White ","222 ","72.1 ","222 ","64.4 ","0","N/A","0580311","201516"
"English Language Learners ","* ","* ","* ","* ","0","N/A","0580311","201516"
"Non-English Language Learners ","* ","* ","* ","* ","0","N/A","0580311","201516"
"Eligible for Free or Reduced-Price Meals ","97 ","65.6 ","97 ","57.7 ","0","N/A","0580311","201516"
"Not Eligible for Free or Reduced-Price Meals ","178 ","74.3 ","178 ","66.5 ","0","N/A","0580311","201516"
"Students with Disabilities ","50 ","55.1 ","50 ","42.2 ","0","N/A","0580311","201516"
"Students without Disabilities ","225 ","74.8 ","225 ","68.1 ","0","N/A","0580311","201516"
"High Needs ","115 ","64.4 ","115 ","55.5 ","0","N/A","0580311","201516"
"Non-High Needs ","160 ","76.2 ","160 ","69.0 ","0","N/A","0580311","201516"
"School ","275 ","71.2 ","275 ","63.4 ","0","N/A","0580311","201516"
"American Indian or Alaska Native ","10 ","* ","10 ","* ","* ","*","0585111","201415"
"Asian ","* ","* ","* ","* ","* ","*","0585111","201415"
"Black or African American ","20 ","60.2 ","20 ","52.0 ","8 ","*","0585111","201415"
"Hispanic or Latino ","33 ","69.2 ","34 ","61.0 ","19 ","*","0585111","201415"
"Native Hawaiian or Other Pacific Islander ","* ","* ","* ","* ","* ","*","0585111","201415"
"Two or More Races ","30 ","67.5 ","29 ","58.0 ","13 ","*","0585111","201415"
"White ","423 ","70.2 ","423 ","63.3 ","216 ","57.3","0585111","201415"
"English Language Learners ","* ","* ","* ","* ","* ","*","0585111","201415"
"Non-English Language Learners ","* ","* ","* ","* ","* ","*","0585111","201415"
"Eligible for Free or Reduced-Price Meals ","207 ","63.5 ","206 ","56.6 ","102 ","52.2","0585111","201415"
"Not Eligible for Free or Reduced-Price Meals ","321 ","73.4 ","322 ","65.9 ","161 ","59.6","0585111","201415"
"Students with Disabilities ","83 ","48.8 ","83 ","42.5 ","43 ","42.9","0585111","201415"
"Students without Disabilities ","445 ","73.4 ","445 ","66.0 ","220 ","59.4","0585111","201415"
"High Needs ","245 ","61.9 ","244 ","54.9 ","119 ","51.4","0585111","201415"
"Non-High Needs ","283 ","76.1 ","284 ","68.6 ","144 ","61.1","0585111","201415"
"School ","528 ","69.5 ","528 ","62.3 ","263 ","56.7","0585111","201415"
"Asian ","* ","* ","* ","* ","* ","*","0585111","201516"
"Black or African American ","18 ","* ","18 ","* ","12 ","*","0585111","201516"
"Hispanic or Latino ","34 ","67.1 ","34 ","62.5 ","18 ","*","0585111","201516"
"Native Hawaiian or Other Pacific Islander ","* ","* ","* ","* ","* ","*","0585111","201516"
"Two or More Races ","32 ","69.4 ","32 ","60.1 ","10 ","*","0585111","201516"
"White ","412 ","71.7 ","413 ","67.0 ","201 ","59.2","0585111","201516"
"English Language Learners ","* ","* ","* ","* ","* ","*","0585111","201516"
"Non-English Language Learners ","* ","* ","* ","* ","* ","*","0585111","201516"
"Eligible for Free or Reduced-Price Meals ","219 ","63.2 ","220 ","58.6 ","105 ","53.5","0585111","201516"
"Not Eligible for Free or Reduced-Price Meals ","300 ","76.2 ","300 ","70.6 ","144 ","62.0","0585111","201516"
"Students with Disabilities ","81 ","49.6 ","81 ","42.5 ","37 ","41.0","0585111","201516"
"Students without Disabilities ","438 ","74.6 ","439 ","69.8 ","212 ","61.4","0585111","201516"
"High Needs ","250 ","61.9 ","251 ","57.2 ","119 ","52.3","0585111","201516"
"Non-High Needs ","269 ","78.8 ","269 ","73.3 ","130 ","64.0","0585111","201516"
"School ","519 ","70.7 ","520 ","65.5 ","249 ","58.4","0585111","201516"
"American Indian or Alaska Native ","* ","* ","* ","* ","0 ","*","0586211","201415"
"Asian ","* ","* ","* ","* ","* ","*","0586211","201415"
"Black or African American ","* ","* ","* ","* ","* ","*","0586211","201415"
"Hispanic or Latino ","6 ","* ","6 ","* ","9 ","*","0586211","201415"
"Native Hawaiian or Other Pacific Islander ","0 ","N/A ","0 ","N/A ","0 ","N/A","0586211","201415"
"Two or More Races ","* ","* ","* ","* ","* ","*","0586211","201415"
"White ","115 ","68.4 ","114 ","52.6 ","118 ","59.9","0586211","201415"
"English Language Learners ","0 ","* ","0 ","* ","* ","*","0586211","201415"
"Non-English Language Learners ","134 ","67.6 ","133 ","51.7 ","* ","*","0586211","201415"
"Eligible for Free or Reduced-Price Meals ","40 ","54.8 ","39 ","40.9 ","39 ","53.5","0586211","201415"
"Not Eligible for Free or Reduced-Price Meals ","94 ","73.0 ","94 ","56.2 ","96 ","61.1","0586211","201415"
"Students with Disabilities ","19 ","* ","19 ","* ","21 ","42.7","0586211","201415"
"Students without Disabilities ","115 ","72.9 ","114 ","55.9 ","114 ","61.9","0586211","201415"
"High Needs ","47 ","51.3 ","46 ","38.7 ","52 ","51.8","0586211","201415"
"Non-High Needs ","87 ","76.4 ","87 ","58.6 ","83 ","63.4","0586211","201415"
"School ","134 ","67.6 ","133 ","51.7 ","135 ","58.9","0586211","201415"
"Asian ","* ","* ","* ","* ","* ","*","0586211","201516"
"Black or African American ","* ","* ","* ","* ","6 ","*","0586211","201516"
"Hispanic or Latino ","6 ","* ","6 ","* ","6 ","*","0586211","201516"
"Native Hawaiian or Other Pacific Islander ","0 ","N/A ","0 ","N/A ","0 ","N/A","0586211","201516"
"Two or More Races ","* ","* ","* ","* ","* ","*","0586211","201516"
"White ","107 ","59.7 ","107 ","53.3 ","126 ","55.3","0586211","201516"
"English Language Learners ","0 ","N/A ","0 ","N/A ","0 ","N/A","0586211","201516"
"Non-English Language Learners ","121 ","58.7 ","121 ","53.1 ","149 ","55.2","0586211","201516"
"Eligible for Free or Reduced-Price Meals ","35 ","52.4 ","35 ","50.3 ","51 ","49.8","0586211","201516"
"Not Eligible for Free or Reduced-Price Meals ","86 ","61.2 ","86 ","54.2 ","98 ","58.0","0586211","201516"
"Students with Disabilities ","13 ","* ","13 ","* ","24 ","36.7","0586211","201516"
"Students without Disabilities ","108 ","61.2 ","108 ","55.4 ","125 ","58.8","0586211","201516"
"High Needs ","42 ","50.3 ","42 ","47.1 ","61 ","47.7","0586211","201516"
"Non-High Needs ","79 ","63.1 ","79 ","56.3 ","88 ","60.4","0586211","201516"
"School ","121 ","58.7 ","121 ","53.1 ","149 ","55.2","0586211","201516"
"American Indian or Alaska Native ","* ","* ","* ","* ","* ","*","0590111","201415"
"Asian ","* ","* ","* ","* ","* ","*","0590111","201415"
"Black or African American ","8 ","* ","8 ","* ","* ","*","0590111","201415"
"Hispanic or Latino ","9 ","* ","9 ","* ","* ","*","0590111","201415"
"Native Hawaiian or Other Pacific Islander ","0 ","N/A ","0 ","N/A ","0 ","N/A","0590111","201415"
"Two or More Races ","7 ","* ","7 ","* ","* ","*","0590111","201415"
"White ","113 ","77.2 ","113 ","66.6 ","48 ","62.8","0590111","201415"
"English Language Learners ","0 ","* ","0 ","* ","0 ","*","0590111","201415"
"Non-English Language Learners ","144 ","74.4 ","144 ","63.7 ","58 ","60.7","0590111","201415"
"Eligible for Free or Reduced-Price Meals ","28 ","61.3 ","28 ","53.4 ","11 ","*","0590111","201415"
"Not Eligible for Free or Reduced-Price Meals ","116 ","77.5 ","116 ","66.2 ","47 ","63.6","0590111","201415"
"Students with Disabilities ","39 ","56.9 ","39 ","47.1 ","10 ","*","0590111","201415"
"Students without Disabilities ","105 ","80.9 ","105 ","69.9 ","48 ","64.9","0590111","201415"
"High Needs ","57 ","61.1 ","57 ","51.3 ","18 ","*","0590111","201415"
"Non-High Needs ","87 ","83.1 ","87 ","71.8 ","40 ","67.3","0590111","201415"
"School ","144 ","74.4 ","144 ","63.7 ","58 ","60.7","0590111","201415"
"Asian ","* ","* ","* ","* ","0 ","N/A","0590111","201516"
"Black or African American ","6 ","* ","6 ","* ","* ","*","0590111","201516"
"Hispanic or Latino ","15 ","* ","15 ","* ","* ","*","0590111","201516"
"Native Hawaiian or Other Pacific Islander ","0 ","N/A ","0 ","N/A ","0 ","N/A","0590111","201516"
"Two or More Races ","9 ","* ","9 ","* ","* ","*","0590111","201516"
"White ","90 ","79.8 ","90 ","73.8 ","29 ","67.6","0590111","201516"
"English Language Learners ","* ","* ","* ","* ","0 ","N/A","0590111","201516"
"Non-English Language Learners ","* ","* ","* ","* ","38 ","63.2","0590111","201516"
"Eligible for Free or Reduced-Price Meals ","34 ","67.9 ","34 ","61.4 ","8 ","*","0590111","201516"
"Not Eligible for Free or Reduced-Price Meals ","93 ","79.4 ","93 ","72.9 ","30 ","63.7","0590111","201516"
"Students with Disabilities ","33 ","61.6 ","33 ","59.6 ","12 ","*","0590111","201516"
"Students without Disabilities ","94 ","81.5 ","94 ","73.4 ","26 ","68.6","0590111","201516"
"High Needs ","55 ","66.5 ","55 ","61.3 ","18 ","*","0590111","201516"
"Non-High Needs ","72 ","83.9 ","72 ","76.3 ","20 ","72.4","0590111","201516"
"School ","127 ","76.3 ","127 ","69.8 ","38 ","63.2","0590111","201516"
"American Indian or Alaska Native ","* ","* ","* ","* ","* ","*","0590311","201415"
"Asian ","15 ","* ","15 ","* ","8 ","*","0590311","201415"
"Black or African American ","25 ","61.0 ","25 ","50.8 ","8 ","*","0590311","201415"
"Hispanic or Latino ","48 ","61.0 ","47 ","49.0 ","8 ","*","0590311","201415"
"Native Hawaiian or Other Pacific Islander ","0 ","N/A ","0 ","N/A ","0 ","N/A","0590311","201415"
"Two or More Races ","* ","* ","* ","* ","* ","*","0590311","201415"
"White ","55 ","73.0 ","55 ","64.2 ","14 ","*","0590311","201415"
"English Language Learners ","11 ","* ","11 ","* ","* ","*","0590311","201415"
"Non-English Language Learners ","148 ","67.1 ","148 ","57.2 ","* ","*","0590311","201415"
"Eligible for Free or Reduced-Price Meals ","112 ","62.9 ","112 ","52.5 ","27 ","53.2","0590311","201415"
"Not Eligible for Free or Reduced-Price Meals ","47 ","74.5 ","47 ","65.4 ","14 ","*","0590311","201415"
"Students with Disabilities ","34 ","52.4 ","34 ","43.2 ","6 ","*","0590311","201415"
"Students without Disabilities ","125 ","70.2 ","125 ","59.9 ","35 ","57.9","0590311","201415"
"High Needs ","125 ","62.7 ","125 ","52.2 ","33 ","53.4","0590311","201415"
"Non-High Needs ","34 ","79.9 ","34 ","71.4 ","8 ","*","0590311","201415"
"School ","159 ","66.4 ","159 ","56.3 ","41 ","57.2","0590311","201415"
"Asian ","* ","* ","* ","* ","* ","*","0590311","201516"
"Black or African American ","22 ","55.2 ","22 ","47.5 ","7 ","*","0590311","201516"
"Hispanic or Latino ","49 ","55.0 ","49 ","50.3 ","17 ","*","0590311","201516"
"Native Hawaiian or Other Pacific Islander ","0 ","N/A ","0 ","N/A ","0 ","N/A","0590311","201516"
"Two or More Races ","22 ","62.3 ","22 ","62.4 ","8 ","*","0590311","201516"
"White ","53 ","72.7 ","53 ","64.9 ","22 ","64.4","0590311","201516"
"English Language Learners ","10 ","* ","10 ","* ","* ","*","0590311","201516"
"Non-English Language Learners ","149 ","64.4 ","149 ","59.2 ","* ","*","0590311","201516"
"Eligible for Free or Reduced-Price Meals ","109 ","57.8 ","109 ","52.9 ","43 ","51.6","0590311","201516"
"Not Eligible for Free or Reduced-Price Meals ","50 ","74.4 ","50 ","69.3 ","17 ","*","0590311","201516"
"Students with Disabilities ","29 ","43.4 ","29 ","40.8 ","14 ","*","0590311","201516"
"Students without Disabilities ","130 ","67.4 ","130 ","61.9 ","46 ","63.0","0590311","201516"
"High Needs ","115 ","58.4 ","115 ","53.5 ","44 ","52.0","0590311","201516"
"Non-High Needs ","44 ","75.2 ","44 ","69.9 ","16 ","*","0590311","201516"
"School ","159 ","63.0 ","159 ","58.0 ","60 ","56.8","0590311","201516"
"American Indian or Alaska Native ","* ","* ","* ","* ","* ","*","0591211","201415"
"Asian ","8 ","* ","8 ","* ","* ","*","0591211","201415"
"Black or African American ","9 ","* ","9 ","* ","* ","*","0591211","201415"
"Hispanic or Latino ","18 ","* ","19 ","* ","7 ","*","0591211","201415"
"Native Hawaiian or Other Pacific Islander ","0 ","* ","0 ","* ","0 ","*","0591211","201415"
"Two or More Races ","11 ","* ","11 ","* ","* ","*","0591211","201415"
"White ","63 ","72.8 ","64 ","70.8 ","20 ","57.6","0591211","201415"
"English Language Learners ","* ","* ","* ","* ","0 ","*","0591211","201415"
"Non-English Language Learners ","* ","* ","* ","* ","40 ","55.3","0591211","201415"
"Eligible for Free or Reduced-Price Meals ","47 ","71.6 ","48 ","67.0 ","13 ","*","0591211","201415"
"Not Eligible for Free or Reduced-Price Meals ","63 ","71.5 ","64 ","70.0 ","27 ","57.0","0591211","201415"
"Students with Disabilities ","18 ","* ","18 ","* ","7 ","*","0591211","201415"
"Students without Disabilities ","92 ","74.7 ","94 ","72.2 ","33 ","58.6","0591211","201415"
"High Needs ","58 ","68.8 ","59 ","64.8 ","18 ","*","0591211","201415"
"Non-High Needs ","52 ","74.7 ","53 ","73.0 ","22 ","59.7","0591211","201415"
"School ","110 ","71.6 ","112 ","68.7 ","40 ","55.3","0591211","201415"
"Asian ","6 ","* ","6 ","* ","0 ","N/A","0591211","201516"
"Black or African American ","8 ","* ","8 ","* ","* ","*","0591211","201516"
