"indicator","index.rate","target","points","max","percent.points","state.avg","school_id","year"
"Math Academic growth: Math Performance index: All Students ","73.2% ","100% ",73.2,100,73.2,"65.0%","1511411","201516"
"Math Academic growth: Math Performance index: High Needs Students ","71.7% ","100% ",71.7,100,71.7,"57.4%","1511411","201516"
"Chronic absenteeism: Science Performance index: All Students ","7.1% ","<=5% ",45.8,50,91.7,"9.6%","1511411","201516"
"Chronic absenteeism: Science Performance index: High Needs Students ","7.9% ","<=5% ",44.2,50,88.5,"15.6%","1511411","201516"
"Prep for CCR: ELA Academic growth: ELA Performance index: All Students ","N/A ","75% ",0,0,0,"67.6%","1511411","201516"
"Prep for CCR: ELA Academic growth: ELA Performance index: High Needs Students ","N/A ","75% ",0,0,0,"40.7%","1511411","201516"
"On-track to High School Graduation ","N/A ","94% ",0,0,0,"85.1%","1511411","201516"
"4-year Graduation All Students (2015 Cohort) ","N/A ","94% ",0,0,0,"87.2%","1511411","201516"
"6-year Graduation - High Needs Students (2013 Cohort) ","N/A ","94% ",0,0,0,"78.6%","1511411","201516"
"Postsecondary Entrance (Class of 2015) ","N/A ","75% ",0,0,0,"71.9%","1511411","201516"
"Physical Fitness (estimated part rate) and (fitness rate) ","98.8% | 77.8% ","75% ",50,50,100,"89.2% | 50.5%","1511411","201516"
"Arts Access ","N/A ","60% ",0,0,0,"47.5%","1511411","201516"
"ELA: All Students ","56.5 ","75 ",75.4,100,75.4,"67.9","1511611","201415"
"ELA: High Needs Students ","55.2 ","75 ",73.6,100,73.6,"56.7","1511611","201415"
"Math: All Students ","47.3 ","75 ",63.1,100,63.1,"59.3","1511611","201415"
"Math: High Needs Students ","46.2 ","75 ",61.7,100,61.7,"47.8","1511611","201415"
"Science: All Students ","46.4 ","75 ",61.8,100,61.8,"56.5","1511611","201415"
"Science: High Needs Students ","45.1 ","75 ",60.2,100,60.2,"45.9","1511611","201415"
"Chronic absenteeism: All Students ","9.2% ","<=5% ",41.6,50,83.2,"10.6%","1511611","201415"
"Chronic absenteeism: High Needs Students ","9.8% ","<=5% ",40.3,50,80.6,"17.3%","1511611","201415"
"Prep for CCR: % Taking Courses ","N/A ","75% ",0,0,0,"66.1%","1511611","201415"
"Prep for CCR: % Passing Exams ","N/A ","75% ",0,0,0,"37.3%","1511611","201415"
"Physical Fitness (estimated part rate) and (fitness rate) ","100.0% | 57.1% ","75% ",38.1,50,76.2,"87.6% | 51.0%","1511611","201415"
"Arts Access ","N/A ","60% ",0,0,0,"45.7%","1511611","201415"
"Accountability Index ","","",563.6,800,70.5,"","1511611","201415"
"ELA Performance index: All Students ","58.9 ","75 ",39.2,50,78.5,"67.7","1511611","201516"
"ELA Performance index: High Needs Students ","57.6 ","75 ",38.4,50,76.8,"56.7","1511611","201516"
"Math Performance index: All Students ","49.9 ","75 ",33.3,50,66.5,"61.4","1511611","201516"
"Math Performance index: High Needs Students ","48.6 ","75 ",32.4,50,64.8,"49.9","1511611","201516"
"Science Performance index: All Students ","45.8 ","75 ",30.5,50,61,"57.5","1511611","201516"
"Science Performance index: High Needs Students ","45.2 ","75 ",30.1,50,60.3,"47.0","1511611","201516"
"ELA Academic growth: ELA Performance index: All Students ","70.1% ","100% ",70.1,100,70.1,"63.8%","1511611","201516"
"ELA Academic growth: ELA Performance index: High Needs Students ","69.7% ","100% ",69.7,100,69.7,"58.3%","1511611","201516"
"Math Academic growth: Math Performance index: All Students ","56.7% ","100% ",56.7,100,56.7,"65.0%","1511611","201516"
"Math Academic growth: Math Performance index: High Needs Students ","54.7% ","100% ",54.7,100,54.7,"57.4%","1511611","201516"
"Chronic absenteeism: Science Performance index: All Students ","9.6% ","<=5% ",40.9,50,81.7,"9.6%","1511611","201516"
"Chronic absenteeism: Science Performance index: High Needs Students ","9.3% ","<=5% ",41.3,50,82.7,"15.6%","1511611","201516"
"Prep for CCR: ELA Academic growth: ELA Performance index: All Students ","N/A ","75% ",0,0,0,"67.6%","1511611","201516"
"Prep for CCR: ELA Academic growth: ELA Performance index: High Needs Students ","N/A ","75% ",0,0,0,"40.7%","1511611","201516"
"On-track to High School Graduation ","42.1% ","94% ",22.4,50,44.8,"85.1%","1511611","201516"
"4-year Graduation All Students (2015 Cohort) ","N/A ","94% ",0,0,0,"87.2%","1511611","201516"
"6-year Graduation - High Needs Students (2013 Cohort) ","N/A ","94% ",0,0,0,"78.6%","1511611","201516"
"Postsecondary Entrance (Class of 2015) ","N/A ","75% ",0,0,0,"71.9%","1511611","201516"
"Physical Fitness (estimated part rate) and (fitness rate) ","100.0% | 43.7% ","75% ",29.1,50,58.2,"89.2% | 50.5%","1511611","201516"
"Arts Access ","N/A ","60% ",0,0,0,"47.5%","1511611","201516"
"ELA: All Students ","51.0 ","75 ",68,100,68,"67.9","1512011","201415"
"ELA: High Needs Students ","50.3 ","75 ",67.1,100,67.1,"56.7","1512011","201415"
"Math: All Students ","43.6 ","75 ",58.1,100,58.1,"59.3","1512011","201415"
"Math: High Needs Students ","42.8 ","75 ",57,100,57,"47.8","1512011","201415"
"Science: All Students ","40.7 ","75 ",54.2,100,54.2,"56.5","1512011","201415"
"Science: High Needs Students ","38.9 ","75 ",51.9,100,51.9,"45.9","1512011","201415"
"Chronic absenteeism: All Students ","15.4% ","<=5% ",29.2,50,58.5,"10.6%","1512011","201415"
"Chronic absenteeism: High Needs Students ","15.8% ","<=5% ",28.3,50,56.7,"17.3%","1512011","201415"
"Prep for CCR: % Taking Courses ","N/A ","75% ",0,0,0,"66.1%","1512011","201415"
"Prep for CCR: % Passing Exams ","N/A ","75% ",0,0,0,"37.3%","1512011","201415"
"Physical Fitness (estimated part rate) and (fitness rate) ","100.0% | 43.3% ","75% ",28.9,50,57.7,"87.6% | 51.0%","1512011","201415"
"Arts Access ","N/A ","60% ",0,0,0,"45.7%","1512011","201415"
"Accountability Index ","","",442.7,750,59,"","1512011","201415"
"ELA Performance index: All Students ","51.2 ","75 ",34.1,50,68.2,"67.7","1512011","201516"
"ELA Performance index: High Needs Students ","50.8 ","75 ",33.8,50,67.7,"56.7","1512011","201516"
"Math Performance index: All Students ","46.3 ","75 ",30.9,50,61.7,"61.4","1512011","201516"
"Math Performance index: High Needs Students ","45.7 ","75 ",30.5,50,61,"49.9","1512011","201516"
"Science Performance index: All Students ","39.6 ","75 ",26.4,50,52.8,"57.5","1512011","201516"
"Science Performance index: High Needs Students ","39.0 ","75 ",26,50,52,"47.0","1512011","201516"
"ELA Academic growth: ELA Performance index: All Students ","46.5% ","100% ",46.5,100,46.5,"63.8%","1512011","201516"
"ELA Academic growth: ELA Performance index: High Needs Students ","45.4% ","100% ",45.4,100,45.4,"58.3%","1512011","201516"
"Math Academic growth: Math Performance index: All Students ","54.8% ","100% ",54.8,100,54.8,"65.0%","1512011","201516"
"Math Academic growth: Math Performance index: High Needs Students ","55.7% ","100% ",55.7,100,55.7,"57.4%","1512011","201516"
"Chronic absenteeism: Science Performance index: All Students ","6.2% ","<=5% ",47.6,50,95.2,"9.6%","1512011","201516"
"Chronic absenteeism: Science Performance index: High Needs Students ","6.0% ","<=5% ",47.9,50,95.9,"15.6%","1512011","201516"
"Prep for CCR: ELA Academic growth: ELA Performance index: All Students ","N/A ","75% ",0,0,0,"67.6%","1512011","201516"
"Prep for CCR: ELA Academic growth: ELA Performance index: High Needs Students ","N/A ","75% ",0,0,0,"40.7%","1512011","201516"
"On-track to High School Graduation ","N/A ","94% ",0,0,0,"85.1%","1512011","201516"
"4-year Graduation All Students (2015 Cohort) ","N/A ","94% ",0,0,0,"87.2%","1512011","201516"
"6-year Graduation - High Needs Students (2013 Cohort) ","N/A ","94% ",0,0,0,"78.6%","1512011","201516"
"Postsecondary Entrance (Class of 2015) ","N/A ","75% ",0,0,0,"71.9%","1512011","201516"
"Physical Fitness (estimated part rate) and (fitness rate) ","97.1% | 40.9% ","75% ",27.3,50,54.5,"89.2% | 50.5%","1512011","201516"
"Arts Access ","N/A ","60% ",0,0,0,"47.5%","1512011","201516"
"ELA: All Students ","62.7 ","75 ",83.5,100,83.5,"67.9","1512111","201415"
"ELA: High Needs Students ","60.6 ","75 ",80.8,100,80.8,"56.7","1512111","201415"
"Math: All Students ","56.9 ","75 ",75.8,100,75.8,"59.3","1512111","201415"
"Math: High Needs Students ","54.5 ","75 ",72.7,100,72.7,"47.8","1512111","201415"
"Science: All Students ","46.3 ","75 ",61.8,100,61.8,"56.5","1512111","201415"
"Science: High Needs Students ","43.8 ","75 ",58.5,100,58.5,"45.9","1512111","201415"
"Chronic absenteeism: All Students ","9.3% ","<=5% ",41.4,50,82.8,"10.6%","1512111","201415"
"Chronic absenteeism: High Needs Students ","11.3% ","<=5% ",37.3,50,74.6,"17.3%","1512111","201415"
"Prep for CCR: % Taking Courses ","N/A ","75% ",0,0,0,"66.1%","1512111","201415"
"Prep for CCR: % Passing Exams ","N/A ","75% ",0,0,0,"37.3%","1512111","201415"
"Physical Fitness (estimated part rate) and (fitness rate) ","94.2% | 52.0% ","75% ",34.7,50,69.4,"87.6% | 51.0%","1512111","201415"
"Arts Access ","N/A ","60% ",0,0,0,"45.7%","1512111","201415"
"Accountability Index ","","",546.5,750,72.9,"","1512111","201415"
"ELA Performance index: All Students ","61.3 ","75 ",40.9,50,81.8,"67.7","1512111","201516"
"ELA Performance index: High Needs Students ","59.1 ","75 ",39.4,50,78.8,"56.7","1512111","201516"
"Math Performance index: All Students ","57.8 ","75 ",38.6,50,77.1,"61.4","1512111","201516"
"Math Performance index: High Needs Students ","56.6 ","75 ",37.8,50,75.5,"49.9","1512111","201516"
"Science Performance index: All Students ","45.6 ","75 ",30.4,50,60.9,"57.5","1512111","201516"
"Science Performance index: High Needs Students ","44.5 ","75 ",29.7,50,59.3,"47.0","1512111","201516"
"ELA Academic growth: ELA Performance index: All Students ","51.5% ","100% ",51.5,100,51.5,"63.8%","1512111","201516"
"ELA Academic growth: ELA Performance index: High Needs Students ","50.7% ","100% ",50.7,100,50.7,"58.3%","1512111","201516"
"Math Academic growth: Math Performance index: All Students ","53.8% ","100% ",53.8,100,53.8,"65.0%","1512111","201516"
"Math Academic growth: Math Performance index: High Needs Students ","56.6% ","100% ",56.6,100,56.6,"57.4%","1512111","201516"
"Chronic absenteeism: Science Performance index: All Students ","7.4% ","<=5% ",45.3,50,90.5,"9.6%","1512111","201516"
"Chronic absenteeism: Science Performance index: High Needs Students ","8.3% ","<=5% ",43.3,50,86.7,"15.6%","1512111","201516"
"Prep for CCR: ELA Academic growth: ELA Performance index: All Students ","N/A ","75% ",0,0,0,"67.6%","1512111","201516"
"Prep for CCR: ELA Academic growth: ELA Performance index: High Needs Students ","N/A ","75% ",0,0,0,"40.7%","1512111","201516"
"On-track to High School Graduation ","N/A ","94% ",0,0,0,"85.1%","1512111","201516"
"4-year Graduation All Students (2015 Cohort) ","N/A ","94% ",0,0,0,"87.2%","1512111","201516"
"6-year Graduation - High Needs Students (2013 Cohort) ","N/A ","94% ",0,0,0,"78.6%","1512111","201516"
"Postsecondary Entrance (Class of 2015) ","N/A ","75% ",0,0,0,"71.9%","1512111","201516"
"Physical Fitness (estimated part rate) and (fitness rate) ","99.0% | 47.5% ","75% ",31.6,50,63.3,"89.2% | 50.5%","1512111","201516"
"Arts Access ","N/A ","60% ",0,0,0,"47.5%","1512111","201516"
"ELA: All Students ","44.5 ","75 ",59.3,100,59.3,"67.9","1512211","201415"
"ELA: High Needs Students ","44.4 ","75 ",59.2,100,59.2,"56.7","1512211","201415"
"Math: All Students ","37.8 ","75 ",50.4,100,50.4,"59.3","1512211","201415"
"Math: High Needs Students ","37.6 ","75 ",50.2,100,50.2,"47.8","1512211","201415"
"Science: All Students ","35.5 ","75 ",47.3,100,47.3,"56.5","1512211","201415"
"Science: High Needs Students ","35.5 ","75 ",47.3,100,47.3,"45.9","1512211","201415"
"Chronic absenteeism: All Students ","21.4% ","<=5% ",17.1,50,34.3,"10.6%","1512211","201415"
"Chronic absenteeism: High Needs Students ","21.9% ","<=5% ",16.1,50,32.3,"17.3%","1512211","201415"
"Prep for CCR: % Taking Courses ","N/A ","75% ",0,0,0,"66.1%","1512211","201415"
"Prep for CCR: % Passing Exams ","N/A ","75% ",0,0,0,"37.3%","1512211","201415"
"Physical Fitness (estimated part rate) and (fitness rate) ","100.0% | 59.2% ","75% ",39.5,50,78.9,"87.6% | 51.0%","1512211","201415"
"Arts Access ","N/A ","60% ",0,0,0,"45.7%","1512211","201415"
"Accountability Index ","","",386.5,750,51.5,"","1512211","201415"
"ELA Performance index: All Students ","53.2 ","75 ",35.4,50,70.9,"67.7","1512211","201516"
"ELA Performance index: High Needs Students ","53.1 ","75 ",35.4,50,70.8,"56.7","1512211","201516"
"Math Performance index: All Students ","44.9 ","75 ",30,50,59.9,"61.4","1512211","201516"
"Math Performance index: High Needs Students ","44.8 ","75 ",29.9,50,59.7,"49.9","1512211","201516"
"Science Performance index: All Students ","33.9 ","75 ",22.6,50,45.3,"57.5","1512211","201516"
"Science Performance index: High Needs Students ","34.0 ","75 ",22.7,50,45.4,"47.0","1512211","201516"
"ELA Academic growth: ELA Performance index: All Students ","76.0% ","100% ",76,100,76,"63.8%","1512211","201516"
"ELA Academic growth: ELA Performance index: High Needs Students ","77.0% ","100% ",77,100,77,"58.3%","1512211","201516"
"Math Academic growth: Math Performance index: All Students ","62.3% ","100% ",62.3,100,62.3,"65.0%","1512211","201516"
"Math Academic growth: Math Performance index: High Needs Students ","62.4% ","100% ",62.4,100,62.4,"57.4%","1512211","201516"
"Chronic absenteeism: Science Performance index: All Students ","12.9% ","<=5% ",34.2,50,68.4,"9.6%","1512211","201516"
"Chronic absenteeism: Science Performance index: High Needs Students ","12.1% ","<=5% ",35.7,50,71.4,"15.6%","1512211","201516"
"Prep for CCR: ELA Academic growth: ELA Performance index: All Students ","N/A ","75% ",0,0,0,"67.6%","1512211","201516"
"Prep for CCR: ELA Academic growth: ELA Performance index: High Needs Students ","N/A ","75% ",0,0,0,"40.7%","1512211","201516"
"On-track to High School Graduation ","N/A ","94% ",0,0,0,"85.1%","1512211","201516"
"4-year Graduation All Students (2015 Cohort) ","N/A ","94% ",0,0,0,"87.2%","1512211","201516"
"6-year Graduation - High Needs Students (2013 Cohort) ","N/A ","94% ",0,0,0,"78.6%","1512211","201516"
"Postsecondary Entrance (Class of 2015) ","N/A ","75% ",0,0,0,"71.9%","1512211","201516"
"Physical Fitness (estimated part rate) and (fitness rate) ","84.6% | 72.7% ","75% ",24.2,50,48.5,"89.2% | 50.5%","1512211","201516"
"Arts Access ","N/A ","60% ",0,0,0,"47.5%","1512211","201516"
"ELA: All Students ","59.8 ","75 ",79.8,100,79.8,"67.9","1512311","201415"
"ELA: High Needs Students ","59.4 ","75 ",79.2,100,79.2,"56.7","1512311","201415"
"Math: All Students ","50.6 ","75 ",67.4,100,67.4,"59.3","1512311","201415"
"Math: High Needs Students ","49.6 ","75 ",66.1,100,66.1,"47.8","1512311","201415"
"Science: All Students ","39.2 ","75 ",52.2,100,52.2,"56.5","1512311","201415"
"Science: High Needs Students ","38.7 ","75 ",51.5,100,51.5,"45.9","1512311","201415"
"Chronic absenteeism: All Students ","12.0% ","<=5% ",36,50,71.9,"10.6%","1512311","201415"
"Chronic absenteeism: High Needs Students ","12.0% ","<=5% ",36,50,72.1,"17.3%","1512311","201415"
"Prep for CCR: % Taking Courses ","N/A ","75% ",0,0,0,"66.1%","1512311","201415"
"Prep for CCR: % Passing Exams ","N/A ","75% ",0,0,0,"37.3%","1512311","201415"
"Physical Fitness (estimated part rate) and (fitness rate) ","84.9% | 60.0% ","75% ",20,50,40,"87.6% | 51.0%","1512311","201415"
"Arts Access ","N/A ","60% ",0,0,0,"45.7%","1512311","201415"
"Accountability Index ","","",488.2,750,65.1,"","1512311","201415"
"ELA Performance index: All Students ","60.0 ","75 ",40,50,80,"67.7","1512311","201516"
"ELA Performance index: High Needs Students ","59.7 ","75 ",39.8,50,79.6,"56.7","1512311","201516"
"Math Performance index: All Students ","49.2 ","75 ",32.8,50,65.7,"61.4","1512311","201516"
"Math Performance index: High Needs Students ","48.9 ","75 ",32.6,50,65.1,"49.9","1512311","201516"
"Science Performance index: All Students ","41.5 ","75 ",27.7,50,55.4,"57.5","1512311","201516"
"Science Performance index: High Needs Students ","40.6 ","75 ",27.1,50,54.1,"47.0","1512311","201516"
"ELA Academic growth: ELA Performance index: All Students ","65.8% ","100% ",65.8,100,65.8,"63.8%","1512311","201516"
"ELA Academic growth: ELA Performance index: High Needs Students ","64.1% ","100% ",64.1,100,64.1,"58.3%","1512311","201516"
"Math Academic growth: Math Performance index: All Students ","62.9% ","100% ",62.9,100,62.9,"65.0%","1512311","201516"
"Math Academic growth: Math Performance index: High Needs Students ","61.5% ","100% ",61.5,100,61.5,"57.4%","1512311","201516"
"Chronic absenteeism: Science Performance index: All Students ","13.0% ","<=5% ",34,50,68.1,"9.6%","1512311","201516"
"Chronic absenteeism: Science Performance index: High Needs Students ","13.1% ","<=5% ",33.9,50,67.7,"15.6%","1512311","201516"
"Prep for CCR: ELA Academic growth: ELA Performance index: All Students ","N/A ","75% ",0,0,0,"67.6%","1512311","201516"
"Prep for CCR: ELA Academic growth: ELA Performance index: High Needs Students ","N/A ","75% ",0,0,0,"40.7%","1512311","201516"
"On-track to High School Graduation ","N/A ","94% ",0,0,0,"85.1%","1512311","201516"
"4-year Graduation All Students (2015 Cohort) ","N/A ","94% ",0,0,0,"87.2%","1512311","201516"
"6-year Graduation - High Needs Students (2013 Cohort) ","N/A ","94% ",0,0,0,"78.6%","1512311","201516"
"Postsecondary Entrance (Class of 2015) ","N/A ","75% ",0,0,0,"71.9%","1512311","201516"
"Physical Fitness (estimated part rate) and (fitness rate) ","98.0% | 65.3% ","75% ",43.5,50,87.1,"89.2% | 50.5%","1512311","201516"
"Arts Access ","N/A ","60% ",0,0,0,"47.5%","1512311","201516"
"ELA: All Students ","52.7 ","75 ",70.2,100,70.2,"67.9","1512611","201415"
"ELA: High Needs Students ","51.1 ","75 ",68.2,100,68.2,"56.7","1512611","201415"
"Math: All Students ","45.0 ","75 ",60,100,60,"59.3","1512611","201415"
"Math: High Needs Students ","43.1 ","75 ",57.4,100,57.4,"47.8","1512611","201415"
"Science: All Students ","43.3 ","75 ",57.8,100,57.8,"56.5","1512611","201415"
"Science: High Needs Students ","41.8 ","75 ",55.7,100,55.7,"45.9","1512611","201415"
"Chronic absenteeism: All Students ","12.2% ","<=5% ",35.7,50,71.4,"10.6%","1512611","201415"
"Chronic absenteeism: High Needs Students ","13.9% ","<=5% ",32.2,50,64.4,"17.3%","1512611","201415"
"Prep for CCR: % Taking Courses ","N/A ","75% ",0,0,0,"66.1%","1512611","201415"
"Prep for CCR: % Passing Exams ","N/A ","75% ",0,0,0,"37.3%","1512611","201415"
"Physical Fitness (estimated part rate) and (fitness rate) ","100.0% | 37.9% ","75% ",25.3,50,50.5,"87.6% | 51.0%","1512611","201415"
"Arts Access ","N/A ","60% ",0,0,0,"45.7%","1512611","201415"
"Accountability Index ","","",506.8,800,63.4,"","1512611","201415"
"ELA Performance index: All Students ","55.0 ","75 ",36.7,50,73.4,"67.7","1512611","201516"
"ELA Performance index: High Needs Students ","53.6 ","75 ",35.8,50,71.5,"56.7","1512611","201516"
"Math Performance index: All Students ","44.8 ","75 ",29.8,50,59.7,"61.4","1512611","201516"
"Math Performance index: High Needs Students ","43.1 ","75 ",28.7,50,57.5,"49.9","1512611","201516"
"Science Performance index: All Students ","41.4 ","75 ",27.6,50,55.2,"57.5","1512611","201516"
"Science Performance index: High Needs Students ","39.2 ","75 ",26.1,50,52.2,"47.0","1512611","201516"
"ELA Academic growth: ELA Performance index: All Students ","65.9% ","100% ",65.9,100,65.9,"63.8%","1512611","201516"
"ELA Academic growth: ELA Performance index: High Needs Students ","68.0% ","100% ",68,100,68,"58.3%","1512611","201516"
"Math Academic growth: Math Performance index: All Students ","47.7% ","100% ",47.7,100,47.7,"65.0%","1512611","201516"
"Math Academic growth: Math Performance index: High Needs Students ","50.7% ","100% ",50.7,100,50.7,"57.4%","1512611","201516"
"Chronic absenteeism: Science Performance index: All Students ","9.3% ","<=5% ",41.5,50,82.9,"9.6%","1512611","201516"
"Chronic absenteeism: Science Performance index: High Needs Students ","9.0% ","<=5% ",41.9,50,83.8,"15.6%","1512611","201516"
"Prep for CCR: ELA Academic growth: ELA Performance index: All Students ","N/A ","75% ",0,0,0,"67.6%","1512611","201516"
"Prep for CCR: ELA Academic growth: ELA Performance index: High Needs Students ","N/A ","75% ",0,0,0,"40.7%","1512611","201516"
"On-track to High School Graduation ","37.5% ","94% ",19.9,50,39.9,"85.1%","1512611","201516"
"4-year Graduation All Students (2015 Cohort) ","N/A ","94% ",0,0,0,"87.2%","1512611","201516"
"6-year Graduation - High Needs Students (2013 Cohort) ","N/A ","94% ",0,0,0,"78.6%","1512611","201516"
"Postsecondary Entrance (Class of 2015) ","N/A ","75% ",0,0,0,"71.9%","1512611","201516"
"Physical Fitness (estimated part rate) and (fitness rate) ","98.7% | 22.5% ","75% ",15,50,30,"89.2% | 50.5%","1512611","201516"
"Arts Access ","N/A ","60% ",0,0,0,"47.5%","1512611","201516"
"ELA: All Students ","58.9 ","75 ",78.5,100,78.5,"67.9","1512711","201415"
"ELA: High Needs Students ","55.9 ","75 ",74.5,100,74.5,"56.7","1512711","201415"
"Math: All Students ","50.1 ","75 ",66.8,100,66.8,"59.3","1512711","201415"
"Math: High Needs Students ","47.1 ","75 ",62.8,100,62.8,"47.8","1512711","201415"
"Science: All Students ","43.5 ","75 ",58,100,58,"56.5","1512711","201415"
"Science: High Needs Students ","40.8 ","75 ",54.5,100,54.5,"45.9","1512711","201415"
"Chronic absenteeism: All Students ","9.2% ","<=5% ",41.6,50,83.2,"10.6%","1512711","201415"
"Chronic absenteeism: High Needs Students ","11.1% ","<=5% ",37.8,50,75.6,"17.3%","1512711","201415"
"Prep for CCR: % Taking Courses ","N/A ","75% ",0,0,0,"66.1%","1512711","201415"
"Prep for CCR: % Passing Exams ","N/A ","75% ",0,0,0,"37.3%","1512711","201415"
"Physical Fitness (estimated part rate) and (fitness rate) ","100.0% | 54.0% ","75% ",36,50,72,"87.6% | 51.0%","1512711","201415"
"Arts Access ","N/A ","60% ",0,0,0,"45.7%","1512711","201415"
"Accountability Index ","","",510.4,750,68,"","1512711","201415"
"ELA Performance index: All Students ","57.1 ","75 ",38.1,50,76.2,"67.7","1512711","201516"
"ELA Performance index: High Needs Students ","54.6 ","75 ",36.4,50,72.9,"56.7","1512711","201516"
"Math Performance index: All Students ","52.2 ","75 ",34.8,50,69.6,"61.4","1512711","201516"
"Math Performance index: High Needs Students ","49.0 ","75 ",32.7,50,65.4,"49.9","1512711","201516"
"Science Performance index: All Students ","49.0 ","75 ",32.7,50,65.4,"57.5","1512711","201516"
"Science Performance index: High Needs Students ","47.3 ","75 ",31.5,50,63,"47.0","1512711","201516"
"ELA Academic growth: ELA Performance index: All Students ","54.7% ","100% ",54.7,100,54.7,"63.8%","1512711","201516"
"ELA Academic growth: ELA Performance index: High Needs Students ","55.4% ","100% ",55.4,100,55.4,"58.3%","1512711","201516"
"Math Academic growth: Math Performance index: All Students ","61.5% ","100% ",61.5,100,61.5,"65.0%","1512711","201516"
"Math Academic growth: Math Performance index: High Needs Students ","59.5% ","100% ",59.5,100,59.5,"57.4%","1512711","201516"
"Chronic absenteeism: Science Performance index: All Students ","6.4% ","<=5% ",47.1,50,94.2,"9.6%","1512711","201516"
"Chronic absenteeism: Science Performance index: High Needs Students ","7.1% ","<=5% ",45.8,50,91.6,"15.6%","1512711","201516"
"Prep for CCR: ELA Academic growth: ELA Performance index: All Students ","N/A ","75% ",0,0,0,"67.6%","1512711","201516"
"Prep for CCR: ELA Academic growth: ELA Performance index: High Needs Students ","N/A ","75% ",0,0,0,"40.7%","1512711","201516"
"On-track to High School Graduation ","N/A ","94% ",0,0,0,"85.1%","1512711","201516"
"4-year Graduation All Students (2015 Cohort) ","N/A ","94% ",0,0,0,"87.2%","1512711","201516"
"6-year Graduation - High Needs Students (2013 Cohort) ","N/A ","94% ",0,0,0,"78.6%","1512711","201516"
"Postsecondary Entrance (Class of 2015) ","N/A ","75% ",0,0,0,"71.9%","1512711","201516"
"Physical Fitness (estimated part rate) and (fitness rate) ","97.5% | 40.5% ","75% ",27,50,54,"89.2% | 50.5%","1512711","201516"
"Arts Access ","N/A ","60% ",0,0,0,"47.5%","1512711","201516"
"ELA: All Students ","58.7 ","75 ",78.3,100,78.3,"67.9","1512811","201415"
"ELA: High Needs Students ","57.9 ","75 ",77.1,100,77.1,"56.7","1512811","201415"
"Math: All Students ","54.1 ","75 ",72.1,100,72.1,"59.3","1512811","201415"
"Math: High Needs Students ","53.6 ","75 ",71.5,100,71.5,"47.8","1512811","201415"
"Science: All Students ","43.1 ","75 ",57.4,100,57.4,"56.5","1512811","201415"
"Science: High Needs Students ","41.9 ","75 ",55.8,100,55.8,"45.9","1512811","201415"
"Chronic absenteeism: All Students ","10.5% ","<=5% ",38.9,50,77.9,"10.6%","1512811","201415"
"Chronic absenteeism: High Needs Students ","11.9% ","<=5% ",36.1,50,72.3,"17.3%","1512811","201415"
"Prep for CCR: % Taking Courses ","N/A ","75% ",0,0,0,"66.1%","1512811","201415"
"Prep for CCR: % Passing Exams ","N/A ","75% ",0,0,0,"37.3%","1512811","201415"
"Physical Fitness (estimated part rate) and (fitness rate) ","98.1% | 45.1% ","75% ",30.1,50,60.1,"87.6% | 51.0%","1512811","201415"
"Arts Access ","N/A ","60% ",0,0,0,"45.7%","1512811","201415"
"Accountability Index ","","",517.4,750,69,"","1512811","201415"
"ELA Performance index: All Students ","64.2 ","75 ",42.8,50,85.6,"67.7","1512811","201516"
"ELA Performance index: High Needs Students ","63.1 ","75 ",42.1,50,84.2,"56.7","1512811","201516"
"Math Performance index: All Students ","57.8 ","75 ",38.5,50,77,"61.4","1512811","201516"
"Math Performance index: High Needs Students ","56.2 ","75 ",37.5,50,75,"49.9","1512811","201516"
"Science Performance index: All Students ","46.8 ","75 ",31.2,50,62.4,"57.5","1512811","201516"
"Science Performance index: High Needs Students ","47.0 ","75 ",31.3,50,62.6,"47.0","1512811","201516"
"ELA Academic growth: ELA Performance index: All Students ","72.9% ","100% ",72.9,100,72.9,"63.8%","1512811","201516"
"ELA Academic growth: ELA Performance index: High Needs Students ","73.4% ","100% ",73.4,100,73.4,"58.3%","1512811","201516"
"Math Academic growth: Math Performance index: All Students ","54.0% ","100% ",54,100,54,"65.0%","1512811","201516"
"Math Academic growth: Math Performance index: High Needs Students ","53.5% ","100% ",53.5,100,53.5,"57.4%","1512811","201516"
"Chronic absenteeism: Science Performance index: All Students ","4.5% ","<=5% ",50,50,100,"9.6%","1512811","201516"
"Chronic absenteeism: Science Performance index: High Needs Students ","5.4% ","<=5% ",49.1,50,98.3,"15.6%","1512811","201516"
"Prep for CCR: ELA Academic growth: ELA Performance index: All Students ","N/A ","75% ",0,0,0,"67.6%","1512811","201516"
"Prep for CCR: ELA Academic growth: ELA Performance index: High Needs Students ","N/A ","75% ",0,0,0,"40.7%","1512811","201516"
"On-track to High School Graduation ","N/A ","94% ",0,0,0,"85.1%","1512811","201516"
"4-year Graduation All Students (2015 Cohort) ","N/A ","94% ",0,0,0,"87.2%","1512811","201516"
"6-year Graduation - High Needs Students (2013 Cohort) ","N/A ","94% ",0,0,0,"78.6%","1512811","201516"
"Postsecondary Entrance (Class of 2015) ","N/A ","75% ",0,0,0,"71.9%","1512811","201516"
"Physical Fitness (estimated part rate) and (fitness rate) ","100.0% | 82.2% ","75% ",50,50,100,"89.2% | 50.5%","1512811","201516"
"Arts Access ","N/A ","60% ",0,0,0,"47.5%","1512811","201516"
