"category","entrance.rate","pers_year","school_id","year"
"Black or African American ","N/A ","Class of 2015","0580111","201516"
"Hispanic or Latino ","N/A ","Class of 2015","0580111","201516"
"White ","N/A ","Class of 2015","0580111","201516"
"English Language Learners ","N/A ","Class of 2015","0580111","201516"
"Eligible for Free or ","N/A ","Class of 2015","0580111","201516"
"Reduced-Price Meals","","Class of 2015","0580111","201516"
"Students with Disabilities ","N/A ","Class of 2015","0580111","201516"
"School ","N/A ","Class of 2015","0580111","201516"
"District ","61.3 ","Class of 2015","0580111","201516"
"Female ","70.1 ","Class of 2013","0586211","201314"
"Male ","69.1 ","Class of 2013","0586211","201314"
"Black or African American ","* ","Class of 2013","0586211","201314"
"Hispanic or Latino ","* ","Class of 2013","0586211","201314"
"White ","69.8 ","Class of 2013","0586211","201314"
"English Language Learners ","N/A ","Class of 2013","0586211","201314"
"Eligible for Free or ","56.9 ","Class of 2013","0586211","201314"
"Reduced-Price Meals","","Class of 2013","0586211","201314"
"Students with Disabilities ","* ","Class of 2013","0586211","201314"
"School ","69.7 ","Class of 2013","0586211","201314"
"District ","69.7 ","Class of 2013","0586211","201314"
"Female ","77.2 ","Class of 2014","0586211","201415"
"Male ","47.1 ","Class of 2014","0586211","201415"
"Black or African American ","* ","Class of 2014","0586211","201415"
"Hispanic or Latino ","* ","Class of 2014","0586211","201415"
"White ","61.8 ","Class of 2014","0586211","201415"
"English Language Learners ","* ","Class of 2014","0586211","201415"
"Eligible for Free or ","62.1 ","Class of 2014","0586211","201415"
"Reduced-Price Meals","","Class of 2014","0586211","201415"
"Students with Disabilities ","37.5 ","Class of 2014","0586211","201415"
"School ","63.3 ","Class of 2014","0586211","201415"
"District ","63.3 ","Class of 2014","0586211","201415"
"Female ","65.8 ","Class of 2015","0586211","201516"
"Male ","58.1 ","Class of 2015","0586211","201516"
"Black or African American ","* ","Class of 2015","0586211","201516"
"Hispanic or Latino ","* ","Class of 2015","0586211","201516"
"White ","60.2 ","Class of 2015","0586211","201516"
"English Language Learners ","N/A ","Class of 2015","0586211","201516"
"Eligible for Free or ","48.1 ","Class of 2015","0586211","201516"
"Reduced-Price Meals","","Class of 2015","0586211","201516"
"Students with Disabilities ","* ","Class of 2015","0586211","201516"
"School ","62.2 ","Class of 2015","0586211","201516"
"District ","61.3 ","Class of 2015","0586211","201516"
"Female ","76.4 ","Class of 2013","0596111","201314"
"Male ","61.1 ","Class of 2013","0596111","201314"
"Black or African American ","61.0 ","Class of 2013","0596111","201314"
"Hispanic or Latino ","66.7 ","Class of 2013","0596111","201314"
"White ","71.1 ","Class of 2013","0596111","201314"
"English Language Learners ","* ","Class of 2013","0596111","201314"
"Eligible for Free or ","57.3 ","Class of 2013","0596111","201314"
"Reduced-Price Meals","","Class of 2013","0596111","201314"
"Students with Disabilities ","51.4 ","Class of 2013","0596111","201314"
"School ","69.3 ","Class of 2013","0596111","201314"
"District ","69.3 ","Class of 2013","0596111","201314"
"Female ","73.2","Class of 2014","0596111","201415"
"Male ","52.2","Class of 2014","0596111","201415"
"Black or African American ","52.6","Class of 2014","0596111","201415"
"Hispanic or Latino ","43.9","Class of 2014","0596111","201415"
"White ","67.7","Class of 2014","0596111","201415"
"English Language Learners ","50","Class of 2014","0596111","201415"
"Eligible for Free or ","50.4","Class of 2014","0596111","201415"
"Reduced-Price Meals",NA,"Class of 2014","0596111","201415"
"Students with Disabilities ","31.4","Class of 2014","0596111","201415"
"School ","62.7","Class of 2014","0596111","201415"
"District ","62.7","Class of 2014","0596111","201415"
"Female ","68.0 ","Class of 2015","0596111","201516"
"Male ","69.0 ","Class of 2015","0596111","201516"
"Black or African American ","65.4 ","Class of 2015","0596111","201516"
"Hispanic or Latino ","56.1 ","Class of 2015","0596111","201516"
"White ","69.9 ","Class of 2015","0596111","201516"
"English Language Learners ","* ","Class of 2015","0596111","201516"
"Eligible for Free or ","61.3 ","Class of 2015","0596111","201516"
"Reduced-Price Meals","","Class of 2015","0596111","201516"
"Students with Disabilities ","* ","Class of 2015","0596111","201516"
"School ","68.5 ","Class of 2015","0596111","201516"
"District ","67.9 ","Class of 2015","0596111","201516"
"Female ","85.1 ","Class of 2013","0606111","201314"
"Male ","87.6 ","Class of 2013","0606111","201314"
"Black or African American ","* ","Class of 2013","0606111","201314"
"Hispanic or Latino ","* ","Class of 2013","0606111","201314"
"White ","86.3 ","Class of 2013","0606111","201314"
"English Language Learners ","* ","Class of 2013","0606111","201314"
"Eligible for Free or ","62.5 ","Class of 2013","0606111","201314"
"Reduced-Price Meals","","Class of 2013","0606111","201314"
"Students with Disabilities ","75.6 ","Class of 2013","0606111","201314"
"School ","86.3 ","Class of 2013","0606111","201314"
"District ","86.3 ","Class of 2013","0606111","201314"
"Female ","90.8 ","Class of 2014","0606111","201415"
"Male ","82.0 ","Class of 2014","0606111","201415"
"Black or African American ","* ","Class of 2014","0606111","201415"
"Hispanic or Latino ","* ","Class of 2014","0606111","201415"
"White ","86.1 ","Class of 2014","0606111","201415"
"English Language Learners ","* ","Class of 2014","0606111","201415"
"Eligible for Free or ","77.5 ","Class of 2014","0606111","201415"
"Reduced-Price Meals","","Class of 2014","0606111","201415"
"Students with Disabilities ","66.7 ","Class of 2014","0606111","201415"
"School ","86.6 ","Class of 2014","0606111","201415"
"District ","86.6 ","Class of 2014","0606111","201415"
"Female ","87.7 ","Class of 2015","0606111","201516"
"Male ","77.6 ","Class of 2015","0606111","201516"
"Black or African American ","* ","Class of 2015","0606111","201516"
"Hispanic or Latino ","* ","Class of 2015","0606111","201516"
"White ","83.4 ","Class of 2015","0606111","201516"
"English Language Learners ","83.4 ","Class of 2015","0606111","201516"
"Eligible for Free or ","69.4 ","Class of 2015","0606111","201516"
"Reduced-Price Meals","","Class of 2015","0606111","201516"
"Students with Disabilities ","74.1 ","Class of 2015","0606111","201516"
"School ","82.9 ","Class of 2015","0606111","201516"
"District ","82.9 ","Class of 2015","0606111","201516"
"Female ","73.3 ","Class of 2013","0626111","201314"
"Male ","65.3 ","Class of 2013","0626111","201314"
"Black or African American ","59.7 ","Class of 2013","0626111","201314"
"Hispanic or Latino ","68.3 ","Class of 2013","0626111","201314"
"White ","74.3 ","Class of 2013","0626111","201314"
"English Language Learners ","* ","Class of 2013","0626111","201314"
"Eligible for Free or ","60.7 ","Class of 2013","0626111","201314"
"Reduced-Price Meals","","Class of 2013","0626111","201314"
"Students with Disabilities ","57.4 ","Class of 2013","0626111","201314"
"School ","69.5 ","Class of 2013","0626111","201314"
"District ","69.5 ","Class of 2013","0626111","201314"
"Female ","78.2","Class of 2014","0626111","201415"
"Male ","68.4","Class of 2014","0626111","201415"
"Black or African American ","66.2","Class of 2014","0626111","201415"
"Hispanic or Latino ","69.4","Class of 2014","0626111","201415"
"White ","78.8","Class of 2014","0626111","201415"
"English Language Learners ","73.9","Class of 2014","0626111","201415"
"Eligible for Free or ","63.5","Class of 2014","0626111","201415"
"Reduced-Price Meals",NA,"Class of 2014","0626111","201415"
"Students with Disabilities ","49.1","Class of 2014","0626111","201415"
"School ","73","Class of 2014","0626111","201415"
"District ","73","Class of 2014","0626111","201415"
"Female ","80.4 ","Class of 2015","0626111","201516"
"Male ","67.5 ","Class of 2015","0626111","201516"
"Black or African American ","72.9 ","Class of 2015","0626111","201516"
"Hispanic or Latino ","81.5 ","Class of 2015","0626111","201516"
"White ","70.9 ","Class of 2015","0626111","201516"
"English Language Learners ","* ","Class of 2015","0626111","201516"
"Eligible for Free or ","68.6 ","Class of 2015","0626111","201516"
"Reduced-Price Meals","","Class of 2015","0626111","201516"
"Students with Disabilities ","57.1 ","Class of 2015","0626111","201516"
"School ","74.0 ","Class of 2015","0626111","201516"
"District ","73.0 ","Class of 2015","0626111","201516"
