"category","ela.count","ela.spi","math.count","math.spi","sci.count","sci.spi","school_id","year"
"English Language Learners ","23 ","34.5 ","23 ","31.8 ","27 ","30.4","1636111","201516"
"Non-English Language Learners ","73 ","47.4 ","73 ","42.2 ","92 ","47.2","1636111","201516"
"Eligible for Free or Reduced-Price Meals ","76 ","41.0 ","76 ","38.0 ","97 ","41.5","1636111","201516"
"Not Eligible for Free or Reduced-Price Meals ","20 ","56.7 ","20 ","46.1 ","22 ","51.9","1636111","201516"
"Students with Disabilities ","24 ","39.1 ","24 ","36.3 ","20 ","32.9","1636111","201516"
"Students without Disabilities ","72 ","46.0 ","72 ","40.9 ","99 ","45.5","1636111","201516"
"High Needs ","81 ","42.1 ","81 ","38.4 ","101 ","40.9","1636111","201516"
"Non-High Needs ","15 ","* ","15 ","* ","18 ","*","1636111","201516"
"School ","96 ","44.3 ","96 ","39.7 ","119 ","43.4","1636111","201516"
"American Indian or Alaska Native ","0","N/A ","0","N/A ","0 ","N/A","1640111","201415"
"Asian ","7","* ","7","* ","0 ","*","1640111","201415"
"Black or African American ","128","64.4 ","128","59.4 ","45 ","48.6","1640111","201415"
"Hispanic or Latino ","43","62.9 ","43","57.2 ","15 ","*","1640111","201415"
"Native Hawaiian or Other Pacific Islander ","0","N/A ","0","N/A ","0 ","N/A","1640111","201415"
"Two or More Races ","10","* ","10","* ","* ","*","1640111","201415"
"White ","56","76.8 ","56","70.5 ","18 ","*","1640111","201415"
"English Language Learners ","12","* ","12","* ","* ","*","1640111","201415"
"Non-English Language Learners ","232","69.0 ","232","63.8 ","* ","*","1640111","201415"
"Eligible for Free or Reduced-Price Meals ","94","64.3 ","94","57.0 ","34 ","46.3","1640111","201415"
"Not Eligible for Free or Reduced-Price Meals ","150","70.8 ","150","66.9 ","45 ","55.9","1640111","201415"
"Students with Disabilities ","43","51.2 ","43","44.1 ","14 ","*","1640111","201415"
"Students without Disabilities ","201","72.0 ","201","67.2 ","65 ","53.8","1640111","201415"
"High Needs ","121","62.1 ","121","55.5 ","43 ","47.1","1640111","201415"
"Non-High Needs ","123","74.4 ","123","70.6 ","36 ","57.3","1640111","201415"
"School ","244","68.3 ","244","63.1 ","79 ","51.8","1640111","201415"
"Asian ","11","* ","11","* ","* ","*","1640111","201516"
"Black or African American ","144","66.0 ","144","61.1 ","44 ","51.4","1640111","201516"
"Hispanic or Latino ","40","64.7 ","40","58.8 ","15 ","*","1640111","201516"
"Native Hawaiian or Other Pacific Islander ","0","N/A ","0","N/A ","0 ","N/A","1640111","201516"
"Two or More Races ","17","* ","17","* ","* ","*","1640111","201516"
"White ","63","75.3 ","63","70.9 ","16 ","*","1640111","201516"
"English Language Learners ","21","57.3 ","21","57.0 ","* ","*","1640111","201516"
"Non-English Language Learners ","254","70.2 ","254","65.1 ","* ","*","1640111","201516"
"Eligible for Free or Reduced-Price Meals ","103","66.0 ","103","59.8 ","32 ","50.5","1640111","201516"
"Not Eligible for Free or Reduced-Price Meals ","172","71.2 ","172","67.4 ","55 ","59.3","1640111","201516"
"Students with Disabilities ","50","49.4 ","50","46.9 ","19 ","*","1640111","201516"
"Students without Disabilities ","225","73.7 ","225","68.4 ","68 ","61.1","1640111","201516"
"High Needs ","133","63.4 ","133","58.4 ","42 ","48.4","1640111","201516"
"Non-High Needs ","142","74.8 ","142","70.2 ","45 ","63.2","1640111","201516"
"School ","275","69.3 ","275","64.5 ","87 ","56.1","1640111","201516"
"American Indian or Alaska Native ","0","N/A ","0","N/A ","0","N/A","1640511","201415"
"Asian ","0","N/A ","0","N/A ","0","N/A","1640511","201415"
"Black or African American ","0","N/A ","0","N/A ","0","N/A","1640511","201415"
"Hispanic or Latino ","0","N/A ","0","N/A ","0","N/A","1640511","201415"
"Native Hawaiian or Other Pacific Islander ","0","N/A ","0","N/A ","0","N/A","1640511","201415"
"Two or More Races ","0","N/A ","0","N/A ","0","N/A","1640511","201415"
"White ","0","N/A ","0","N/A ","0","N/A","1640511","201415"
"English Language Learners ","0","N/A ","0","N/A ","0","N/A","1640511","201415"
"Non-English Language Learners ","0","N/A ","0","N/A ","0","N/A","1640511","201415"
"Eligible for Free or Reduced-Price Meals ","0","N/A ","0","N/A ","0","N/A","1640511","201415"
"Not Eligible for Free or Reduced-Price Meals ","0","N/A ","0","N/A ","0","N/A","1640511","201415"
"Students with Disabilities ","0","N/A ","0","N/A ","0","N/A","1640511","201415"
"Students without Disabilities ","0","N/A ","0","N/A ","0","N/A","1640511","201415"
"High Needs ","0","N/A ","0","N/A ","0","N/A","1640511","201415"
"Non-High Needs ","0","N/A ","0","N/A ","0","N/A","1640511","201415"
"School ","0","N/A ","0","N/A ","0","N/A","1640511","201415"
"Asian ","0","N/A ","0","N/A ","0","N/A","1640511","201516"
"Black or African American ","0","N/A ","0","N/A ","0","N/A","1640511","201516"
"Hispanic or Latino ","0","N/A ","0","N/A ","0","N/A","1640511","201516"
"Native Hawaiian or Other Pacific Islander ","0","N/A ","0","N/A ","0","N/A","1640511","201516"
"Two or More Races ","0","N/A ","0","N/A ","0","N/A","1640511","201516"
"White ","0","N/A ","0","N/A ","0","N/A","1640511","201516"
"English Language Learners ","0","N/A ","0","N/A ","0","N/A","1640511","201516"
"Non-English Language Learners ","0","N/A ","0","N/A ","0","N/A","1640511","201516"
"Eligible for Free or Reduced-Price Meals ","0","N/A ","0","N/A ","0","N/A","1640511","201516"
"Not Eligible for Free or Reduced-Price Meals ","0","N/A ","0","N/A ","0","N/A","1640511","201516"
"Students with Disabilities ","0","N/A ","0","N/A ","0","N/A","1640511","201516"
"Students without Disabilities ","0","N/A ","0","N/A ","0","N/A","1640511","201516"
"High Needs ","0","N/A ","0","N/A ","0","N/A","1640511","201516"
"Non-High Needs ","0","N/A ","0","N/A ","0","N/A","1640511","201516"
"School ","0","N/A ","0","N/A ","0","N/A","1640511","201516"
"American Indian or Alaska Native ","0 ","N/A ","0 ","N/A ","0 ","N/A","1640811","201415"
"Asian ","* ","* ","* ","* ","6 ","*","1640811","201415"
"Black or African American ","168 ","58.4 ","168 ","52.9 ","58 ","47.3","1640811","201415"
"Hispanic or Latino ","61 ","62.8 ","61 ","56.0 ","25 ","50.3","1640811","201415"
"Native Hawaiian or Other Pacific Islander ","* ","* ","* ","* ","0 ","*","1640811","201415"
"Two or More Races ","26 ","73.7 ","26 ","71.4 ","9 ","*","1640811","201415"
"White ","136 ","72.6 ","136 ","68.4 ","47 ","62.9","1640811","201415"
"English Language Learners ","17 ","* ","17 ","* ","* ","*","1640811","201415"
"Non-English Language Learners ","385 ","65.6 ","385 ","60.5 ","* ","*","1640811","201415"
"Eligible for Free or Reduced-Price Meals ","137 ","58.1 ","137 ","53.3 ","50 ","46.3","1640811","201415"
"Not Eligible for Free or Reduced-Price Meals ","265 ","68.9 ","265 ","63.6 ","95 ","57.8","1640811","201415"
"Students with Disabilities ","61 ","45.1 ","61 ","40.7 ","24 ","39.2","1640811","201415"
"Students without Disabilities ","341 ","68.8 ","341 ","63.6 ","121 ","56.8","1640811","201415"
"High Needs ","177 ","56.0 ","177 ","50.9 ","67 ","45.8","1640811","201415"
"Non-High Needs ","225 ","72.5 ","225 ","67.3 ","78 ","60.8","1640811","201415"
"School ","402 ","65.2 ","402 ","60.1 ","145 ","53.9","1640811","201415"
"Asian ","* ","* ","* ","* ","* ","*","1640811","201516"
"Black or African American ","150 ","58.4 ","150 ","53.7 ","60 ","42.7","1640811","201516"
"Hispanic or Latino ","52 ","59.6 ","52 ","58.0 ","19 ","*","1640811","201516"
"Native Hawaiian or Other Pacific Islander ","* ","* ","* ","* ","0 ","N/A","1640811","201516"
"Two or More Races ","29 ","65.1 ","29 ","63.4 ","* ","*","1640811","201516"
"White ","137 ","71.2 ","137 ","68.1 ","50 ","55.3","1640811","201516"
"English Language Learners ","34 ","57.6 ","32 ","54.5 ","9 ","*","1640811","201516"
"Non-English Language Learners ","356 ","64.6 ","356 ","61.3 ","132 ","49.7","1640811","201516"
"Eligible for Free or Reduced-Price Meals ","131 ","55.5 ","131 ","51.3 ","50 ","43.6","1640811","201516"
"Not Eligible for Free or Reduced-Price Meals ","259 ","68.3 ","257 ","65.6 ","91 ","52.6","1640811","201516"
"Students with Disabilities ","59 ","42.7 ","59 ","41.4 ","31 ","34.3","1640811","201516"
"Students without Disabilities ","331 ","67.8 ","329 ","64.3 ","110 ","53.6","1640811","201516"
"High Needs ","181 ","54.5 ","179 ","51.1 ","68 ","41.0","1640811","201516"
"Non-High Needs ","209 ","72.2 ","209 ","69.1 ","73 ","57.1","1640811","201516"
"School ","390 ","64.0 ","388 ","60.8 ","141 ","49.4","1640811","201516"
"American Indian or Alaska Native ","0","N/A ","0","N/A ","0","N/A","1640911","201415"
"Asian ","0","N/A ","0","N/A ","0","N/A","1640911","201415"
"Black or African American ","0","N/A ","0","N/A ","0","N/A","1640911","201415"
"Hispanic or Latino ","0","N/A ","0","N/A ","0","N/A","1640911","201415"
"Native Hawaiian or Other Pacific Islander ","0","N/A ","0","N/A ","0","N/A","1640911","201415"
"Two or More Races ","0","N/A ","0","N/A ","0","N/A","1640911","201415"
"White ","0","N/A ","0","N/A ","0","N/A","1640911","201415"
"English Language Learners ","0","N/A ","0","N/A ","0","N/A","1640911","201415"
"Non-English Language Learners ","0","N/A ","0","N/A ","0","N/A","1640911","201415"
"Eligible for Free or Reduced-Price Meals ","0","N/A ","0","N/A ","0","N/A","1640911","201415"
"Not Eligible for Free or Reduced-Price Meals ","0","N/A ","0","N/A ","0","N/A","1640911","201415"
"Students with Disabilities ","0","N/A ","0","N/A ","0","N/A","1640911","201415"
"Students without Disabilities ","0","N/A ","0","N/A ","0","N/A","1640911","201415"
"High Needs ","0","N/A ","0","N/A ","0","N/A","1640911","201415"
"Non-High Needs ","0","N/A ","0","N/A ","0","N/A","1640911","201415"
"School ","0","N/A ","0","N/A ","0","N/A","1640911","201415"
"Asian ","0","N/A ","0","N/A ","0","N/A","1640911","201516"
"Black or African American ","0","N/A ","0","N/A ","0","N/A","1640911","201516"
"Hispanic or Latino ","0","N/A ","0","N/A ","0","N/A","1640911","201516"
"Native Hawaiian or Other Pacific Islander ","0","N/A ","0","N/A ","0","N/A","1640911","201516"
"Two or More Races ","0","N/A ","0","N/A ","0","N/A","1640911","201516"
"White ","0","N/A ","0","N/A ","0","N/A","1640911","201516"
"English Language Learners ","0","N/A ","0","N/A ","0","N/A","1640911","201516"
"Non-English Language Learners ","0","N/A ","0","N/A ","0","N/A","1640911","201516"
"Eligible for Free or Reduced-Price Meals ","0","N/A ","0","N/A ","0","N/A","1640911","201516"
"Not Eligible for Free or Reduced-Price Meals ","0","N/A ","0","N/A ","0","N/A","1640911","201516"
"Students with Disabilities ","0","N/A ","0","N/A ","0","N/A","1640911","201516"
"Students without Disabilities ","0","N/A ","0","N/A ","0","N/A","1640911","201516"
"High Needs ","0","N/A ","0","N/A ","0","N/A","1640911","201516"
"Non-High Needs ","0","N/A ","0","N/A ","0","N/A","1640911","201516"
"School ","0","N/A ","0","N/A ","0","N/A","1640911","201516"
"American Indian or Alaska Native ","0 ","N/A ","0 ","N/A ","0 ","N/A","1645311","201415"
"Asian ","* ","* ","* ","* ","* ","*","1645311","201415"
"Black or African American ","292 ","57.8 ","294 ","47.2 ","105 ","57.2","1645311","201415"
"Hispanic or Latino ","117 ","60.1 ","117 ","51.2 ","29 ","52.9","1645311","201415"
"Native Hawaiian or Other Pacific Islander ","* ","* ","* ","* ","* ","*","1645311","201415"
"Two or More Races ","29 ","70.6 ","29 ","62.0 ","10 ","*","1645311","201415"
"White ","183 ","72.4 ","183 ","65.2 ","63 ","68.8","1645311","201415"
"English Language Learners ","26 ","53.4 ","26 ","45.3 ","7 ","*","1645311","201415"
"Non-English Language Learners ","625 ","63.9 ","627 ","54.8 ","210 ","61.1","1645311","201415"
"Eligible for Free or Reduced-Price Meals ","229 ","55.6 ","232 ","45.1 ","69 ","54.2","1645311","201415"
"Not Eligible for Free or Reduced-Price Meals ","422 ","67.7 ","421 ","59.6 ","148 ","63.5","1645311","201415"
"Students with Disabilities ","141 ","42.5 ","141 ","34.8 ","39 ","49.7","1645311","201415"
"Students without Disabilities ","510 ","69.2 ","512 ","59.8 ","178 ","62.9","1645311","201415"
"High Needs ","312 ","53.4 ","314 ","44.2 ","91 ","54.0","1645311","201415"
"Non-High Needs ","339 ","72.7 ","339 ","63.9 ","126 ","65.3","1645311","201415"
"School ","651 ","63.4 ","653 ","54.4 ","217 ","60.6","1645311","201415"
"Asian ","* ","* ","* ","* ","11","*","1645311","201516"
"Black or African American ","302 ","56.3 ","300 ","49.7 ","121","51.2","1645311","201516"
"Hispanic or Latino ","116 ","62.6 ","116 ","57.6 ","50","59.9","1645311","201516"
"Native Hawaiian or Other Pacific Islander ","* ","* ","* ","* ","0","N/A","1645311","201516"
"Two or More Races ","29 ","75.4 ","29 ","71.4 ","9","*","1645311","201516"
"White ","174 ","71.1 ","174 ","68.7 ","50","64.0","1645311","201516"
"English Language Learners ","25 ","56.4 ","25 ","52.1 ","9","*","1645311","201516"
"Non-English Language Learners ","620 ","63.0 ","618 ","58.0 ","232","57.2","1645311","201516"
"Eligible for Free or Reduced-Price Meals ","252 ","56.3 ","251 ","49.9 ","103","53.0","1645311","201516"
"Not Eligible for Free or Reduced-Price Meals ","393 ","66.9 ","392 ","62.9 ","138","60.2","1645311","201516"
"Students with Disabilities ","133 ","43.7 ","131 ","39.2 ","57","45.4","1645311","201516"
"Students without Disabilities ","512 ","67.7 ","512 ","62.6 ","184","60.8","1645311","201516"
"High Needs ","327 ","54.2 ","325 ","48.7 ","134","52.5","1645311","201516"
"Non-High Needs ","318 ","71.5 ","318 ","67.1 ","107","62.9","1645311","201516"
"School ","645 ","62.8 ","643 ","57.8 ","241","57.2","1645311","201516"
"American Indian or Alaska Native ","* ","* ","* ","* ","0 ","*","1646111","201415"
"Asian ","* ","* ","* ","* ","9 ","*","1646111","201415"
"Black or African American ","58 ","46.4 ","62 ","36.8 ","124 ","49.9","1646111","201415"
"Hispanic or Latino ","21 ","57.2 ","22 ","41.7 ","35 ","55.6","1646111","201415"
"Native Hawaiian or Other Pacific Islander ","0 ","N/A ","0 ","N/A ","0 ","N/A","1646111","201415"
"Two or More Races ","* ","* ","* ","* ","13 ","*","1646111","201415"
"White ","25 ","57.5 ","23 ","55.0 ","71 ","67.7","1646111","201415"
"English Language Learners ","* ","* ","* ","* ","* ","*","1646111","201415"
"Non-English Language Learners ","* ","* ","* ","* ","* ","*","1646111","201415"
"Eligible for Free or Reduced-Price Meals ","29 ","43.8 ","28 ","33.5 ","75 ","46.7","1646111","201415"
"Not Eligible for Free or Reduced-Price Meals ","82 ","54.1 ","84 ","45.5 ","177 ","60.4","1646111","201415"
"Students with Disabilities ","20 ","41.3 ","20 ","32.5 ","55 ","43.8","1646111","201415"
"Students without Disabilities ","91 ","53.6 ","92 ","44.7 ","197 ","59.9","1646111","201415"
"High Needs ","42 ","42.5 ","41 ","34.0 ","106 ","47.5","1646111","201415"
"Non-High Needs ","69 ","56.9 ","71 ","47.4 ","146 ","62.8","1646111","201415"
"School ","111 ","51.4 ","112 ","42.5 ","252 ","56.4","1646111","201415"
"Asian ","9 ","* ","9 ","* ","11","*","1646111","201516"
"Black or African American ","127 ","50.0 ","127 ","45.9 ","132","50.1","1646111","201516"
"Hispanic or Latino ","34 ","53.1 ","34 ","49.5 ","44","53.3","1646111","201516"
"Native Hawaiian or Other Pacific Islander ","0 ","N/A ","0 ","N/A ","0","N/A","1646111","201516"
"Two or More Races ","16 ","* ","16 ","* ","12","*","1646111","201516"
"White ","72 ","67.1 ","72 ","63.3 ","83","69.6","1646111","201516"
"English Language Learners ","* ","* ","* ","* ","6","*","1646111","201516"
"Non-English Language Learners ","* ","* ","* ","* ","276","57.9","1646111","201516"
"Eligible for Free or Reduced-Price Meals ","89 ","48.6 ","89 ","43.8 ","112","49.6","1646111","201516"
"Not Eligible for Free or Reduced-Price Meals ","169 ","59.6 ","169 ","56.5 ","170","63.1","1646111","201516"
"Students with Disabilities ","50 ","42.8 ","50 ","39.4 ","49","41.1","1646111","201516"
"Students without Disabilities ","208 ","58.9 ","208 ","55.2 ","233","61.2","1646111","201516"
"High Needs ","114 ","47.5 ","114 ","43.4 ","134","49.2","1646111","201516"
"Non-High Needs ","144 ","62.3 ","144 ","59.0 ","148","65.5","1646111","201516"
"School ","258 ","55.8 ","258 ","52.1 ","282","57.7","1646111","201516"
"American Indian or Alaska Native ","0","N/A ","0","N/A ","0","N/A","1650111","201415"
"Asian ","0","N/A ","0","N/A ","0","N/A","1650111","201415"
"Black or African American ","0","N/A ","0","N/A ","0","N/A","1650111","201415"
"Hispanic or Latino ","0","N/A ","0","N/A ","0","N/A","1650111","201415"
"Native Hawaiian or Other Pacific Islander ","0","N/A ","0","N/A ","0","N/A","1650111","201415"
"Two or More Races ","0","N/A ","0","N/A ","0","N/A","1650111","201415"
"White ","0","N/A ","0","N/A ","0","N/A","1650111","201415"
"English Language Learners ","0","N/A ","0","N/A ","0","N/A","1650111","201415"
"Non-English Language Learners ","0","N/A ","0","N/A ","0","N/A","1650111","201415"
"Eligible for Free or Reduced-Price Meals ","0","N/A ","0","N/A ","0","N/A","1650111","201415"
"Not Eligible for Free or Reduced-Price Meals ","0","N/A ","0","N/A ","0","N/A","1650111","201415"
"Students with Disabilities ","0","N/A ","0","N/A ","0","N/A","1650111","201415"
"Students without Disabilities ","0","N/A ","0","N/A ","0","N/A","1650111","201415"
"High Needs ","0","N/A ","0","N/A ","0","N/A","1650111","201415"
"Non-High Needs ","0","N/A ","0","N/A ","0","N/A","1650111","201415"
"School ","0","N/A ","0","N/A ","0","N/A","1650111","201415"
"Asian ","0","N/A ","0","N/A ","0","N/A","1650111","201516"
"Black or African American ","0","N/A ","0","N/A ","0","N/A","1650111","201516"
"Hispanic or Latino ","0","N/A ","0","N/A ","0","N/A","1650111","201516"
"Native Hawaiian or Other Pacific Islander ","0","N/A ","0","N/A ","0","N/A","1650111","201516"
"Two or More Races ","0","N/A ","0","N/A ","0","N/A","1650111","201516"
"White ","0","N/A ","0","N/A ","0","N/A","1650111","201516"
"English Language Learners ","0","N/A ","0","N/A ","0","N/A","1650111","201516"
"Non-English Language Learners ","0","N/A ","0","N/A ","0","N/A","1650111","201516"
"Eligible for Free or Reduced-Price Meals ","0","N/A ","0","N/A ","0","N/A","1650111","201516"
"Not Eligible for Free or Reduced-Price Meals ","0","N/A ","0","N/A ","0","N/A","1650111","201516"
"Students with Disabilities ","0","N/A ","0","N/A ","0","N/A","1650111","201516"
"Students without Disabilities ","0","N/A ","0","N/A ","0","N/A","1650111","201516"
"High Needs ","0","N/A ","0","N/A ","0","N/A","1650111","201516"
"Non-High Needs ","0","N/A ","0","N/A ","0","N/A","1650111","201516"
"School ","0","N/A ","0","N/A ","0","N/A","1650111","201516"
"American Indian or Alaska Native ","0 ","N/A ","0 ","N/A ","0 ","N/A","1650411","201415"
"Asian ","29 ","76.5 ","29 ","63.4 ","11 ","*","1650411","201415"
"Black or African American ","31 ","55.8 ","31 ","47.8 ","10 ","*","1650411","201415"
"Hispanic or Latino ","47 ","63.4 ","46 ","54.0 ","10 ","*","1650411","201415"
"Native Hawaiian or Other Pacific Islander ","* ","* ","* ","* ","0 ","*","1650411","201415"
"Two or More Races ","* ","* ","* ","* ","* ","*","1650411","201415"
"White ","233 ","68.3 ","231 ","60.5 ","84 ","54.4","1650411","201415"
"English Language Learners ","26 ","63.2 ","25 ","53.4 ","6 ","*","1650411","201415"
"Non-English Language Learners ","337 ","68.0 ","335 ","59.2 ","111 ","52.8","1650411","201415"
"Eligible for Free or Reduced-Price Meals ","144 ","63.1 ","142 ","54.1 ","44 ","47.0","1650411","201415"
"Not Eligible for Free or Reduced-Price Meals ","219 ","70.7 ","218 ","61.9 ","73 ","55.5","1650411","201415"
"Students with Disabilities ","56 ","51.5 ","53 ","44.2 ","18 ","*","1650411","201415"
"Students without Disabilities ","307 ","70.6 ","307 ","61.4 ","99 ","54.5","1650411","201415"
"High Needs ","180 ","62.3 ","177 ","53.2 ","50 ","46.1","1650411","201415"
"Non-High Needs ","183 ","73.0 ","183 ","64.3 ","67 ","56.9","1650411","201415"
"School ","363 ","67.7 ","360 ","58.8 ","117 ","52.3","1650411","201415"
"Asian ","* ","* ","* ","* ","9 ","*","1650411","201516"
"Black or African American ","30 ","54.5 ","30 ","48.7 ","10 ","*","1650411","201516"
"Hispanic or Latino ","58 ","67.7 ","58 ","62.7 ","17 ","*","1650411","201516"
"Native Hawaiian or Other Pacific Islander ","* ","* ","* ","* ","* ","*","1650411","201516"
"Two or More Races ","29 ","70.3 ","29 ","64.1 ","* ","*","1650411","201516"
"White ","220 ","69.6 ","220 ","65.4 ","87 ","55.3","1650411","201516"
"English Language Learners ","24 ","60.7 ","24 ","60.1 ","7 ","*","1650411","201516"
"Non-English Language Learners ","341 ","69.2 ","341 ","64.4 ","122 ","56.3","1650411","201516"
"Eligible for Free or Reduced-Price Meals ","147 ","63.5 ","147 ","58.8 ","52 ","49.0","1650411","201516"
"Not Eligible for Free or Reduced-Price Meals ","218 ","72.0 ","218 ","67.7 ","77 ","60.4","1650411","201516"
"Students with Disabilities ","70 ","54.5 ","70 ","47.9 ","25 ","36.5","1650411","201516"
"Students without Disabilities ","295 ","72.0 ","295 ","68.0 ","104 ","60.4","1650411","201516"
"High Needs ","188 ","62.0 ","188 ","57.5 ","66 ","47.4","1650411","201516"
"Non-High Needs ","177 ","75.6 ","177 ","71.2 ","63 ","64.6","1650411","201516"
"School ","365 ","68.6 ","365 ","64.2 ","129 ","55.8","1650411","201516"
"American Indian or Alaska Native ","0 ","N/A ","0 ","N/A ","0 ","N/A","1655111","201415"
"Asian ","* ","* ","* ","* ","17 ","*","1655111","201415"
"Black or African American ","41 ","51.5 ","41 ","46.4 ","16 ","*","1655111","201415"
"Hispanic or Latino ","37 ","58.5 ","37 ","47.4 ","10 ","*","1655111","201415"
"Native Hawaiian or Other Pacific Islander ","0 ","N/A ","0 ","N/A ","0 ","N/A","1655111","201415"
"Two or More Races ","* ","* ","* ","* ","* ","*","1655111","201415"
"White ","230 ","63.4 ","233 ","54.7 ","78 ","55.0","1655111","201415"
"English Language Learners ","11 ","* ","11 ","* ","* ","*","1655111","201415"
"Non-English Language Learners ","333 ","62.7 ","336 ","54.5 ","* ","*","1655111","201415"
"Eligible for Free or Reduced-Price Meals ","145 ","56.0 ","147 ","47.0 ","50 ","48.6","1655111","201415"
"Not Eligible for Free or Reduced-Price Meals ","199 ","66.7 ","200 ","59.1 ","73 ","58.0","1655111","201415"
"Students with Disabilities ","57 ","40.7 ","57 ","29.4 ","17 ","*","1655111","201415"
"Students without Disabilities ","287 ","66.5 ","290 ","58.8 ","106 ","56.5","1655111","201415"
"High Needs ","168 ","53.4 ","170 ","45.0 ","60 ","47.6","1655111","201415"
"Non-High Needs ","176 ","70.6 ","177 ","62.5 ","63 ","60.5","1655111","201415"
"School ","344 ","62.2 ","347 ","53.9 ","123 ","54.2","1655111","201415"
"Asian ","* ","* ","* ","* ","* ","*","1655111","201516"
"Black or African American ","38 ","53.4 ","36 ","41.3 ","16 ","*","1655111","201516"
"Hispanic or Latino ","37 ","63.1 ","37 ","47.6 ","* ","*","1655111","201516"
"Native Hawaiian or Other Pacific Islander ","0 ","N/A ","0 ","N/A ","0 ","N/A","1655111","201516"
"Two or More Races ","* ","* ","* ","* ","0 ","N/A","1655111","201516"
"White ","230 ","66.4 ","220 ","58.3 ","82 ","56.1","1655111","201516"
"English Language Learners ","14 ","* ","13 ","* ","* ","*","1655111","201516"
"Non-English Language Learners ","320 ","65.1 ","309 ","55.6 ","* ","*","1655111","201516"
"Eligible for Free or Reduced-Price Meals ","136 ","57.1 ","130 ","47.9 ","33 ","49.9","1655111","201516"
"Not Eligible for Free or Reduced-Price Meals ","198 ","69.6 ","192 ","60.6 ","78 ","56.1","1655111","201516"
"Students with Disabilities ","55 ","45.6 ","53 ","36.8 ","17 ","*","1655111","201516"
"Students without Disabilities ","279 ","68.2 ","269 ","59.1 ","94 ","56.9","1655111","201516"
"High Needs ","157 ","55.6 ","150 ","46.4 ","42 ","48.0","1655111","201516"
"Non-High Needs ","177 ","72.4 ","172 ","63.3 ","69 ","58.0","1655111","201516"
"School ","334 ","64.5 ","322 ","55.4 ","111 ","54.2","1655111","201516"
"American Indian or Alaska Native ","* ","* ","* ","* ","0 ","*","1656111","201415"
"Asian ","12 ","* ","12 ","* ","7 ","*","1656111","201415"
"Black or African American ","11 ","* ","11 ","* ","16 ","*","1656111","201415"
"Hispanic or Latino ","10 ","* ","10 ","* ","6 ","*","1656111","201415"
"Native Hawaiian or Other Pacific Islander ","0 ","N/A ","0 ","N/A ","0 ","N/A","1656111","201415"
"Two or More Races ","* ","* ","* ","* ","* ","*","1656111","201415"
"White ","87 ","52.4 ","87 ","53.5 ","66 ","52.9","1656111","201415"
"English Language Learners ","* ","* ","* ","* ","* ","*","1656111","201415"
"Non-English Language Learners ","* ","* ","* ","* ","* ","*","1656111","201415"
"Eligible for Free or Reduced-Price Meals ","40 ","44.9 ","40 ","49.0 ","37 ","43.8","1656111","201415"
"Not Eligible for Free or Reduced-Price Meals ","83 ","52.3 ","83 ","53.6 ","59 ","54.9","1656111","201415"
"Students with Disabilities ","18 ","* ","18 ","* ","16 ","*","1656111","201415"
"Students without Disabilities ","105 ","51.4 ","105 ","54.8 ","80 ","54.4","1656111","201415"
"High Needs ","52 ","43.5 ","52 ","45.5 ","43 ","44.6","1656111","201415"
"Non-High Needs ","71 ","54.5 ","71 ","56.9 ","53 ","55.5","1656111","201415"
"School ","123 ","49.9 ","123 ","52.1 ","96 ","50.6","1656111","201415"
"Asian ","* ","* ","* ","* ","12 ","*","1656111","201516"
"Black or African American ","13 ","* ","13 ","* ","10 ","*","1656111","201516"
"Hispanic or Latino ","* ","* ","* ","* ","* ","*","1656111","201516"
"Native Hawaiian or Other Pacific Islander ","0 ","N/A ","0 ","N/A ","0 ","N/A","1656111","201516"
"Two or More Races ","0 ","N/A ","0 ","N/A ","* ","*","1656111","201516"
"White ","63 ","56.9 ","63 ","51.8 ","67 ","57.4","1656111","201516"
"English Language Learners ","* ","* ","* ","* ","* ","*","1656111","201516"
"Non-English Language Learners ","* ","* ","* ","* ","* ","*","1656111","201516"
"Eligible for Free or Reduced-Price Meals ","31 ","51.7 ","31 ","48.0 ","33 ","48.9","1656111","201516"
"Not Eligible for Free or Reduced-Price Meals ","55 ","56.6 ","55 ","52.6 ","68 ","59.3","1656111","201516"
"Students with Disabilities ","9 ","* ","9 ","* ","10 ","*","1656111","201516"
"Students without Disabilities ","77 ","55.4 ","77 ","52.5 ","91 ","57.9","1656111","201516"
"High Needs ","35 ","52.0 ","35 ","47.5 ","39 ","48.0","1656111","201516"
"Non-High Needs ","51 ","56.7 ","51 ","53.3 ","62 ","60.8","1656111","201516"
"School ","86 ","54.8 ","86 ","50.9 ","101 ","55.9","1656111","201516"
"American Indian or Alaska Native ","0 ","N/A ","0 ","N/A ","0 ","N/A","1660211","201415"
"Asian ","* ","* ","* ","* ","* ","*","1660211","201415"
"Black or African American ","* ","* ","* ","* ","* ","*","1660211","201415"
"Hispanic or Latino ","8 ","* ","8 ","* ","* ","*","1660211","201415"
"Native Hawaiian or Other Pacific Islander ","0 ","N/A ","0 ","N/A ","0 ","N/A","1660211","201415"
"Two or More Races ","* ","* ","* ","* ","* ","*","1660211","201415"
"White ","150 ","79.7 ","151 ","75.2 ","55 ","67.1","1660211","201415"
"English Language Learners ","7 ","* ","7 ","* ","* ","*","1660211","201415"
"Non-English Language Learners ","162 ","79.5 ","163 ","74.7 ","* ","*","1660211","201415"
