"FTE Staffing Report for Trend"

"",,,,"Year",,,,
,,="Library/Media - Specialists (Certified)",="Certified",1.0,1.0,1.0,1.0,0.6
,="Frederick Brewster School",="Administrators  Coordinators and Department Chairs - School Level",="Certified",1.0,1.0,1.0,1.0,1.0
,,="Counselors  Social Workers  and School Psychologists",="Certified",1.2,1.4,1.3,1.2,0.2
,,="General Education - Paraprofessional Instructional Assistants",="Non-Certified",7.5,7.5,5.5,5.0,3.5
,,="General Education - Teachers and Instructors",="Certified",17.1,17.0,17.8,17.9,18.2
,,="Library/Media - Support Staff",="Non-Certified",0.5,0.5,0.5,0.5,0.0
,,="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",5.5,5.0,5.3,4.8,4.8
,,="School Nurses",="Non-Certified",1.0,1.0,1.0,1.0,1.0
,,="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",6.0,6.0,10.0,10.0,9.0
,,="Special Education - Teachers and Instructors",="Certified",4.5,3.6,3.6,3.6,3.4
,,="Instructional Specialists Who Support Teachers",="Certified",2.5,2.8,2.6,2.6,3.0
,,="Library/Media - Specialists (Certified)",="Certified",0.5,0.5,0.5,0.6,0.6
,="John Lyman School",="Administrators  Coordinators and Department Chairs - School Level",="Certified",1.0,1.0,1.0,1.0,1.0
,,="Counselors  Social Workers  and School Psychologists",="Certified",1.2,1.3,1.3,1.4,1.4
,,="General Education - Paraprofessional Instructional Assistants",="Non-Certified",4.5,4.5,5.0,4.5,4.0
,,="General Education - Teachers and Instructors",="Certified",19.9,19.5,20.3,18.2,19.2
,,="Library/Media - Support Staff",="Non-Certified",0.0,0.0,0.0,0.0,0.0
,,="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",5.5,5.5,5.5,5.5,5.5
,,="School Nurses",="Non-Certified",1.0,1.0,1.0,1.0,1.0
,,="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",4.0,3.5,4.0,4.0,4.6
,,="Special Education - Teachers and Instructors",="Certified",1.5,1.6,1.6,1.6,1.6
,,="Instructional Specialists Who Support Teachers",="Certified",0.8,0.8,0.8,0.8,0.8
,,="Library/Media - Specialists (Certified)",="Certified",0.6,0.6,0.6,.,0.6
,="Middlefield Memorial School",="Administrators  Coordinators and Department Chairs - School Level",="Certified",1.0,1.0,1.0,1.0,1.0
,,="Counselors  Social Workers  and School Psychologists",="Certified",1.5,1.5,1.7,1.8,1.8
,,="General Education - Paraprofessional Instructional Assistants",="Non-Certified",1.0,1.0,1.0,2.2,2.2
,,="General Education - Teachers and Instructors",="Certified",23.7,23.6,22.0,22.0,23.0
,,="Library/Media - Support Staff",="Non-Certified",0.5,0.5,0.5,0.5,0.5
,,="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",6.5,6.5,6.5,6.5,6.5
,,="School Nurses",="Non-Certified",1.0,1.0,1.0,1.0,1.0
,,="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",5.0,7.0,6.0,5.0,6.0
,,="Special Education - Teachers and Instructors",="Certified",3.0,3.0,3.0,3.0,3.0
,,="Instructional Specialists Who Support Teachers",="Certified",0.8,0.8,1.0,1.0,1.2
,,="Library/Media - Specialists (Certified)",="Certified",1.0,1.0,1.0,1.0,0.8
,="Middlesex Transition Academy",="Counselors  Social Workers  and School Psychologists",="Certified",.,.,.,.,0.6
,,="Special Education - Teachers and Instructors",="Certified",.,.,.,.,2.0
,,="Instructional Specialists Who Support Teachers",="Certified",.,.,.,.,0.3
="Regional School District 14",="Bethlehem Elementary School",="Administrators  Coordinators and Department Chairs - School Level",="Certified",1.0,1.0,1.0,1.0,1.0
,,="Counselors  Social Workers  and School Psychologists",="Certified",1.2,1.2,0.8,0.8,2.0
,,="General Education - Paraprofessional Instructional Assistants",="Non-Certified",9.0,5.0,2.0,2.0,2.7
,,="General Education - Teachers and Instructors",="Certified",21.6,20.6,20.6,18.0,20.0
,,="Library/Media - Support Staff",="Non-Certified",0.0,0.0,0.0,0.0,0.0
,,="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",8.6,8.0,8.4,9.5,9.5
,,="School Nurses",="Non-Certified",1.0,1.0,1.0,1.0,1.0
,,="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",8.0,9.5,8.0,6.0,7.0
,,="Special Education - Teachers and Instructors",="Certified",5.4,4.5,4.5,3.0,3.0
,,="Instructional Specialists Who Support Teachers",="Certified",2.9,2.4,2.4,2.9,2.0
,,="Library/Media - Specialists (Certified)",="Certified",1.0,1.0,1.0,1.0,1.0
,="Integrated Star Preschool Program",="General Education - Teachers and Instructors",="Certified",1.5,1.5,1.0,1.0,1.0
,,="Special Education - Teachers and Instructors",="Certified",2.0,2.0,2.0,2.0,2.0
,,="Instructional Specialists Who Support Teachers",="Certified",0.5,0.5,0.5,0.5,0.5
,="Mitchell Elementary School",="Administrators  Coordinators and Department Chairs - School Level",="Certified",1.0,1.0,1.0,1.0,2.0
,,="Counselors  Social Workers  and School Psychologists",="Certified",2.4,2.4,1.8,1.8,2.0
,,="General Education - Paraprofessional Instructional Assistants",="Non-Certified",3.0,5.0,3.0,2.5,3.9
,,="General Education - Teachers and Instructors",="Certified",22.9,27.9,26.9,24.5,21.3
,,="Library/Media - Support Staff",="Non-Certified",0.0,0.0,0.0,0.0,0.5
,,="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",10.7,10.0,9.3,10.2,10.4
,,="School Nurses",="Non-Certified",1.0,1.0,1.0,1.0,1.0
,,="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",4.5,8.5,14.0,11.0,10.0
,,="Special Education - Teachers and Instructors",="Certified",5.6,4.5,4.5,5.0,4.0
,,="Instructional Specialists Who Support Teachers",="Certified",2.9,1.4,1.4,1.9,2.0
,,="Library/Media - Specialists (Certified)",="Certified",1.0,1.0,1.0,.,.
,"Nonnewaug High School","Administrators  Coordinators and Department Chairs - School Level","Certified",2.6,4.0,4.2,4.7,2.4
,,="Counselors  Social Workers  and School Psychologists",="Certified",5.8,5.8,5.8,5.5,5.8
,,="General Education - Paraprofessional Instructional Assistants",="Non-Certified",4.6,3.0,2.7,2.7,2.0
,,="General Education - Teachers and Instructors",="Certified",49.8,51.2,48.8,49.1,55.7
,,="Library/Media - Support Staff",="Non-Certified",1.0,0.0,0.0,0.0,0.6
,,="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",21.6,21.7,20.9,20.9,21.0
,,="School Nurses",="Non-Certified",1.0,1.0,1.0,1.0,1.0
,,="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",6.0,5.0,8.0,9.0,8.0
,,="Special Education - Teachers and Instructors",="Certified",4.0,6.0,6.0,6.0,5.8
,,="Instructional Specialists Who Support Teachers",="Certified",0.5,0.7,0.7,1.7,1.0
,,="Library/Media - Specialists (Certified)",="Certified",1.0,1.0,1.0,1.0,1.0
,="Woodbury Middle School",="Administrators  Coordinators and Department Chairs - School Level",="Certified",2.2,2.2,2.2,3.2,1.0
,,="Counselors  Social Workers  and School Psychologists",="Certified",3.8,3.8,2.8,0.8,4.0
,,="General Education - Paraprofessional Instructional Assistants",="Non-Certified",1.4,1.0,1.3,1.3,1.0
,,="General Education - Teachers and Instructors",="Certified",31.8,29.8,27.8,28.8,27.3
,,="Library/Media - Support Staff",="Non-Certified",0.0,0.0,0.0,0.0,0.4
,,="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",13.4,13.1,13.1,14.4,13.3
,,="School Nurses",="Non-Certified",0.9,0.9,0.9,0.9,1.0
,,="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",5.0,5.5,7.5,9.0,8.5
,,="Special Education - Teachers and Instructors",="Certified",3.0,2.0,3.0,4.0,5.0
,,="Instructional Specialists Who Support Teachers",="Certified",1.7,1.5,1.5,1.5,2.7
,,="Library/Media - Specialists (Certified)",="Certified",1.0,1.0,1.0,1.0,1.0
="Regional School District 15",="Gainfield Elementary School",="Administrators  Coordinators and Department Chairs - School Level",="Certified",1.0,1.5,2.0,2.0,1.0
,,="Counselors  Social Workers  and School Psychologists",="Certified",2.0,1.0,2.0,2.0,2.0
,,="General Education - Paraprofessional Instructional Assistants",="Non-Certified",6.1,6.1,6.2,6.2,7.8
,,="General Education - Teachers and Instructors",="Certified",25.3,25.3,22.4,22.2,21.2
,,="Library/Media - Support Staff",="Non-Certified",1.0,1.0,1.0,1.0,1.0
,,="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",8.0,8.5,7.9,8.4,9.8
,,="School Nurses",="Non-Certified",1.0,1.0,1.0,1.0,1.0
,,="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",4.1,4.1,5.1,7.2,7.0
,,="Special Education - Teachers and Instructors",="Certified",4.0,4.0,3.0,4.0,5.0
,,="Instructional Specialists Who Support Teachers",="Certified",2.0,2.0,2.0,2.0,3.0
,,="Library/Media - Specialists (Certified)",="Certified",1.0,1.0,1.0,1.0,1.0
,="Long Meadow Elementary School",="Administrators  Coordinators and Department Chairs - School Level",="Certified",1.0,1.5,2.0,2.0,1.0
,,="Counselors  Social Workers  and School Psychologists",="Certified",2.0,2.0,2.0,2.0,2.0
,,="General Education - Paraprofessional Instructional Assistants",="Non-Certified",7.3,7.2,7.2,7.2,7.8
,,="General Education - Teachers and Instructors",="Certified",30.2,30.0,29.0,29.6,31.2
,,="Library/Media - Support Staff",="Non-Certified",1.0,1.0,1.0,1.0,1.0
,,="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",13.5,13.8,13.8,13.6,13.8
,,="School Nurses",="Non-Certified",2.3,2.3,2.3,2.3,1.8
,,="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",11.2,12.9,12.2,11.8,15.1
,,="Special Education - Teachers and Instructors",="Certified",9.0,9.0,9.5,8.0,7.0
,,="Instructional Specialists Who Support Teachers",="Certified",4.2,4.2,4.5,4.5,4.0
,,="Library/Media - Specialists (Certified)",="Certified",1.0,1.0,1.0,1.0,1.0
,="Memorial Middle School",="Administrators  Coordinators and Department Chairs - School Level",="Certified",2.0,1.0,3.0,3.0,2.0
,,="Counselors  Social Workers  and School Psychologists",="Certified",3.0,3.0,3.0,3.0,4.0
,,="General Education - Paraprofessional Instructional Assistants",="Non-Certified",3.4,3.4,3.4,3.4,3.3
,,="General Education - Teachers and Instructors",="Certified",33.3,33.5,33.5,32.5,32.5
,,="Library/Media - Support Staff",="Non-Certified",0.0,0.0,0.0,0.0,0.0
,,="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",12.7,12.2,12.2,12.0,11.4
,,="School Nurses",="Non-Certified",1.0,1.0,1.0,1.0,1.0
,,="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",7.1,6.1,4.0,4.0,4.0
,,="Special Education - Teachers and Instructors",="Certified",4.8,4.8,4.0,4.0,4.0
,,="Instructional Specialists Who Support Teachers",="Certified",2.0,2.0,2.0,2.0,2.0
,,="Library/Media - Specialists (Certified)",="Certified",1.0,1.0,1.0,1.0,1.0
,="Middlebury Elementary School",="Administrators  Coordinators and Department Chairs - School Level",="Certified",1.0,1.5,2.0,2.0,1.0
,,="Counselors  Social Workers  and School Psychologists",="Certified",2.0,3.0,2.0,2.0,2.0
,,="General Education - Paraprofessional Instructional Assistants",="Non-Certified",5.5,5.4,6.0,6.5,6.6
,,="General Education - Teachers and Instructors",="Certified",24.9,25.4,25.7,24.4,22.8
,,="Library/Media - Support Staff",="Non-Certified",1.0,1.0,1.0,1.0,1.0
,,="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",9.7,8.5,8.3,8.7,8.6
,,="School Nurses",="Non-Certified",0.8,0.8,1.0,1.0,1.0
,,="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",6.2,9.4,8.1,5.7,5.0
,,="Special Education - Teachers and Instructors",="Certified",4.0,4.0,4.0,4.0,3.0
,,="Instructional Specialists Who Support Teachers",="Certified",2.0,2.0,2.0,2.0,2.0
,,="Library/Media - Specialists (Certified)",="Certified",1.0,1.0,1.0,1.0,1.0
,="Pomperaug Regional High School",="Administrators  Coordinators and Department Chairs - School Level",="Certified",6.6,7.4,8.8,8.8,9.0
,,="Counselors  Social Workers  and School Psychologists",="Certified",7.2,7.2,7.2,7.2,7.0
,,="General Education - Paraprofessional Instructional Assistants",="Non-Certified",2.7,2.7,2.7,1.7,1.7
,,="General Education - Teachers and Instructors",="Certified",87.6,86.9,88.0,85.9,80.5
,,="Library/Media - Support Staff",="Non-Certified",1.0,0.0,0.0,0.0,0.0
,,="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",33.5,35.4,38.8,40.4,40.7
,,="School Nurses",="Non-Certified",3.0,3.0,2.5,2.0,3.0
,,="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",14.1,15.8,15.2,14.7,15.1
,,="Special Education - Teachers and Instructors",="Certified",11.0,11.0,11.0,11.0,11.0
,,="Instructional Specialists Who Support Teachers",="Certified",1.0,1.0,1.0,1.0,1.0
,,="Library/Media - Specialists (Certified)",="Certified",1.0,1.0,2.0,2.0,2.0
,="Pomperaug School",="Administrators  Coordinators and Department Chairs - School Level",="Certified",1.0,1.5,2.0,2.0,1.0
,,="Counselors  Social Workers  and School Psychologists",="Certified",2.0,2.0,2.0,2.0,2.0
,,="General Education - Paraprofessional Instructional Assistants",="Non-Certified",7.5,6.9,6.9,7.3,6.8
,,="General Education - Teachers and Instructors",="Certified",27.3,27.3,26.3,24.2,22.2
,,="Library/Media - Support Staff",="Non-Certified",1.0,1.0,1.0,1.0,1.0
,,="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",10.7,10.8,10.8,11.4,9.4
,,="School Nurses",="Non-Certified",2.0,2.0,2.5,3.0,2.0
,,="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",15.2,15.8,13.2,12.1,0.0
,,="Special Education - Teachers and Instructors",="Certified",6.0,6.0,6.0,5.0,5.0
,,="Instructional Specialists Who Support Teachers",="Certified",2.1,2.1,2.8,2.8,3.8
,,="Library/Media - Specialists (Certified)",="Certified",1.0,1.0,1.0,1.0,1.0
,="Rochambeau Middle School",="Administrators  Coordinators and Department Chairs - School Level",="Certified",2.0,2.0,3.0,3.0,2.0
,,="Counselors  Social Workers  and School Psychologists",="Certified",3.0,3.0,3.0,3.0,3.0
,,="General Education - Paraprofessional Instructional Assistants",="Non-Certified",4.5,5.0,4.5,4.5,4.4
,,="General Education - Teachers and Instructors",="Certified",36.4,36.4,36.4,35.1,36.1
,,="Library/Media - Support Staff",="Non-Certified",0.0,0.0,0.0,0.0,0.0
,,="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",12.3,11.8,11.4,11.8,11.9
,,="School Nurses",="Non-Certified",1.0,1.0,1.0,1.0,1.0
,,="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",8.0,8.0,8.0,8.0,9.0
,,="Special Education - Teachers and Instructors",="Certified",5.0,5.0,5.0,4.0,5.0
,,="Instructional Specialists Who Support Teachers",="Certified",2.0,2.0,2.0,2.0,3.0
,,="Library/Media - Specialists (Certified)",="Certified",1.0,1.0,1.0,1.0,1.0
,="MIJ Program",="General Education - Teachers and Instructors",="Certified",.,.,.,.,0.4
="Regional School District 16",="Algonquin School",="Administrators  Coordinators and Department Chairs - School Level",="Certified",1.6,1.3,1.0,1.0,1.0
,,="Counselors  Social Workers  and School Psychologists",="Certified",2.0,3.0,2.0,2.0,2.0
,,="General Education - Paraprofessional Instructional Assistants",="Non-Certified",1.0,1.5,5.8,0.7,0.3
,,="General Education - Teachers and Instructors",="Certified",24.0,23.5,24.0,23.0,22.5
,,="Library/Media - Support Staff",="Non-Certified",1.0,1.0,1.5,1.2,1.2
,,="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",9.1,12.9,13.3,9.5,10.4
,,="School Nurses",="Non-Certified",1.0,1.0,1.0,1.0,1.0
,,="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",11.1,11.0,9.0,8.5,11.4
,,="Special Education - Teachers and Instructors",="Certified",5.0,4.0,4.0,3.0,3.0
,,="Instructional Specialists Who Support Teachers",="Certified",3.0,2.7,2.7,2.2,2.2
,="Community School",="Administrators  Coordinators and Department Chairs - School Level",="Certified",1.6,1.3,1.0,1.0,1.0
,,="Counselors  Social Workers  and School Psychologists",="Certified",1.6,1.7,1.4,1.0,1.0
,,="General Education - Paraprofessional Instructional Assistants",="Non-Certified",0.0,5.0,1.0,0.2,0.0
,,="General Education - Teachers and Instructors",="Certified",15.6,15.4,14.4,12.9,12.8
,,="Library/Media - Support Staff",="Non-Certified",1.0,1.0,1.0,0.8,0.8
,,="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",9.2,9.6,9.8,7.3,7.6
,,="School Nurses",="Non-Certified",1.0,1.0,1.0,1.0,1.0
,,="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",3.5,2.5,2.0,3.6,4.4
,,="Special Education - Teachers and Instructors",="Certified",1.0,1.0,1.0,1.6,1.0
,,="Instructional Specialists Who Support Teachers",="Certified",0.5,0.3,0.3,0.8,0.8
,="Laurel Ledge School",="Administrators  Coordinators and Department Chairs - School Level",="Certified",1.8,1.4,1.0,1.0,1.0
,,="Counselors  Social Workers  and School Psychologists",="Certified",2.0,2.0,2.0,2.0,2.0
,,="General Education - Paraprofessional Instructional Assistants",="Non-Certified",1.0,0.5,1.0,0.4,0.0
,,="General Education - Teachers and Instructors",="Certified",27.9,28.6,28.1,23.6,26.0
,,="Library/Media - Support Staff",="Non-Certified",1.3,1.4,2.0,1.3,1.3
,,="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",12.3,11.6,13.5,11.8,12.4
,,="School Nurses",="Non-Certified",1.0,1.0,1.0,1.0,1.0
,,="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",12.2,12.5,11.0,6.9,6.4
,,="Special Education - Teachers and Instructors",="Certified",4.0,4.0,4.0,3.4,3.0
,,="Instructional Specialists Who Support Teachers",="Certified",1.5,1.5,1.0,2.2,1.0
,="Long River Middle School",="Administrators  Coordinators and Department Chairs - School Level",="Certified",2.0,2.0,2.0,1.0,2.0
,,="Counselors  Social Workers  and School Psychologists",="Certified",4.8,5.7,4.6,4.6,4.6
,,="General Education - Paraprofessional Instructional Assistants",="Non-Certified",3.0,1.0,3.5,0.8,0.8
,,="General Education - Teachers and Instructors",="Certified",39.0,39.0,38.0,33.5,36.1
,,="Library/Media - Support Staff",="Non-Certified",1.5,1.5,1.3,1.3,0.0
,,="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",365.7,22.2,16.5,14.9,13.0
,,="School Nurses",="Non-Certified",1.5,1.0,1.0,0.9,1.0
,,="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",10.3,10.0,4.5,8.0,8.6
,,="Special Education - Teachers and Instructors",="Certified",4.0,4.0,4.0,4.0,5.0
,,="Instructional Specialists Who Support Teachers",="Certified",1.5,1.6,1.6,1.5,1.7
,,="Library/Media - Specialists (Certified)",="Certified",.,.,.,.,1.0
,="Woodland Regional High School",="Administrators  Coordinators and Department Chairs - School Level",="Certified",6.4,6.8,7.0,7.0,6.6
,,="Counselors  Social Workers  and School Psychologists",="Certified",7.2,5.7,6.1,6.6,6.6
,,="General Education - Paraprofessional Instructional Assistants",="Non-Certified",1.0,1.0,0.0,0.0,0.2
,,="General Education - Teachers and Instructors",="Certified",57.6,55.1,54.9,51.3,51.0
,,="Library/Media - Support Staff",="Non-Certified",2.0,1.0,1.0,0.8,0.8
,,="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",30.3,28.8,27.5,24.3,21.4
,,="School Nurses",="Non-Certified",1.0,1.0,1.0,0.9,1.0
,,="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",13.1,12.5,11.3,8.6,8.6
,,="Special Education - Teachers and Instructors",="Certified",4.8,4.8,4.6,3.6,4.3
,,="Instructional Specialists Who Support Teachers",="Certified",1.1,1.4,1.4,1.3,1.3
,,="Library/Media - Specialists (Certified)",="Certified",1.0,1.0,1.0,1.0,1.0
="Regional School District 17",="Burr District Elementary School",="Administrators  Coordinators and Department Chairs - School Level",="Certified",1.3,1.3,1.0,1.0,1.0
,,="Counselors  Social Workers  and School Psychologists",="Certified",1.0,0.9,0.2,1.4,1.4
,,="General Education - Paraprofessional Instructional Assistants",="Non-Certified",5.8,302.8,6.4,6.9,5.2
,,="General Education - Teachers and Instructors",="Certified",21.1,21.0,18.6,20.6,23.5
,,="Library/Media - Support Staff",="Non-Certified",1.5,1.5,1.5,0.5,1.0
,,="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",7.5,7.5,7.5,7.5,7.0
,,="School Nurses",="Non-Certified",1.0,1.0,1.0,1.0,1.0
,,="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",3.5,6.5,7.9,12.0,13.2
,,="Special Education - Teachers and Instructors",="Certified",3.0,3.5,3.3,5.0,5.0
,,="Instructional Specialists Who Support Teachers",="Certified",1.0,1.0,1.0,2.0,2.0
,,="Library/Media - Specialists (Certified)",="Certified",.,.,.,0.6,0.6
,="Haddam Elementary School",="Administrators  Coordinators and Department Chairs - School Level",="Certified",1.3,1.3,.,1.0,1.0
,,="Counselors  Social Workers  and School Psychologists",="Certified",1.2,0.9,0.9,1.3,0.3
,,="General Education - Paraprofessional Instructional Assistants",="Non-Certified",3.0,3.0,2.0,2.5,5.0
,,="General Education - Teachers and Instructors",="Certified",20.2,21.2,21.2,20.2,19.6
,,="Library/Media - Support Staff",="Non-Certified",2.0,2.0,2.0,1.0,1.0
,,="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",6.5,6.5,6.5,6.5,6.5
,,="School Nurses",="Non-Certified",1.0,1.0,1.0,1.0,1.0
,,="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",4.9,4.9,2.9,4.9,3.9
,,="Special Education - Teachers and Instructors",="Certified",1.5,2.5,2.3,2.0,2.0
,,="Instructional Specialists Who Support Teachers",="Certified",0.6,0.6,0.6,1.4,1.4
,,="Library/Media - Specialists (Certified)",="Certified",.,.,.,0.6,0.6
,="Haddam-Killingworth High School",="Administrators  Coordinators and Department Chairs - School Level",="Certified",3.0,3.0,2.0,3.0,3.0
,,="Counselors  Social Workers  and School Psychologists",="Certified",6.0,5.0,5.0,5.0,5.0
,,="General Education - Paraprofessional Instructional Assistants",="Non-Certified",0.0,0.0,0.0,0.0,0.0
,,="General Education - Teachers and Instructors",="Certified",49.8,47.4,47.8,48.8,47.8
,,="Library/Media - Support Staff",="Non-Certified",1.0,1.0,1.0,1.0,1.0
,,="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",25.0,27.2,27.2,27.2,26.2
,,="School Nurses",="Non-Certified",1.0,1.0,1.0,1.0,1.0
,,="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",7.0,10.0,10.0,8.0,9.0
,,="Special Education - Teachers and Instructors",="Certified",7.0,7.2,6.0,7.0,7.0
,,="Instructional Specialists Who Support Teachers",="Certified",0.2,0.2,0.2,0.2,0.2
,,="Library/Media - Specialists (Certified)",="Certified",1.0,1.0,1.0,1.0,1.0
,="Haddam-Killingworth Middle School",="Administrators  Coordinators and Department Chairs - School Level",="Certified",3.0,3.0,2.0,2.0,1.0
,,="Counselors  Social Workers  and School Psychologists",="Certified",4.3,5.3,4.5,4.3,6.0
,,="General Education - Paraprofessional Instructional Assistants",="Non-Certified",0.0,0.0,2.0,1.7,1.0
,,="General Education - Teachers and Instructors",="Certified",51.5,47.5,49.0,53.1,50.9
,,="Library/Media - Support Staff",="Non-Certified",1.0,1.0,1.0,1.0,1.0
,,="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",17.5,17.5,17.5,18.5,18.5
,,="School Nurses",="Non-Certified",1.0,1.0,1.0,1.0,1.0
,,="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",13.0,13.0,12.0,13.0,10.0
,,="Special Education - Teachers and Instructors",="Certified",9.0,9.2,6.0,8.0,8.0
,,="Instructional Specialists Who Support Teachers",="Certified",0.7,0.7,0.7,0.6,1.6
,,="Library/Media - Specialists (Certified)",="Certified",1.0,1.0,1.0,1.0,1.0
,="Killingworth Elementary School",="Administrators  Coordinators and Department Chairs - School Level",="Certified",1.3,1.3,.,1.0,1.0
,,="Counselors  Social Workers  and School Psychologists",="Certified",1.4,1.0,2.0,1.3,1.3
,,="General Education - Paraprofessional Instructional Assistants",="Non-Certified",7.5,6.5,4.5,4.0,4.0
,,="General Education - Teachers and Instructors",="Certified",29.6,28.1,25.8,25.4,23.4
,,="Library/Media - Support Staff",="Non-Certified",2.5,2.5,2.5,1.0,1.0
,,="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",8.0,6.0,8.0,8.0,8.0
,,="School Nurses",="Non-Certified",1.0,1.0,1.0,1.0,1.0
,,="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",5.8,4.0,6.0,5.0,6.0
,,="Special Education - Teachers and Instructors",="Certified",3.0,2.2,2.0,2.0,2.0
,,="Instructional Specialists Who Support Teachers",="Certified",1.0,1.0,1.0,0.8,1.8
,,="Library/Media - Specialists (Certified)",="Certified",.,.,.,0.8,0.8
="Regional School District 18",="Center School",="Administrators  Coordinators and Department Chairs - School Level",="Certified",1.0,1.0,1.0,1.3,0.5
,,="Counselors  Social Workers  and School Psychologists",="Certified",1.0,1.0,1.0,0.6,0.6
,,="General Education - Paraprofessional Instructional Assistants",="Non-Certified",2.0,2.0,2.0,0.5,4.8
,,="General Education - Teachers and Instructors",="Certified",18.6,18.5,18.3,11.9,5.6
,,="Library/Media - Support Staff",="Non-Certified",0.0,0.0,0.0,0.0,0.0
,,="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",6.7,6.7,6.7,6.5,6.6
,,="School Nurses",="Non-Certified",1.0,1.0,1.0,1.0,1.0
,,="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",6.4,6.4,8.8,7.2,4.8
,,="Special Education - Teachers and Instructors",="Certified",3.0,4.0,3.8,3.0,5.1
,,="Instructional Specialists Who Support Teachers",="Certified",1.0,1.0,1.2,1.2,1.7
,,="Library/Media - Specialists (Certified)",="Certified",1.0,0.8,0.8,0.7,0.2
,="Lyme Consolidated School",="Administrators  Coordinators and Department Chairs - School Level",="Certified",1.0,1.0,1.0,1.8,1.0
,,="Counselors  Social Workers  and School Psychologists",="Certified",0.8,0.8,0.8,1.0,1.0
,,="General Education - Paraprofessional Instructional Assistants",="Non-Certified",2.0,2.0,2.0,2.0,.
,,"General Education - Teachers and Instructors","Certified",10.1,11.2,14.6,15.0,14.7
,,="Library/Media - Support Staff",="Non-Certified",0.0,0.0,0.0,0.0,.
,,"Other Staff Providing Non-Instructional Services/Support","Certified/Non-Certified",6.7,6.7,6.7,6.5,.
,,"School Nurses","Non-Certified",1.0,1.0,1.0,1.0,.
,,"Special Education - Paraprofessional Instructional Assistants","Non-Certified",6.4,6.4,8.0,8.8,.
,,"Special Education - Teachers and Instructors","Certified",3.0,3.0,3.0,3.0,3.1
,,="Instructional Specialists Who Support Teachers",="Certified",0.6,0.6,1.1,1.6,2.4
,,="Library/Media - Specialists (Certified)",="Certified",1.0,0.4,0.5,0.7,0.8
,="Lyme-Old Lyme High School",="Administrators  Coordinators and Department Chairs - School Level",="Certified",2.4,2.4,2.4,2.5,2.5
,,="Counselors  Social Workers  and School Psychologists",="Certified",4.0,4.0,4.0,4.0,4.0
,,="General Education - Paraprofessional Instructional Assistants",="Non-Certified",1.6,1.6,1.6,0.8,1.6
,,="General Education - Teachers and Instructors",="Certified",37.0,36.0,35.8,36.0,37.5
,,="Library/Media - Support Staff",="Non-Certified",0.8,0.8,0.8,0.8,0.8
