"Overall Expenditures, Trend"
"All Districts"

"",,"Year",,,,
,="Transportation",4773670,5000024,5185002,4631885,4739824
,="Students Tuitioned Out",3283607,2565974,3655705,3634813,4118831
,="Other",881463,619527,919307,1230793,1343213
,="Total Expenditures",81909043,81807444,84551486,86315518,88494184
="Rocky Hill School District",="Instructional Staff and Services",20350226,20712070,20853068,21657679,23128239
,="Instructional Supplies and Equipment",594057,505176,506707,631165,703427
,="Instruction and Educational Media Services",2026774,1931980,2220797,2682394,2370215
,="Student Support Services",2085210,2316479,2268920,2368699,2380518
,="Administration and Support Services",2617869,2634852,2712005,2790509,2979221
,="Plant Operation and Maintenance",3932565,3805641,4012867,4827716,4721072
,="Transportation",1375344,1448186,1540765,1625091,1549041
,="Students Tuitioned Out",1308116,1430847,1580403,1479299,1600881
,="Other",0,0,0,0,0
,="Total Expenditures",34290161,34785231,35695532,38062552,39432614
="Salem School District",="Instructional Staff and Services",4341701,3842000,4055177,3963628,3000813
,="Instructional Supplies and Equipment",278143,434417,187056,202043,43150
,="Instruction and Educational Media Services",35319,44846,40104,23428,95692
,="Student Support Services",139990,186708,161326,130610,990660
,="Administration and Support Services",1115368,1068955,1017685,1117819,978371
,="Plant Operation and Maintenance",788538,824995,827580,2154445,1363571
,="Transportation",732388,743420,843485,915978,849027
,="Students Tuitioned Out",490604,600525,784398,896581,1221242
,="Other",0,0,77,28,88
,="Total Expenditures",7922051,7745866,7916888,9404560,8542614
="Salisbury School District",="Instructional Staff and Services",3727812,3687346,3754383,3695770,3874717
,="Instructional Supplies and Equipment",85818,75037,63803,117630,81892
,="Instruction and Educational Media Services",213221,164602,164695,222208,196504
,="Student Support Services",234950,297782,299939,289430,203299
,="Administration and Support Services",526697,556701,579433,553626,590930
,="Plant Operation and Maintenance",927447,908623,714344,872654,975900
,="Transportation",436380,443294,457973,462707,493243
,="Students Tuitioned Out",11960,28885,67402,30546,2050
,="Other",0,3025,2140,1599,7287
,="Total Expenditures",6164285,6165295,6104112,6246170,6425822
="Scotland School District",="Instructional Staff and Services",1523363,1468158,1475339,1499426,1477899
,="Instructional Supplies and Equipment",73619,118980,55753,62834,46616
,="Instruction and Educational Media Services",62691,55474,40681,128644,108135
,="Student Support Services",170530,164958,147350,169725,170455
,="Administration and Support Services",290236,314546,377980,346385,369847
,="Plant Operation and Maintenance",220416,200419,292006,294189,353867
,="Transportation",158819,163727,169209,176775,164250
,="Students Tuitioned Out",0,0,0,20250,80010
,="Other",31596,28945,24006,20434,20032
,="Total Expenditures",2531270,2515207,2582324,2718662,2791111
="Seymour School District",="Instructional Staff and Services",16355311,16585366,16838210,17285607,17736420
,="Instructional Supplies and Equipment",519037,701803,725914,750515,371996
,="Instruction and Educational Media Services",731580,892376,970670,785933,927339
,="Student Support Services",1940162,2075886,2159229,2247845,2327539
,="Administration and Support Services",4222349,4431922,4502846,4277869,4324714
,="Plant Operation and Maintenance",3966947,3906018,3265878,3564721,3786444
,="Transportation",1351220,1504132,1568138,1799767,1935525
,="Students Tuitioned Out",918320,1194095,1354639,1790020,2145886
,="Other",357787,426555,450640,432948,482554
,="Total Expenditures",30362713,31718153,31836164,32935225,34038417
="Sharon School District",="Instructional Staff and Services",2550358,2579982,2515921,2524927,2726823
,="Instructional Supplies and Equipment",89708,72556,74521,93192,95932
,="Instruction and Educational Media Services",54209,90139,81269,93027,85821
,="Student Support Services",330764,337561,355221,339749,300498
,="Administration and Support Services",550754,571033,571740,640175,674894
,="Plant Operation and Maintenance",550493,475631,634816,693326,568125
,="Transportation",293691,329273,336865,352294,364491
,="Students Tuitioned Out",0,325,0,25985,11619
,="Other",12500,12500,21341,23648,43840
,="Total Expenditures",4432477,4469000,4591694,4786323,4872043
="Shelton School District",="Instructional Staff and Services",37262057,37544851,39240777,42704128,42901771
,="Instructional Supplies and Equipment",1509921,1203069,1041382,849623,1712752
,="Instruction and Educational Media Services",2118183,1701315,1099946,1373349,1475150
,="Student Support Services",5652976,5802932,4430628,2141703,2724005
,="Administration and Support Services",6847531,6855011,7236486,7093334,7300421
,="Plant Operation and Maintenance",7131850,7338548,7977249,7939140,7889306
,="Transportation",3748531,4388339,4224069,4373408,3788176
,="Students Tuitioned Out",2184376,2154606,2111685,2177662,2314611
,="Other",413454,537400,774339,737972,746088
,="Total Expenditures",66868879,67526071,68136561,69390319,70852280
="Sherman School District",="Instructional Staff and Services",4368511,4356976,4418478,4296872,4375326
,="Instructional Supplies and Equipment",153055,37697,86413,92851,123868
,="Instruction and Educational Media Services",285145,267750,273863,361519,413136
,="Student Support Services",53172,52261,53476,53435,54599
,="Administration and Support Services",564525,568581,579356,596464,576696
,="Plant Operation and Maintenance",539939,544405,508360,641203,657871
,="Transportation",432219,446637,459096,481505,514811
,="Students Tuitioned Out",208527,255720,261020,285457,355103
,="Other",37979,39631,38806,40146,45640
,="Total Expenditures",6643072,6569658,6678868,6849452,7117050
="Side By Side Charter School District",="Instructional Staff and Services",1513672,1518223,1574948,1572555,1525600
,="Instructional Supplies and Equipment",25017,103658,40674,60175,83172
,="Instruction and Educational Media Services",6862,10827,13210,11972,4818
,="Student Support Services",350215,389524,382213,340100,281933
,="Administration and Support Services",400962,430269,455394,575220,588743
,="Plant Operation and Maintenance",275626,267099,268767,284346,311944
,="Transportation",0,0,0,0,0
,="Students Tuitioned Out",N/A,N/A,N/A,N/A,N/A
,"Other",0,0,0,0,0
,="Total Expenditures",2572354,2719600,2735206,2844368,2796210
="Simsbury School District",="Instructional Staff and Services",37784386,39110333,39046424,40201535,39569080
,="Instructional Supplies and Equipment",1149421,1046282,912213,823973,925253
,="Instruction and Educational Media Services",3952277,3597449,4111089,3983598,3900417
,="Student Support Services",4706269,4309406,4575149,4630492,5028114
,="Administration and Support Services",5255441,5533937,5678844,5793092,5919193
,="Plant Operation and Maintenance",6741595,6956176,6713961,7094781,7217177
,="Transportation",2342136,2694190,2583933,2796432,2808444
,="Students Tuitioned Out",1975368,2277330,2197378,2846055,2674759
,="Other",692118,582112,742244,718060,758747
,="Total Expenditures",64599011,66107215,66561235,68888018,68801184
="Somers School District",="Instructional Staff and Services",12550640,12293218,12125872,12616796,12771742
,="Instructional Supplies and Equipment",370413,416605,554807,465117,489007
,="Instruction and Educational Media Services",440116,458475,474356,478968,482981
,="Student Support Services",1275238,1258037,1338807,1321352,1448317
,="Administration and Support Services",1978453,1996162,1973207,2037295,1988914
,="Plant Operation and Maintenance",1819028,1978490,2034323,2166865,2367489
,="Transportation",1079209,1073600,1033428,1075665,1020911
,="Students Tuitioned Out",1045791,1083470,1067104,1114802,999245
,="Other",264113,274230,294490,279373,303187
,="Total Expenditures",20823001,20832287,20896394,21556233,21871793
="South Windsor School District",="Instructional Staff and Services",37079452,37553423,36791497,38705597,39383509
,="Instructional Supplies and Equipment",1555106,1517630,1577556,2179527,1622987
,="Instruction and Educational Media Services",2201148,2680096,2790112,2728053,2826640
,="Student Support Services",4613579,4778301,4844473,5076484,5268066
,="Administration and Support Services",6598429,6860078,6663341,6972422,7378908
,="Plant Operation and Maintenance",6425581,6342693,6656986,6760820,6306263
,="Transportation",3307347,3262640,3236085,3352111,3421942
,="Students Tuitioned Out",3729522,3825344,4620926,4498176,4669379
,="Other",1135849,1572865,1842418,1791190,1796315
,="Total Expenditures",66646013,68393070,69023394,72064380,72674009
="Southington School District",="Instructional Staff and Services",51511767,51948463,52173147,53487675,55085249
,="Instructional Supplies and Equipment",1783891,1027050,1387558,1279768,1240980
,="Instruction and Educational Media Services",908313,937456,1363820,1455039,1379263
,="Student Support Services",5763405,6106261,6035446,6506542,6784333
,="Administration and Support Services",8888160,8777888,9424334,9606217,9848760
,="Plant Operation and Maintenance",7251589,7308193,7464927,7964414,8162797
,="Transportation",3472552,3729612,3787574,3786048,3895329
,="Students Tuitioned Out",4350472,4939424,5005358,5345157,5281420
,="Other",765149,789303,799755,864269,880310
,="Total Expenditures",84695298,85563650,87441919,90295129,92558441
="Sprague School District",="Instructional Staff and Services",3170863,2983752,2828959,3314828,3338694
,="Instructional Supplies and Equipment",202004,197910,215720,197421,155860
,="Instruction and Educational Media Services",51215,37004,56212,81776,28946
,="Student Support Services",214097,216277,202786,100423,99156
,="Administration and Support Services",719351,743455,772236,500852,550266
,="Plant Operation and Maintenance",476544,441760,463244,489755,409760
,="Transportation",419377,501137,454980,463283,485188
,="Students Tuitioned Out",356446,512703,390771,297968,347339
,="Other",24129,0,0,0,0
,="Total Expenditures",5634026,5633998,5384908,5446306,5415209
="Stafford School District",="Instructional Staff and Services",14686770,14950022,15178221,15873140,15320234
,="Instructional Supplies and Equipment",395636,381068,472128,473980,468482
,="Instruction and Educational Media Services",409256,618217,661749,1150879,562768
,="Student Support Services",1826048,1882906,1904589,1786890,1805390
,="Administration and Support Services",2670154,2766252,2942336,3090071,3191974
,="Plant Operation and Maintenance",2905275,2796530,2977097,3120478,3710904
,="Transportation",2060135,2122824,2318681,2141305,2184840
,="Students Tuitioned Out",1508199,1399903,1230812,1065967,1213491
,="Other",80112,70954,66320,87521,144222
,="Total Expenditures",26541585,26988676,27751933,28790231,28602305
="Stamford Academy District",="Instructional Staff and Services",1383170,1181948,1166490,974401,1050120
,="Instructional Supplies and Equipment",83996,24770,24517,10852,28319
,="Instruction and Educational Media Services",0,0,0,0,0
,="Student Support Services",619478,589144,539194,522728,466980
,="Administration and Support Services",960972,1107471,1258077,1261728,1270676
,="Plant Operation and Maintenance",166786,32744,31991,38911,34493
,="Transportation",64887,36945,72285,64724,59106
,="Students Tuitioned Out",N/A,N/A,N/A,N/A,N/A
,"Other",80044,77190,71248,86264,77015
,="Total Expenditures",3359333,3050212,3163802,2959608,2986709
="Stamford School District",="Instructional Staff and Services",143414649,148291943,149417591,157850660,158994460
,="Instructional Supplies and Equipment",4542448,3707215,4442981,4380930,2737579
,="Instruction and Educational Media Services",16318697,13722262,14846180,13620520,17241365
,="Student Support Services",16092023,16493423,16203386,16677708,16774748
,="Administration and Support Services",28915473,29541228,30994393,33350704,34391143
,="Plant Operation and Maintenance",22365831,21604459,22907649,24137287,24305629
,="Transportation",12023544,12685666,13000773,13069625,13947920
,="Students Tuitioned Out",10403204,11230982,11157260,12351201,14801344
,="Other",0,0,0,0,0
,="Total Expenditures",254075869,257277178,262970213,275438635,283194188
="Sterling School District",="Instructional Staff and Services",3712224,3748943,3872074,3759319,3186348
,="Instructional Supplies and Equipment",114627,196657,93735,50668,182893
,="Instruction and Educational Media Services",263708,190606,262984,212832,273575
,="Student Support Services",174216,171211,166177,174639,179956
,="Administration and Support Services",503378,535307,556052,597398,607922
,="Plant Operation and Maintenance",528274,506124,533515,485486,506042
,="Transportation",641602,591403,512015,660935,646281
,="Students Tuitioned Out",1473810,1455556,569843,786156,796309
,="Other",24250,30640,44517,29538,25140
,="Total Expenditures",7436089,7426447,6610912,6756971,6404466
="Stonington School District",="Instructional Staff and Services",18504495,18961108,19089501,19545603,19646769
,="Instructional Supplies and Equipment",345772,274592,255293,122143,190722
,="Instruction and Educational Media Services",1414919,1363038,1444924,1575742,1735793
,="Student Support Services",1923994,2039168,2025307,2186462,1974833
,="Administration and Support Services",2694033,2646078,3073566,3808987,4381898
,="Plant Operation and Maintenance",3894138,3702499,3745467,3600283,4019054
,="Transportation",2130732,2254998,2518067,2405434,2395573
,="Students Tuitioned Out",1906585,2256530,2384145,2280636,2348382
,="Other",428935,444841,444750,477191,462529
,="Total Expenditures",33243603,33942852,34981020,36002481,37155553
="Stratford School District",="Instructional Staff and Services",57032429,56106901,57305698,55918610,59385884
,="Instructional Supplies and Equipment",1477984,970199,851534,1051081,885138
,="Instruction and Educational Media Services",2994758,3082865,2475791,2858152,2750347
,="Student Support Services",9544498,9823374,9848633,10225186,10497077
,="Administration and Support Services",8826457,9128701,9431629,9848749,10197398
,="Plant Operation and Maintenance",8915566,9110858,8817678,9121805,9569077
,="Transportation",4502344,4817786,4753745,4819315,5072559
,="Students Tuitioned Out",5833471,6181509,6137939,6014338,6179785
,="Other",1433005,1560094,1585619,1605250,1748858
,="Total Expenditures",100560512,100782287,101208266,101462486,106286123
="Suffield School District",="Instructional Staff and Services",19797933,19523315,20956221,20191207,20879831
,="Instructional Supplies and Equipment",623711,617028,852305,1249934,872465
,="Instruction and Educational Media Services",224451,246596,275545,410848,443559
,="Student Support Services",1864272,2065851,2114929,2334344,2507592
,="Administration and Support Services",4035915,4300506,3352262,4026734,4327268
,="Plant Operation and Maintenance",2160511,2646746,2140394,2538546,2911461
,="Transportation",1204395,1530538,1424379,1531776,1416539
,="Students Tuitioned Out",1898173,1917020,1902364,1771012,1395132
,="Other",135207,18078,476439,497315,521104
,="Total Expenditures",31944568,32865678,33494838,34551716,35274951
="The Bridge Academy District",="Instructional Staff and Services",1921829,1969466,2039435,2168121,2281505
,="Instructional Supplies and Equipment",142941,68340,118979,181413,110601
,="Instruction and Educational Media Services",36085,20228,33304,38846,29340
,="Student Support Services",238423,238938,297596,309522,337878
,="Administration and Support Services",247081,312342,377976,368550,398495
,="Plant Operation and Maintenance",193149,241187,250846,246809,239899
,="Transportation",32101,12325,7660,2574,1644
,="Students Tuitioned Out",N/A,N/A,N/A,N/A,N/A
,"Other",119390,93813,115924,130741,148920
,="Total Expenditures",2930999,2956639,3241720,3446576,3548282
="Thomaston School District",="Instructional Staff and Services",8750677,8950588,8607784,8339452,7938584
,="Instructional Supplies and Equipment",283730,306804,373435,305453,256383
,="Instruction and Educational Media Services",23514,26981,23667,26037,29601
,="Student Support Services",606226,717325,789756,779473,901025
,="Administration and Support Services",1819456,1842447,1950804,1896825,2125848
,="Plant Operation and Maintenance",1633553,1557140,1472265,3360928,1725498
,="Transportation",1054875,987422,1058590,1055848,1139732
,="Students Tuitioned Out",954255,816890,1137325,1136141,1080410
,="Other",254485,299456,307223,197617,189810
,="Total Expenditures",15380771,15505053,15720849,17097774,15386891
="Thompson School District",="Instructional Staff and Services",8136351,8192928,8268744,8804201,8063231
,="Instructional Supplies and Equipment",221517,152254,140023,188717,168777
,="Instruction and Educational Media Services",205262,184911,179508,171323,290887
,="Student Support Services",1181867,1284229,1393769,1261217,1290374
,="Administration and Support Services",2505107,2433300,2417812,1754770,1874377
,="Plant Operation and Maintenance",2037532,1938107,1934639,2341717,2227450
,="Transportation",840809,1009001,1018163,968129,1038530
,="Students Tuitioned Out",1458284,1657793,1743606,1791882,2129003
,="Other",328351,302441,276310,48241,14892
,="Total Expenditures",16915080,17154964,17372574,17330197,17097521
="Tolland School District",="Instructional Staff and Services",21450768,21901139,21825917,21857142,22613912
,="Instructional Supplies and Equipment",344811,406094,447266,546957,596677
,="Instruction and Educational Media Services",1425152,1490154,1547504,1540746,1510920
,="Student Support Services",1483057,1504294,1552833,1465031,1481249
,="Administration and Support Services",3358379,3494127,3606384,3813920,3865637
,="Plant Operation and Maintenance",3469422,3245755,3374149,4177534,3601242
,="Transportation",2011473,2264817,2272658,2388401,2459697
,="Students Tuitioned Out",2481065,2845893,3113097,3110556,3348595
,="Other",26636,70383,108347,114972,126225
,="Total Expenditures",36050763,37222656,37848155,39015259,39604154
="Torrington School District",="Instructional Staff and Services",39415779,39798742,40234247,41673104,42142161
,="Instructional Supplies and Equipment",738813,613630,604546,1495040,534267
,="Instruction and Educational Media Services",1099768,1868003,2638582,1583032,1391746
,="Student Support Services",3560026,3584479,3797154,3963244,4785278
,="Administration and Support Services",5401428,5117514,5470759,6568840,7517497
,="Plant Operation and Maintenance",5846233,6032800,5951530,6250949,5851146
,="Transportation",4028023,4110388,3853945,4229766,4505085
,="Students Tuitioned Out",6352426,5788932,5735698,6470832,7053030
,="Other",492763,509656,519344,564958,623931
,="Total Expenditures",66935259,67424144,68805805,72799765,74404141
="Trailblazers Academy District",="Instructional Staff and Services",1502437,1584529,1488362,1357434,1164747
,="Instructional Supplies and Equipment",72497,18019,17411,36100,22992
,="Instruction and Educational Media Services",0,0,0,0,0
,="Student Support Services",463106,530269,498542,526528,490329
,="Administration and Support Services",1994573,1841572,1976566,1932936,2021353
,="Plant Operation and Maintenance",244398,181150,224613,354390,297351
,="Transportation",35405,13964,6299,4336,6668
,="Students Tuitioned Out",N/A,N/A,N/A,N/A,N/A
,"Other",115280,138494,132596,123306,103448
,="Total Expenditures",4427696,4307997,4344389,4335030,4106888
="Trumbull School District",="Instructional Staff and Services",53383511,52636023,55362773,57252834,59027980
,="Instructional Supplies and Equipment",801099,1540054,1663898,1174876,1510697
,="Instruction and Educational Media Services",2789042,3071507,3901431,4327895,4710345
,="Student Support Services",6496909,6990205,7378183,8310242,8074542
,="Administration and Support Services",10208313,10429503,10735474,11388692,11198627
,="Plant Operation and Maintenance",9156970,8977413,9089554,9201271,8111415
,="Transportation",4738206,4998886,4855990,5175951,5564459
,="Students Tuitioned Out",3237033,3752473,4014101,3604248,3476752
,="Other",777708,810903,1073741,423793,1218663
,="Total Expenditures",91588791,93206967,98075145,100859802,102893480
="Union School District",="Instructional Staff and Services",679069,632626,687750,757060,977687
,="Instructional Supplies and Equipment",44120,44427,27445,63377,62936
,="Instruction and Educational Media Services",2706,4371,5478,6204,19333
,="Student Support Services",63277,66297,50430,45063,39253
,="Administration and Support Services",208773,197992,244474,259773,258247
,="Plant Operation and Maintenance",134329,148128,140936,131703,138521
,="Transportation",194939,217541,148698,167522,169796
,="Students Tuitioned Out",55345,36190,32562,68971,27952
,="Other",0,0,0,0,0
,="Total Expenditures",1382558,1347572,1337773,1499673,1693725
="Vernon School District",="Instructional Staff and Services",29029959,28970267,29514184,31126475,31307291
,="Instructional Supplies and Equipment",1376090,601554,367169,546062,1005574
,="Instruction and Educational Media Services",2737706,2431929,2516977,2359883,2633597
,="Student Support Services",3302983,3334623,3608125,3517209,3401982
,="Administration and Support Services",4054333,4128401,4288027,4663387,5045363
,="Plant Operation and Maintenance",5600363,4573913,4337025,4851205,5069725
,="Transportation",2823785,2841329,2802951,2907359,3032148
,="Students Tuitioned Out",3043038,2735974,3483152,3271193,3153198
,="Other",552511,540757,540986,532209,530899
,="Total Expenditures",52520768,50158747,51458596,53774982,55179777
="Voluntown School District",="Instructional Staff and Services",2603415,2543967,2687106,2709111,2741744
,="Instructional Supplies and Equipment",99997,139676,103811,117930,109256
,="Instruction and Educational Media Services",76451,102307,76315,82682,133088
,="Student Support Services",463445,403603,520669,565081,538502
,="Administration and Support Services",620740,639028,616159,705134,700767
,="Plant Operation and Maintenance",403646,408279,408786,447854,414277
,="Transportation",366722,372037,414824,387035,389556
,="Students Tuitioned Out",475057,418909,392932,428220,515604
,="Other",43928,44656,44490,59439,60789
,="Total Expenditures",5153401,5072462,5265092,5502486,5603583
="Wallingford School District",="Instructional Staff and Services",51136538,53224134,52043982,53918190,55215886
,="Instructional Supplies and Equipment",593530,584596,3882649,1063340,624555
,="Instruction and Educational Media Services",2579853,2342546,2906171,3438494,3131581
,="Student Support Services",5835860,6004347,6012438,6013874,6003479
,="Administration and Support Services",11896191,11278035,13641046,12567160,13272818
,="Plant Operation and Maintenance",8628315,13051692,8316158,18442862,8994816
,="Transportation",5847369,6226905,6291382,6512715,6647223
,="Students Tuitioned Out",5540848,5510601,5083516,5336578,5476728
,="Other",1318826,1375259,1503347,1542901,1762610
,="Total Expenditures",93377330,99598115,99680689,108836114,101129696
="Waterbury School District",="Instructional Staff and Services",139967080,144115715,145929734,158193631,169833692
,="Instructional Supplies and Equipment",4268490,4284587,4253390,6963543,5002314
,="Instruction and Educational Media Services",35155263,32072142,29678902,24228974,20907086
,="Student Support Services",12334992,13411180,13585891,10424274,8691732
,="Administration and Support Services",23312881,22239927,23645400,24067357,24854463
,="Plant Operation and Maintenance",22276646,20884674,20815821,21436579,22259477
,="Transportation",11561236,11512229,11572023,12130687,13181661
,="Students Tuitioned Out",6134032,6382181,5856362,6016327,6268550
,="Other",8228076,9323033,9866877,9768069,10160661
,="Total Expenditures",263238696,264225668,265204400,273229441,281159636
="Waterford School District",="Instructional Staff and Services",25250287,26484299,27272532,27299171,27112264
,="Instructional Supplies and Equipment",1264677,1019991,844865,776052,933662
,="Instruction and Educational Media Services",511514,473411,463939,491311,536938
,="Student Support Services",2693162,2816898,2983386,2995522,3096009
,="Administration and Support Services",4101569,4205743,4425263,4469517,4484844
,="Plant Operation and Maintenance",4623211,4578686,4832286,4693251,4945320
,="Transportation",2573947,2455358,2583304,2515731,2518060
,="Students Tuitioned Out",2612927,2430912,2326035,2714313,2873643
,="Other",757094,824338,872229,885146,885568
,="Total Expenditures",44388388,45289636,46603839,46840014,47386308
="Watertown School District",="Instructional Staff and Services",21020616,22371245,23421396,21374872,22782234
,="Instructional Supplies and Equipment",506900,741468,351430,468140,400779
,="Instruction and Educational Media Services",419881,690663,664185,656172,738711
,="Student Support Services",2502235,2149391,1813073,2675009,2679164
,="Administration and Support Services",4362141,4880456,4883696,6355006,5067734
,="Plant Operation and Maintenance",4287413,4212279,4584251,5277539,5017161
,="Transportation",2146213,2308834,3121114,2564008,3108042
,="Students Tuitioned Out",1568756,1065211,1265228,973492,1606151
,="Other",457847,46649,7129,46973,0
,="Total Expenditures",37272002,38466196,40111502,40391211,41399976
="West Hartford School District",="Instructional Staff and Services",78624768,79204187,82378054,83075607,86195070
,="Instructional Supplies and Equipment",2239376,1716382,1727315,1732500,2510593
,="Instruction and Educational Media Services",6872227,7205649,7380386,7918810,6999327
,="Student Support Services",9095259,9248778,9556805,9791723,10271373
,="Administration and Support Services",15894880,16444869,16925637,17467245,18279660
,="Plant Operation and Maintenance",12215674,12791447,13359514,13425659,13667892
,="Transportation",6004751,6397331,6648724,7000077,7399747
,="Students Tuitioned Out",5425465,6321803,6731324,6324184,7161452
,="Other",1198870,1235280,1269725,1294217,1379546
,="Total Expenditures",137571270,140565726,145977484,148030022,153864660
="West Haven School District",="Instructional Staff and Services",50148184,47508182,48544409,48817697,49060089
,="Instructional Supplies and Equipment",1453057,1459088,1491002,1550930,1595250
,="Instruction and Educational Media Services",2694302,2371226,2560590,2516862,2611100
,="Student Support Services",4819639,3965576,4320641,4329337,4452071
,="Administration and Support Services",6843466,5660217,5882517,6075378,6250627
,="Plant Operation and Maintenance",15696998,14060883,14852906,15275625,15499756
,="Transportation",4622911,4623835,4749504,4958609,5244584
,="Students Tuitioned Out",6615376,7275244,7314542,7924459,9282170
,="Other",1629943,1632475,1656222,1694629,1730826
,="Total Expenditures",94523876,88556726,91372333,93143526,95726473
="Westbrook School District",="Instructional Staff and Services",8822688,9435111,10058327,9875645,10570862
,="Instructional Supplies and Equipment",538905,317357,519883,1120451,432807
,="Instruction and Educational Media Services",274603,306259,270802,329609,321461
,="Student Support Services",786556,514825,285336,285658,311142
,="Administration and Support Services",1490923,1417369,1553987,1526195,1622952
,="Plant Operation and Maintenance",1624154,1497146,1622847,1654219,1792607
,="Transportation",436269,616803,642538,719624,594742
,="Students Tuitioned Out",258746,404397,504098,707219,492523
,="Other",402976,403423,471539,572091,528882
,="Total Expenditures",14635820,14912690,15929357,16790711,16667978
="Weston School District",="Instructional Staff and Services",25697664,26436642,25952461,25653138,27642779
,="Instructional Supplies and Equipment",360301,429756,372340,425920,462753
,="Instruction and Educational Media Services",3634648,3602942,3881854,3849451,3349762
,="Student Support Services",2793214,3001732,3286124,3378221,3179952
,="Administration and Support Services",3695533,3653336,3768093,3761979,3879523
,="Plant Operation and Maintenance",5860693,5292124,5790180,6207412,5789512
,="Transportation",1786839,1750237,1700269,1752160,1765402
,="Students Tuitioned Out",1567725,1290835,1279746,1913969,2198357
,="Other",990547,1100353,1218227,1262135,1012305
,="Total Expenditures",46387164,46557957,47249294,48204385,49280345
="Westport School District",="Instructional Staff and Services",57532719,59751667,63279771,64273126,65667758
,="Instructional Supplies and Equipment",2617524,2819538,2830170,3455662,3670181
,="Instruction and Educational Media Services",4056765,3213548,3536931,3104572,3068704
,="Student Support Services",7493721,8379975,8797362,9774989,10239004
,="Administration and Support Services",10192085,10701604,10603718,10582318,11307290
,="Plant Operation and Maintenance",12496686,10331589,10434260,11656010,13345705
,="Transportation",4092611,4248033,4395969,4568048,4887355
,="Students Tuitioned Out",3344323,3293057,2851493,2826905,2751641
,="Other",1458531,1518737,1425276,1642045,1695931
,="Total Expenditures",103284965,104257748,108154950,111883675,116633569
="Wethersfield School District",="Instructional Staff and Services",31120554,30558862,26757024,28396328,32889332
,="Instructional Supplies and Equipment",691460,2183419,1500515,1525494,2024104
,="Instruction and Educational Media Services",1038099,1045755,1086837,1350610,1027751
,="Student Support Services",3174815,3193809,8654610,7927515,3679280
,="Administration and Support Services",4377017,4545201,4171637,4354067,4890584
,="Plant Operation and Maintenance",6607983,4680597,4936518,4859583,5847433
,="Transportation",2388184,2706301,2580063,2929095,2892412
,="Students Tuitioned Out",3640472,3694303,4307048,4667930,5319822
,="Other",640657,650936,647360,692972,542881
,="Total Expenditures",53679241,53259183,54641612,56703594,59113599
="Willington School District",="Instructional Staff and Services",4882849,4778034,4923212,5024140,4852821
,="Instructional Supplies and Equipment",108881,219586,231981,183670,125787
,="Instruction and Educational Media Services",249116,253097,272699,302844,283489
,="Student Support Services",429047,444438,432335,448941,461182
,="Administration and Support Services",1021125,999825,999746,1026230,1084529
,="Plant Operation and Maintenance",639880,658273,710449,765128,786665
,="Transportation",452861,489675,512708,558310,528941
,="Students Tuitioned Out",307134,231394,67276,131134,192721
,="Other",0,0,1200,1200,1200
,="Total Expenditures",8090893,8074322,8151606,8441597,8317335
="Wilton School District",="Instructional Staff and Services",41844713,44028740,44909648,45566873,47257696
,="Instructional Supplies and Equipment",906349,1177603,891306,864008,925049
,="Instruction and Educational Media Services",2967316,3155167,3098622,2944129,3087637
,="Student Support Services",6293711,6892368,7053150,7475190,8206854
,="Administration and Support Services",6874041,7271491,7633679,8072913,8278863
,="Plant Operation and Maintenance",6511679,6285124,6641566,6797132,6602153
,="Transportation",3370829,3711290,3446606,3521011,3879760
,="Students Tuitioned Out",2200688,2201604,2482078,3616982,3989650
,="Other",0,0,0,0,0
,="Total Expenditures",70969326,74723387,76156655,78858238,82227662
="Winchester School District",="Instructional Staff and Services",7632187,6687865,8190005,N/A,N/A
,"Instructional Supplies and Equipment",17583,55955,35834,N/A,N/A
,"Instruction and Educational Media Services",157969,238685,167962,N/A,N/A
,"Student Support Services",1456919,1424145,1323724,N/A,N/A
,"Administration and Support Services",1403184,1660833,1465940,N/A,N/A
,"Plant Operation and Maintenance",1070132,1021503,693223,N/A,N/A
,"Transportation",946857,1300534,1360287,N/A,N/A
,"Students Tuitioned Out",2083557,758046,931788,N/A,N/A
,"Other",3228,0,0,N/A,N/A
,"Total Expenditures",14771616,13147566,14168763,N/A,N/A
"Windham School District","Instructional Staff and Services",32348498,31245778,31079906,31965061,32500419
,="Instructional Supplies and Equipment",818166,1459058,932588,1584758,1406983
,="Instruction and Educational Media Services",837658,1333429,611898,1533164,1394504
,="Student Support Services",3180866,3308973,2988082,4439202,5123755
,="Administration and Support Services",3181476,5032496,5642789,6166932,5959574
,="Plant Operation and Maintenance",4273509,4203825,4018307,4416660,6892430
,="Transportation",2967833,2889107,2809743,2952779,3518275
,="Students Tuitioned Out",4375860,4675716,4796552,4254773,4904268
,="Other",553508,592038,594724,74153,87169
,="Total Expenditures",52537374,54740420,53474589,57387482,61787377
="Windsor Locks School District",="Instructional Staff and Services",16858719,16462449,17101157,17530171,18338580
,="Instructional Supplies and Equipment",457521,437120,469846,1170057,1183938
,="Instruction and Educational Media Services",1020308,1170707,1128058,1405955,1349529
,="Student Support Services",1753726,1623732,1669187,1605162,1880688
,="Administration and Support Services",2794802,2691623,2847964,3165785,3371724
,="Plant Operation and Maintenance",3543934,3258230,4366725,4003495,3641600
,="Transportation",1179663,1309599,1315193,1344345,1291234
