"Chronic Absenteeism, Trend"
"All Districts, All Schools, Free/Reduced Price Meal Eligibility"

"",,,,,"% Chronically Absent",,,,
"Shelton School District","=""1260011""","Life Skills","=""1260311""","Eligible For Free Lunch","N/A","N/A","N/A","N/A","*"
"Shelton School District","=""1260011""","Life Skills","=""1260311""","Not Eligible For Lunch","N/A","N/A","N/A","N/A","*"
"Shelton School District","=""1260011""","Long Hill School","=""1260811""","Eligible For Free Lunch","*","*","*",16.4,20.8
"Shelton School District","=""1260011""","Long Hill School","=""1260811""","Not Eligible For Lunch",4.8,7.4,9.3,"*","*"
"Shelton School District","=""1260011""","Long Hill School","=""1260811""","Eligible For Reduced Lunch","*","*","*","*","*"
"Shelton School District","=""1260011""","Perry Hill Elementary School","=""1261111""","Eligible For Free Lunch","*","*","*","*","*"
"Shelton School District","=""1260011""","Perry Hill Elementary School","=""1261111""","Not Eligible For Lunch",3.9,6.2,4.2,5.1,4.8
"Shelton School District","=""1260011""","Perry Hill Elementary School","=""1261111""","Eligible For Reduced Lunch","*","*","*","*","*"
"Shelton School District","=""1260011""","Shelton High School","=""1266111""","Eligible For Free Lunch",27.6,42.1,45.5,40.7,41.4
"Shelton School District","=""1260011""","Shelton High School","=""1266111""","Not Eligible For Lunch",9.2,21.1,18.9,17.3,23.2
"Shelton School District","=""1260011""","Shelton High School","=""1266111""","Eligible For Reduced Lunch",14.8,26.2,30.6,36.0,38.5
"Shelton School District","=""1260011""","Sunnyside School","=""1260611""","Eligible For Free Lunch","*","*","*","*","*"
"Shelton School District","=""1260011""","Sunnyside School","=""1260611""","Not Eligible For Lunch",4.5,"*","*","*","*"
"Shelton School District","=""1260011""","Sunnyside School","=""1260611""","Eligible For Reduced Lunch","*","*","*","*","*"
"Shelton School District","=""1260011""","Work Experience","=""1260711""","Eligible For Free Lunch","N/A","N/A","N/A","N/A","*"
"Shelton School District","=""1260011""","Work Experience","=""1260711""","Not Eligible For Lunch","N/A","N/A","N/A","N/A","*"
"Shelton School District","=""1260011""","Work Experience","=""1260711""","Eligible For Reduced Lunch","N/A","N/A","N/A","N/A","*"
"Sherman School District","=""1270011""","Sherman School","=""1270111""","Eligible For Free Lunch","*","*","*","*","*"
"Sherman School District","=""1270011""","Sherman School","=""1270111""","Not Eligible For Lunch",4.9,6.4,6.5,6.6,5.2
"Sherman School District","=""1270011""","Sherman School","=""1270111""","Eligible For Reduced Lunch","N/A","N/A","N/A","*","*"
"Side By Side Charter School District","=""2700013""","Side By Side Charter School","=""2700113""","Eligible For Free Lunch",9.6,"*","*","*","*"
"Side By Side Charter School District","=""2700013""","Side By Side Charter School","=""2700113""","Not Eligible For Lunch","*",7.2,5.9,10.4,"*"
"Side By Side Charter School District","=""2700013""","Side By Side Charter School","=""2700113""","Eligible For Reduced Lunch","*","*","*","*","*"
"Simsbury School District","=""1280011""","Central School","=""1280111""","Eligible For Free Lunch","*","*","*","*","*"
"Simsbury School District","=""1280011""","Central School","=""1280111""","Not Eligible For Lunch","*",6.4,5.7,"*","*"
"Simsbury School District","=""1280011""","Central School","=""1280111""","Eligible For Reduced Lunch","*","*","*","*","*"
"Simsbury School District","=""1280011""","Farmington Valley Transition Academy","=""1280211""","Not Eligible For Lunch","N/A","N/A","N/A","N/A",22.6
"Simsbury School District","=""1280011""","Henry James Memorial School","=""1285111""","Eligible For Free Lunch","*","*","*","*","*"
"Simsbury School District","=""1280011""","Henry James Memorial School","=""1285111""","Not Eligible For Lunch",7.9,4.9,4.4,3.4,4.2
"Simsbury School District","=""1280011""","Henry James Memorial School","=""1285111""","Eligible For Reduced Lunch","*","*","*","*","*"
"Simsbury School District","=""1280011""","Latimer Lane School","=""1280611""","Eligible For Free Lunch","*","*","*","*","*"
"Simsbury School District","=""1280011""","Latimer Lane School","=""1280611""","Not Eligible For Lunch",5.7,"*","*","*","*"
"Simsbury School District","=""1280011""","Latimer Lane School","=""1280611""","Eligible For Reduced Lunch","*","*","*","*","*"
"Simsbury School District","=""1280011""","Simsbury High School","=""1286111""","Eligible For Free Lunch","*","*","*","*","*"
"Simsbury School District","=""1280011""","Simsbury High School","=""1286111""","Not Eligible For Lunch",3.4,6.2,7.3,6.7,6.6
"Simsbury School District","=""1280011""","Simsbury High School","=""1286111""","Eligible For Reduced Lunch","*","*","*","*","*"
"Simsbury School District","=""1280011""","Squadron Line School","=""1280711""","Eligible For Free Lunch","*","*","*","*","*"
"Simsbury School District","=""1280011""","Squadron Line School","=""1280711""","Not Eligible For Lunch","*","*","*",3.6,1.4
"Simsbury School District","=""1280011""","Squadron Line School","=""1280711""","Eligible For Reduced Lunch","*","*","*","*","*"
"Simsbury School District","=""1280011""","Tariffville School","=""1280311""","Eligible For Free Lunch","*","*","*","*","*"
"Simsbury School District","=""1280011""","Tariffville School","=""1280311""","Not Eligible For Lunch","*","*","*",3.2,"*"
"Simsbury School District","=""1280011""","Tariffville School","=""1280311""","Eligible For Reduced Lunch","*","*","*","*","*"
"Simsbury School District","=""1280011""","Tootin' Hills School","=""1280411""","Eligible For Free Lunch","*","*","*","*","*"
"Simsbury School District","=""1280011""","Tootin' Hills School","=""1280411""","Not Eligible For Lunch","*",4.3,3.0,2.4,"*"
"Simsbury School District","=""1280011""","Tootin' Hills School","=""1280411""","Eligible For Reduced Lunch","*","*","*","*","*"
"Somers School District","=""1290011""","Aspire","=""1290511""","Not Eligible For Lunch","N/A","N/A","N/A","N/A","*"
"Somers School District","=""1290011""","Mabelle B. Avery Middle School","=""1295111""","Eligible For Free Lunch","*","*","*","*","*"
"Somers School District","=""1290011""","Mabelle B. Avery Middle School","=""1295111""","Not Eligible For Lunch",18.3,15.9,13.4,16.6,13.9
"Somers School District","=""1290011""","Mabelle B. Avery Middle School","=""1295111""","Eligible For Reduced Lunch","*","*","*","*","*"
"Somers School District","=""1290011""","Somers Elementary School","=""1290411""","Eligible For Free Lunch","*","*","*","*","*"
"Somers School District","=""1290011""","Somers Elementary School","=""1290411""","Not Eligible For Lunch",12.0,2.3,2.1,1.6,"*"
"Somers School District","=""1290011""","Somers Elementary School","=""1290411""","Eligible For Reduced Lunch","*","*","*","*","*"
"Somers School District","=""1290011""","Somers High School","=""1296111""","Eligible For Free Lunch","*","*","*","*","*"
"Somers School District","=""1290011""","Somers High School","=""1296111""","Not Eligible For Lunch",12.0,19.4,12.6,17.6,14.2
"Somers School District","=""1290011""","Somers High School","=""1296111""","Eligible For Reduced Lunch","*","*","*","*","*"
"South Windsor School District","=""1320011""","Pleasant Valley School","=""1320211""","Eligible For Free Lunch",39.6,"*","*",15.1,"*"
"South Windsor School District","=""1320011""","Pleasant Valley School","=""1320211""","Not Eligible For Lunch",18.5,5.3,2.1,"*","*"
"South Windsor School District","=""1320011""","Pleasant Valley School","=""1320211""","Eligible For Reduced Lunch","*","*","*","*","*"
"South Windsor School District","=""1320011""","Eli Terry School","=""1320711""","Eligible For Free Lunch","*","*","*","*","*"
"South Windsor School District","=""1320011""","Eli Terry School","=""1320711""","Not Eligible For Lunch",13.8,"*",3.5,"*","*"
"South Windsor School District","=""1320011""","Eli Terry School","=""1320711""","Eligible For Reduced Lunch","*","*","*","*","*"
"South Windsor School District","=""1320011""","Orchard Hill School","=""1320611""","Eligible For Free Lunch","*","*","*","*","*"
"South Windsor School District","=""1320011""","Orchard Hill School","=""1320611""","Not Eligible For Lunch",13.8,"*",5.5,4.6,3.7
"South Windsor School District","=""1320011""","Orchard Hill School","=""1320611""","Eligible For Reduced Lunch","*","*","*","*","*"
"South Windsor School District","=""1320011""","Philip R. Smith School","=""1320111""","Eligible For Free Lunch","*","*","*","*","*"
"South Windsor School District","=""1320011""","Philip R. Smith School","=""1320111""","Not Eligible For Lunch",24.5,2.7,1.8,3.1,"*"
"South Windsor School District","=""1320011""","Philip R. Smith School","=""1320111""","Eligible For Reduced Lunch","*","*","*","*","*"
"South Windsor School District","=""1320011""","Project Worth Young Adult Academy","=""1329011""","Eligible For Free Lunch","*","N/A","N/A","N/A","N/A"
"South Windsor School District","=""1320011""","Project Worth Young Adult Academy","=""1329011""","Not Eligible For Lunch","*","*","*","*","*"
"South Windsor School District","=""1320011""","South Windsor High School","=""1326211""","Eligible For Free Lunch","*","*","*","*","*"
"South Windsor School District","=""1320011""","South Windsor High School","=""1326211""","Not Eligible For Lunch","*",4.7,"*","*",4.3
"South Windsor School District","=""1320011""","South Windsor High School","=""1326211""","Eligible For Reduced Lunch",0.0,"*",0.0,0.0,"*"
"South Windsor School District","=""1320011""","Timothy Edwards School","=""1325111""","Eligible For Free Lunch","*","*","*",13.3,"*"
"South Windsor School District","=""1320011""","Timothy Edwards School","=""1325111""","Not Eligible For Lunch",20.1,5.2,3.7,2.6,1.6
"South Windsor School District","=""1320011""","Timothy Edwards School","=""1325111""","Eligible For Reduced Lunch","*","*","*",0.0,"*"
"South Windsor School District","=""1320011""","Wapping Elementary School","=""1320411""","Eligible For Free Lunch","*","*","*","*","*"
"South Windsor School District","=""1320011""","Wapping Elementary School","=""1320411""","Not Eligible For Lunch",11.1,3.5,4.7,3.5,2.6
"South Windsor School District","=""1320011""","Wapping Elementary School","=""1320411""","Eligible For Reduced Lunch","*","*","*","*","*"
"Southington School District","=""1310011""","John F. Kennedy Middle School","=""1315311""","Eligible For Free Lunch",28.4,20.8,26.7,"*",18.5
"Southington School District","=""1310011""","John F. Kennedy Middle School","=""1315311""","Not Eligible For Lunch",5.3,5.6,4.9,2.9,4.2
"Southington School District","=""1310011""","John F. Kennedy Middle School","=""1315311""","Eligible For Reduced Lunch","*","*","*","*","*"
"Southington School District","=""1310011""","Achieve","=""1311711""","Eligible For Free Lunch","N/A","N/A","N/A","*","*"
"Southington School District","=""1310011""","Achieve","=""1311711""","Not Eligible For Lunch","N/A","N/A","N/A","*","*"
"Southington School District","=""1310011""","Alta","=""1310111""","Eligible For Free Lunch","N/A","N/A","N/A",77.3,"*"
"Southington School District","=""1310011""","Alta","=""1310111""","Not Eligible For Lunch","N/A","N/A","N/A","*",69.0
"Southington School District","=""1310011""","Alta","=""1310111""","Eligible For Reduced Lunch","N/A","N/A","N/A","*","*"
"Southington School District","=""1310011""","Derynoski Elementary School","=""1311511""","Eligible For Free Lunch",15.9,18.8,20.5,14.3,"*"
"Southington School District","=""1310011""","Derynoski Elementary School","=""1311511""","Not Eligible For Lunch","*","*","*","*",2.2
"Southington School District","=""1310011""","Derynoski Elementary School","=""1311511""","Eligible For Reduced Lunch","*","*","*","*","*"
"Southington School District","=""1310011""","EASE","=""1310511""","Eligible For Free Lunch","N/A","N/A","N/A","*","*"
"Southington School District","=""1310011""","EASE","=""1310511""","Not Eligible For Lunch","N/A","N/A","N/A","*","*"
"Southington School District","=""1310011""","EASE","=""1310511""","Eligible For Reduced Lunch","N/A","N/A","N/A","N/A","*"
"Southington School District","=""1310011""","Flanders Elementary School","=""1311311""","Eligible For Free Lunch","*","*","*","*","*"
"Southington School District","=""1310011""","Flanders Elementary School","=""1311311""","Not Eligible For Lunch","*","*","*","*","*"
"Southington School District","=""1310011""","Flanders Elementary School","=""1311311""","Eligible For Reduced Lunch","*","*","*","*","*"
"Southington School District","=""1310011""","Hatton Elementary School","=""1310211""","Eligible For Free Lunch","*","*","*","*","*"
"Southington School District","=""1310011""","Hatton Elementary School","=""1310211""","Not Eligible For Lunch",3.7,2.4,2.8,3.0,"*"
"Southington School District","=""1310011""","Hatton Elementary School","=""1310211""","Eligible For Reduced Lunch","*","*","*","*","*"
"Southington School District","=""1310011""","Joseph A. Depaolo Middle School","=""1315111""","Eligible For Free Lunch","*","*","*","*","*"
"Southington School District","=""1310011""","Joseph A. Depaolo Middle School","=""1315111""","Not Eligible For Lunch",3.5,4.1,3.9,5.0,"*"
"Southington School District","=""1310011""","Joseph A. Depaolo Middle School","=""1315111""","Eligible For Reduced Lunch","*","*","*","*","*"
"Southington School District","=""1310011""","Language Based Classroom","=""1310411""","Eligible For Free Lunch","N/A","N/A","N/A","*","*"
"Southington School District","=""1310011""","Language Based Classroom","=""1310411""","Not Eligible For Lunch","N/A","N/A","N/A","*","*"
"Southington School District","=""1310011""","Language Based Classroom","=""1310411""","Eligible For Reduced Lunch","N/A","N/A","N/A","*","*"
"Southington School District","=""1310011""","Language Based Classroom, Multihandicapped","=""1311811""","Eligible For Free Lunch","N/A","N/A","N/A","*","*"
"Southington School District","=""1310011""","Language Based Classroom, Multihandicapped","=""1311811""","Not Eligible For Lunch","N/A","N/A","N/A","*","*"
"Southington School District","=""1310011""","Language Based Classroom, Multihandicapped","=""1311811""","Eligible For Reduced Lunch","N/A","N/A","N/A","N/A","*"
"Southington School District","=""1310011""","Plantsville Elementary School","=""1310611""","Eligible For Free Lunch","*","*","*","*","*"
"Southington School District","=""1310011""","Plantsville Elementary School","=""1310611""","Not Eligible For Lunch","*","*","*","*","*"
"Southington School District","=""1310011""","Plantsville Elementary School","=""1310611""","Eligible For Reduced Lunch","*","*","*","*","N/A"
"Southington School District","=""1310011""","South End Elementary School","=""1310711""","Eligible For Free Lunch","*","*","*","*","*"
"Southington School District","=""1310011""","South End Elementary School","=""1310711""","Not Eligible For Lunch","*","*",3.1,"*",3.2
"Southington School District","=""1310011""","South End Elementary School","=""1310711""","Eligible For Reduced Lunch","*","*","*","*","*"
"Southington School District","=""1310011""","Southington High School","=""1316211""","Eligible For Free Lunch",38.0,31.9,31.5,20.4,19.6
"Southington School District","=""1310011""","Southington High School","=""1316211""","Not Eligible For Lunch",8.6,8.5,6.6,4.9,7.0
"Southington School District","=""1310011""","Southington High School","=""1316211""","Eligible For Reduced Lunch",18.9,16.4,16.4,15.5,14.6
"Southington School District","=""1310011""","Strong Elementary School","=""1310811""","Eligible For Free Lunch","*","*","*","*","*"
"Southington School District","=""1310011""","Strong Elementary School","=""1310811""","Not Eligible For Lunch",1.9,"*","*",2.4,2.8
"Southington School District","=""1310011""","Strong Elementary School","=""1310811""","Eligible For Reduced Lunch","*","*","*","*","*"
"Southington School District","=""1310011""","Thalberg Elementary School","=""1310911""","Eligible For Free Lunch","*","*","*","*","*"
"Southington School District","=""1310011""","Thalberg Elementary School","=""1310911""","Not Eligible For Lunch",3.0,1.6,"*",2.7,1.9
"Southington School District","=""1310011""","Thalberg Elementary School","=""1310911""","Eligible For Reduced Lunch","*","*","*","*","*"
"Southington School District","=""1310011""","Therapeutic Educational Alternative Model (TEAM)","=""1311611""","Eligible For Free Lunch","N/A","N/A","N/A","*","*"
"Southington School District","=""1310011""","Therapeutic Educational Alternative Model (TEAM)","=""1311611""","Not Eligible For Lunch","N/A","N/A","N/A","*","*"
"Southington School District","=""1310011""","Therapeutic Educational Setting (TEP)","=""1311211""","Eligible For Free Lunch","N/A","N/A","N/A","*","*"
"Southington School District","=""1310011""","Therapeutic Educational Setting (TEP)","=""1311211""","Not Eligible For Lunch","N/A","N/A","N/A","*","*"
"Southington School District","=""1310011""","Urbin T. Kelley School","=""1311411""","Eligible For Free Lunch","*","*","*","*","*"
"Southington School District","=""1310011""","Urbin T. Kelley School","=""1311411""","Not Eligible For Lunch","*","*","*","*",0.0
"Southington School District","=""1310011""","Urbin T. Kelley School","=""1311411""","Eligible For Reduced Lunch","*","*","*","*","*"
"Sprague School District","=""1330011""","Sayles School","=""1330111""","Eligible For Free Lunch",11.2,11.1,8.8,18.0,12.5
"Sprague School District","=""1330011""","Sayles School","=""1330111""","Not Eligible For Lunch","*","*",4.8,"*",4.4
"Sprague School District","=""1330011""","Sayles School","=""1330111""","Eligible For Reduced Lunch","*","*",18.8,"*",0.0
"Stafford School District","=""1340011""","Stafford Elementary School","=""1340611""","Eligible For Free Lunch",11.3,"*",7.3,15.6,10.1
"Stafford School District","=""1340011""","Stafford Elementary School","=""1340611""","Not Eligible For Lunch","*",4.5,1.8,"*","*"
"Stafford School District","=""1340011""","Stafford Elementary School","=""1340611""","Eligible For Reduced Lunch","*","*",0.0,"*","*"
"Stafford School District","=""1340011""","Stafford High School","=""1346111""","Eligible For Free Lunch",24.7,"*","*","*",26.6
"Stafford School District","=""1340011""","Stafford High School","=""1346111""","Not Eligible For Lunch","*",7.3,9.3,"*","*"
"Stafford School District","=""1340011""","Stafford High School","=""1346111""","Eligible For Reduced Lunch","*","*","*","*","*"
"Stafford School District","=""1340011""","Stafford Middle School","=""1345211""","Eligible For Free Lunch",25.6,14.9,10.8,9.8,11.6
"Stafford School District","=""1340011""","Stafford Middle School","=""1345211""","Not Eligible For Lunch","*","*","*","*","*"
"Stafford School District","=""1340011""","Stafford Middle School","=""1345211""","Eligible For Reduced Lunch","*","*","*","*","*"
"Stafford School District","=""1340011""","Stafford Tutoring Program","=""1340211""","Eligible For Free Lunch","N/A","N/A","N/A","*","*"
"Stafford School District","=""1340011""","Stafford Tutoring Program","=""1340211""","Not Eligible For Lunch","N/A","N/A","N/A","*","*"
"Stafford School District","=""1340011""","Stafford Tutoring Program","=""1340211""","Eligible For Reduced Lunch","N/A","N/A","N/A","*","*"
"Stafford School District","=""1340011""","Staffordville School","=""1340311""","Eligible For Free Lunch","*","*","*","*","*"
"Stafford School District","=""1340011""","Staffordville School","=""1340311""","Not Eligible For Lunch","*","*","*","*","*"
"Stafford School District","=""1340011""","Staffordville School","=""1340311""","Eligible For Reduced Lunch","*","*","*","*","*"
"Stafford School District","=""1340011""","West Stafford School","=""1340411""","Eligible For Free Lunch","*","*","*","*","*"
"Stafford School District","=""1340011""","West Stafford School","=""1340411""","Not Eligible For Lunch","*","*","*","*","*"
"Stafford School District","=""1340011""","West Stafford School","=""1340411""","Eligible For Reduced Lunch","*","*","*","*","*"
"Stamford Academy District","=""2820013""","Stamford Academy","=""2826013""","Eligible For Free Lunch","*",97.1,"*",87.8,99.3
"Stamford Academy District","=""2820013""","Stamford Academy","=""2826013""","Not Eligible For Lunch","*","*","*","*","*"
"Stamford Academy District","=""2820013""","Stamford Academy","=""2826013""","Eligible For Reduced Lunch","*","*","*","*","*"
"Stamford Charter School for Excellence District","=""2960013""","Stamford Charter School for Excellence","=""2960113""","Eligible For Free Lunch","N/A","N/A","N/A","N/A","*"
"Stamford Charter School for Excellence District","=""2960013""","Stamford Charter School for Excellence","=""2960113""","Not Eligible For Lunch","N/A","N/A","N/A","N/A","*"
"Stamford Charter School for Excellence District","=""2960013""","Stamford Charter School for Excellence","=""2960113""","Eligible For Reduced Lunch","N/A","N/A","N/A","N/A","*"
"Stamford School District","=""1350011""","Alternate Routes To Success","=""1350411""","Eligible For Free Lunch","N/A","N/A","N/A","*",21.7
"Stamford School District","=""1350011""","Alternate Routes To Success","=""1350411""","Not Eligible For Lunch","N/A","N/A","N/A","*","*"
"Stamford School District","=""1350011""","Alternate Routes To Success","=""1350411""","Eligible For Reduced Lunch","N/A","N/A","N/A","*","*"
"Stamford School District","=""1350011""","Cloonan School","=""1355611""","Eligible For Free Lunch","*",27.9,15.9,48.8,50.2
"Stamford School District","=""1350011""","Cloonan School","=""1355611""","Not Eligible For Lunch",15.1,15.9,"*",28.3,26.9
"Stamford School District","=""1350011""","Cloonan School","=""1355611""","Eligible For Reduced Lunch","*",14.9,"*",43.2,43.9
"Stamford School District","=""1350011""","Davenport Ridge School","=""1352011""","Eligible For Free Lunch",18.9,15.0,12.9,14.4,10.9
"Stamford School District","=""1350011""","Davenport Ridge School","=""1352011""","Not Eligible For Lunch","*","*",4.6,"*","*"
"Stamford School District","=""1350011""","Davenport Ridge School","=""1352011""","Eligible For Reduced Lunch","*","*",20.0,"*","*"
"Stamford School District","=""1350011""","Dolan School","=""1355311""","Eligible For Free Lunch",20.0,18.8,5.2,39.3,33.8
"Stamford School District","=""1350011""","Dolan School","=""1355311""","Not Eligible For Lunch","*",9.9,"*",16.3,"*"
"Stamford School District","=""1350011""","Dolan School","=""1355311""","Eligible For Reduced Lunch","*",12.5,"*",21.4,"*"
"Stamford School District","=""1350011""","Hart School","=""1352211""","Eligible For Free Lunch","*",13.4,"*","*","*"
"Stamford School District","=""1350011""","Hart School","=""1352211""","Not Eligible For Lunch",9.4,"*",10.9,10.6,6.9
"Stamford School District","=""1350011""","Hart School","=""1352211""","Eligible For Reduced Lunch","*","*","*","*","*"
"Stamford School District","=""1350011""","Individuals Achieving Independence","=""1350211""","Eligible For Free Lunch","N/A","N/A","N/A","*","*"
"Stamford School District","=""1350011""","Individuals Achieving Independence","=""1350211""","Not Eligible For Lunch","N/A","N/A","N/A","*","*"
"Stamford School District","=""1350011""","Individuals Achieving Independence","=""1350211""","Eligible For Reduced Lunch","N/A","N/A","N/A","N/A","*"
"Stamford School District","=""1350011""","Julia A. Stark School","=""1351211""","Eligible For Free Lunch",7.2,13.0,8.3,16.2,9.4
"Stamford School District","=""1350011""","Julia A. Stark School","=""1351211""","Not Eligible For Lunch","*","*","*","*","*"
"Stamford School District","=""1350011""","Julia A. Stark School","=""1351211""","Eligible For Reduced Lunch","*","*","*","*","*"
"Stamford School District","=""1350011""","K. T. Murphy School","=""1350511""","Eligible For Free Lunch","*","*","*","*",4.1
"Stamford School District","=""1350011""","K. T. Murphy School","=""1350511""","Not Eligible For Lunch",6.8,15.0,11.4,15.6,5.7
"Stamford School District","=""1350011""","K. T. Murphy School","=""1350511""","Eligible For Reduced Lunch","*","*","*","*",0.0
"Stamford School District","=""1350011""","Newfield School","=""1350611""","Eligible For Free Lunch","*",18.4,14.9,12.7,7.3
"Stamford School District","=""1350011""","Newfield School","=""1350611""","Not Eligible For Lunch",9.3,9.6,"*","*","*"
"Stamford School District","=""1350011""","Newfield School","=""1350611""","Eligible For Reduced Lunch","*",17.4,"*","*","*"
"Stamford School District","=""1350011""","Northeast School","=""1351811""","Eligible For Free Lunch",10.8,15.7,14.1,12.6,7.5
"Stamford School District","=""1350011""","Northeast School","=""1351811""","Not Eligible For Lunch",2.7,5.3,2.2,"*",4.5
"Stamford School District","=""1350011""","Northeast School","=""1351811""","Eligible For Reduced Lunch","*","*","*","*","*"
"Stamford School District","=""1350011""","Rippowam Middle School","=""1355811""","Eligible For Free Lunch",22.8,28.4,17.2,18.5,16.4
"Stamford School District","=""1350011""","Rippowam Middle School","=""1355811""","Not Eligible For Lunch",10.8,15.0,"*",6.2,"*"
"Stamford School District","=""1350011""","Rippowam Middle School","=""1355811""","Eligible For Reduced Lunch",14.0,18.5,"*",11.8,"*"
"Stamford School District","=""1350011""","Rogers International School","=""1350811""","Eligible For Free Lunch","*","*","*",23.0,16.6
"Stamford School District","=""1350011""","Rogers International School","=""1350811""","Not Eligible For Lunch",4.6,7.8,3.5,16.2,7.3
"Stamford School District","=""1350011""","Rogers International School","=""1350811""","Eligible For Reduced Lunch","*","*","*",20.5,0.0
"Stamford School District","=""1350011""","Roxbury School","=""1350911""","Eligible For Free Lunch",14.3,21.8,14.5,16.1,14.6
"Stamford School District","=""1350011""","Roxbury School","=""1350911""","Not Eligible For Lunch","*","*","*",6.3,7.0
"Stamford School District","=""1350011""","Roxbury School","=""1350911""","Eligible For Reduced Lunch","*","*","*",14.9,16.3
"Stamford School District","=""1350011""","Scofield Middle School","=""1355711""","Eligible For Free Lunch",3.6,"*",7.2,12.7,7.9
"Stamford School District","=""1350011""","Scofield Middle School","=""1355711""","Not Eligible For Lunch",4.4,7.1,4.1,6.0,"*"
"Stamford School District","=""1350011""","Scofield Middle School","=""1355711""","Eligible For Reduced Lunch",0.0,"*",8.6,11.6,"*"
"Stamford School District","=""1350011""","Springdale School","=""1351111""","Eligible For Free Lunch",10.7,13.2,7.1,8.5,4.9
"Stamford School District","=""1350011""","Springdale School","=""1351111""","Not Eligible For Lunch","*","*","*","*",3.3
"Stamford School District","=""1350011""","Springdale School","=""1351111""","Eligible For Reduced Lunch","*","*","*","*",0.0
"Stamford School District","=""1350011""","Stamford High School","=""1356111""","Eligible For Free Lunch",12.4,17.6,18.2,17.4,16.2
"Stamford School District","=""1350011""","Stamford High School","=""1356111""","Not Eligible For Lunch",7.2,11.6,12.9,9.5,7.3
"Stamford School District","=""1350011""","Stamford High School","=""1356111""","Eligible For Reduced Lunch",9.3,11.4,12.2,11.1,12.0
"Stamford School District","=""1350011""","Stillmeadow School","=""1352111""","Eligible For Free Lunch",12.7,15.3,7.8,8.2,14.5
"Stamford School District","=""1350011""","Stillmeadow School","=""1352111""","Not Eligible For Lunch",7.1,"*",5.7,7.2,"*"
"Stamford School District","=""1350011""","Stillmeadow School","=""1352111""","Eligible For Reduced Lunch",10.2,"*",0.0,17.8,"*"
"Stamford School District","=""1350011""","The Academy of Information Technology","=""1356411""","Eligible For Free Lunch","*",26.1,"*","*","*"
"Stamford School District","=""1350011""","The Academy of Information Technology","=""1356411""","Not Eligible For Lunch",2.9,15.5,4.4,5.2,6.8
"Stamford School District","=""1350011""","The Academy of Information Technology","=""1356411""","Eligible For Reduced Lunch","*",23.4,"*","*","*"
"Stamford School District","=""1350011""","Toquam Magnet School","=""1351911""","Eligible For Free Lunch",13.0,16.9,9.6,11.3,11.4
"Stamford School District","=""1350011""","Toquam Magnet School","=""1351911""","Not Eligible For Lunch","*","*","*","*","*"
"Stamford School District","=""1350011""","Toquam Magnet School","=""1351911""","Eligible For Reduced Lunch","*","*","*","*","*"
"Stamford School District","=""1350011""","Turn of River School","=""1355511""","Eligible For Free Lunch",16.3,21.4,18.0,33.8,31.6
"Stamford School District","=""1350011""","Turn of River School","=""1355511""","Not Eligible For Lunch","*",10.2,"*",26.8,21.4
"Stamford School District","=""1350011""","Turn of River School","=""1355511""","Eligible For Reduced Lunch","*",18.8,"*",39.5,28.6
"Stamford School District","=""1350011""","Westhill High School","=""1356311""","Eligible For Free Lunch",18.1,32.8,24.8,24.9,21.8
"Stamford School District","=""1350011""","Westhill High School","=""1356311""","Not Eligible For Lunch",12.5,20.4,13.0,13.1,12.6
"Stamford School District","=""1350011""","Westhill High School","=""1356311""","Eligible For Reduced Lunch",10.9,15.3,16.8,12.8,17.4
"Stamford School District","=""1350011""","Westover School","=""1351411""","Eligible For Free Lunch",6.9,13.0,6.7,8.6,6.1
"Stamford School District","=""1350011""","Westover School","=""1351411""","Not Eligible For Lunch",4.2,"*","*","*","*"
"Stamford School District","=""1350011""","Westover School","=""1351411""","Eligible For Reduced Lunch",0.0,"*","*","*","*"
"Sterling School District","=""1360011""","Sterling Community School","=""1360311""","Eligible For Free Lunch",17.2,"*",11.9,14.4,17.0
"Sterling School District","=""1360011""","Sterling Community School","=""1360311""","Not Eligible For Lunch","*",3.6,"*","*","*"
"Sterling School District","=""1360011""","Sterling Community School","=""1360311""","Eligible For Reduced Lunch","*","*","*","*","*"
"Stonington School District","=""1370011""","Community Classroom","=""1370811""","Not Eligible For Lunch","N/A","N/A","N/A","*","*"
"Stonington School District","=""1370011""","Deans Mill School","=""1370511""","Eligible For Free Lunch","*","*","*","*","*"
"Stonington School District","=""1370011""","Deans Mill School","=""1370511""","Not Eligible For Lunch","*",5.3,"*",2.5,2.3
"Stonington School District","=""1370011""","Deans Mill School","=""1370511""","Eligible For Reduced Lunch","*","*","*","*","*"
"Stonington School District","=""1370011""","Mystic Middle School","=""1375211""","Eligible For Free Lunch","*","*","*","*","*"
"Stonington School District","=""1370011""","Mystic Middle School","=""1375211""","Not Eligible For Lunch",1.9,5.6,9.3,8.0,8.8
"Stonington School District","=""1370011""","Mystic Middle School","=""1375211""","Eligible For Reduced Lunch","*","*","*","*","*"
"Stonington School District","=""1370011""","Pawcatuck Middle School","=""1375111""","Eligible For Free Lunch",97.1,15.9,39.1,34.7,"*"
"Stonington School District","=""1370011""","Pawcatuck Middle School","=""1375111""","Not Eligible For Lunch",96.4,3.8,15.7,14.1,"*"
"Stonington School District","=""1370011""","Pawcatuck Middle School","=""1375111""","Eligible For Reduced Lunch",100.0,0.0,40.7,30.0,"*"
